Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2014-01-29,"Awesome teacher. C++ is not easy, but he presents it in a way that is understandable and he is always willing to help you with any problem you have. Definitely a the best out of the three for EEN 111. Take him, and love it while you can.",5.0,3.0,,EEN111,False,,,4,0,0
2014-01-16,"Fahad was the best teacher out of the three. His lectures are clear, but somewhat fast. He enjoys what he's teaching and wants his students to really learn what's going on. Drops the lowest 3 to 4 quizzes which is awesome. The quizzes are easy too! Definitely recommend.",3.0,2.0,,BME111,False,Y,A-,5,0,0
2012-12-03,Fahad is a great guy that really cares about his students. This was by far my favorite section of intro. If you do the extra credit he suggests you will breeze through.,5.0,3.0,,BME111,False,,,4,0,0
2012-11-01,"Fantastic professor and a great guy to boot. You can tell that not only does he honestly want you to succeed- he wants you to enjoy his class as well, and I certainly did. His lectures are extremely clear and he's very helpful outside of class as well.",5.0,2.0,,EEN111,False,,,2,0,0
2011-12-05,"BY FAR, the BEST of the 3 teachers. interesting and SO easy. drops the lowest 4 or 3 quiz grades.",5.0,1.0,,BME111,False,,,5,0,0
2011-11-17,"Classes are long, but he is very helpful! He tests you on exactly what he says he will, so there are no surprises. Nice guy!",3.0,3.0,,EEN111,False,,,3,0,0
2011-11-17,"He was honestly great! I was very satisfied and have actually developed an interest in C++ thanks to him. Enjoy the few weeks you'll have him, you'll miss him when Ram and Fahmy come around",4.0,2.0,,BME32,False,,,4,0,0
2011-11-16,Fahad is a really cool guy. Had him for C++ section of Intro. He offers so many chances for extra credit and assigns no homework other then optional extra credit. By the end of the class I has 21 points of extra credit to put towards the Final and I got a 100 because of that. I never used C++ before this but he makes it really easy to understand.,4.0,1.0,,IEN333,False,,,2,0,0
2011-10-30,"He can be mean. He will mock you for stupid questions and for doing something wrong.  However if you are not the target, he is a great teacher and is very cool.  Best teacher I've had yet.  He teaches the material well and his daily quizzes are easy.  Also he gives no homework but it is wise to study.",4.0,4.0,,MAE111,False,,,2,0,0
2010-11-22,"He's a nice guy but the material is kind of hard. Pay attention in class and take notes. Assigns no homework but have quizzes every class. You have to practice C++ outside of class or else you will not do well. If you do the practice questions he assigns, and take good notes you will do fine",3.0,3.0,,CAE111,False,,,5,0,0
2010-11-21,He is a nice guy and is really helpful.  I enjoyed the class.,5.0,1.0,,MAE111,False,,,4,0,0
2009-10-20,Teaches C++; Is not easy. People around campus will tell you Intro is the easiest class you will take but don't let that scare you. The Projects are fun team projects are specially fun. Quizzes are all hard. He has a bit of an accent but everyone in engineering has it so get used to it. Make b or c if u study hard. Make a if u have seen material b4,2.0,4.0,,INTROEGR,False,,,5,0,0
2009-05-15,Fhad was a very laid back. Had him for the C++ part of intro for Engineering. Class is hard because C++ is like learning a new language.  Out of all the professors that teach the class he was the most helpful and nicest.,4.0,4.0,,EEN111,False,,,4,0,0
2008-12-03,"awesome guy. very nice. extremely good teacher, very helpful, assigns no homework.  pay attention in class.  if you practice for at least an hour a week, you will probably get an A. lets you drop 3 of your 6 open note quizzes. great teacher",5.0,1.0,,BME111,False,,,1,0,0
2008-01-08,"Great professor, very clear. Do the homework and try to do well on the test. Ace the projects!!!",4.0,3.0,,BME111,False,,,5,0,0
2006-06-20,"Intro To Engineering. Teaches the C++ segment, 1/3 of the class. He's really helpful and explains in lamens terms. He makes his own tests and they can be very tricky, but if you do your homework you shouldn't have any problems. He is very lenient and friendly. Don't take intro too lightly, they make it a study class with a lot of busy work.",5.0,1.0,,MAE101,False,,,,0,0
2005-09-12,Intro to Engineering Prof for 1/3 of the class.  Taught C++.  Learned a lot from him and he was easy to understand and very helpful.  Quizzes and Tests were fairly simple becuase he knew most of us weren't continuing with computer programing,4.0,2.0,,CAE101,False,,,,0,0
