Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2024-04-30,He only really does 8ams so I was always dead coming to class but hes very knowledgable on the topic and he does try to be funny at times. Easy clear grade. If your process was right he does give credit for work done. Honestly thought I was going to fail at first but his reviews summed up the most important info.,5.0,2.0,"EXTRA CREDIT, Hilarious, Caring",ECE201,True,mandatory,B+,3,0,0
2024-01-12,"Online tests and quizzes on BlackBoard without any lockdown browser which some people took advantage of, and honestly his quizzes and tests are unfair in content. In class examples/homework are much simpler than assessments, study the textbook and know material very well. He does give hints in class. Class mandatory, but he teaches theory well!",4.0,4.0,"Get ready to read, EXTRA CREDIT, Lots of homework",ECE205,True,mandatory,B,3,0,0
2023-10-31,"If you consistently attend class and do the work, you'll do well and find the tests to be on par with the material presented. Professor is a nice guy and is happy to explain a concept again. ",5.0,3.0,"EXTRA CREDIT, Gives good feedback",ECE204,True,mandatory,A-,3,0,0
2021-08-23,"Doesn't know how to teach, makes topics overly complicated and grades insanely strict. Takes letter grades off for small mistakes on exams.",1.0,4.0,,ECE204,True,non mandatory,B+,5,0,0
2020-12-10,This class was just fine. You must pay extra attention during the class in order to do well. Some students had more trouble than others. If you understand the homework and pay attention to when he is explaining how to solve examples you will do well.,3.0,3.0,"Skip class? You won't pass., Beware of pop quizzes",ECE205,True,mandatory,A+,5,0,0
2020-04-28,The grading criteria is clear. There are many oppurtunities for extra credit. He does an extra credit problem each class. If you attend class the material becomes easy. Attendenace is mandatory and you lose a point each time you miss a class. Test are a little harder than homework but follow the same steps,4.0,3.0,"Clear grading criteria, EXTRA CREDIT",ECE205,True,mandatory,,5,0,0
2017-12-27,"Be careful in his ECE205 class. Very nice professor and gives occasional extra credit. But be cautious with every single thing that is graded because the number on blackboard corresponds with percentage on your final grade. It is very possible to do well on all the tests but miss a homework and lose 5% of your final grade, so be careful.",2.0,3.0,"Participation matters, Skip class? You won't pass., GRADED BY FEW THINGS",ECE205,True,mandatory,Not sure yet,5,2,1
2016-12-13,"He is really a nice guy, his teaching is clear and helpful, he drop some quizzes and homework , the class will be easy if you studied well and show up. the attendance is mandatory.",5.0,3.0,"Respected, Skip class? You won't pass.",ECE205,True,mandatory,,0,2,0
2016-04-15,"This is by no means an easy class BUT once you understand the concepts and how to apply them, it'll be easier. I definitely would say there is a correlation between class attendance and grades. Make sure you turn in all assignments and study the practice problems in the book if you want to get an A.",4.0,2.0,,EEN205,True,,A-,4,2,0
2015-04-22,He is one of the nicest professors I met. He is clear when he explains and wastes no time with theories. He repeats the first test if the class doesn't do well. He Drops 2 out of 5 quizzes and 2 out of 5 homeworks. He is generous with grades. The class was easy if you studied well. He is available to help if asked. I enjoyed his course.,4.0,2.0,,EEN205,True,mandatory,B,3,2,0
2015-01-24,"This course was by no means an easy way, but that being said,  if  you attend the lectures & put in the time by studying and doing assignments, an A is definitely possible. Professor is super kind and accommodating. If you need help and reach out, he will make time for you and try to explain concepts in different ways. ",4.0,3.0,,EEN205,True,non mandatory,A-,4,2,0
2014-12-23,"Very hard. This class will possibly be the hardest class you take at UM. It was harder than physics for me. I don't recommend him. Good luck if you decide to take this.. you'll need it. The textbook is HORRIBLE by the way, it doesn't explain concepts at all. There are no outside resources for help. ",2.0,5.0,,EEN205,True,non mandatory,D,5,0,3
2014-12-17,Nice guy. But class was confusing and tests were hard. Avoid if you can. ,2.0,5.0,,EEN205,True,,,4,0,1
2014-12-14,"PROFESSOR:The professor is very nice he will make several attempts to explain the concepts differently if you ask.  TEST: The test will cover the main topics in each chapter, so be sure to under how to apply each law and theory he lectures.  GRADES: He is very fair grading test, quiz and homework. So be sure to complete all assignments. ",3.0,3.0,,EEN205,True,non mandatory,,4,0,0
2014-11-19,"He is a nice guy, I understood all the concepts in class and have been failing all the exams. If you want to be an electrical engineer please take this class if not avoid at all costs. This isn't a reflection on him as a person it's just an extremely difficult class and if you can't visualize what's going on you will do poorly. AVOID IF YOU CAN!",1.0,5.0,,EEN205,True,non mandatory,Rather not say,5,0,0
2013-05-11,He teaches an electrical principles class that's designed for non-electrical engineering majors.  The class is not easy and in fact it's frustrating sometimes but he doesn't give the most complicated problems on his quizes and exams.  Once you get the concept it'll be easy. Study all of the practice problems in the book if you wana get a good grade,5.0,2.0,,EEN205,False,,,5,0,1
