Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-05-26,"Blunt and strict, but if you show up on time and show you care you'll be good.  Weird, but funny guy.",4.0,3.0,"Clear grading criteria, Hilarious, Lecture heavy",BTE210,True,mandatory,A-,-1,0,0
2026-05-01,His tests are designed to trick you and if you are 1 minute late to class you will get marked absent and it  will hurt ur grade. DO NOT TAKE HIM. ,1.0,5.0,"Tough grader, Participation matters, Group projects",BTE210,True,mandatory,Not sure yet,-1,0,0
2026-04-23,"Let me be real, this professor is like any boss. Some things are annoying (like the 1-minute attendance code), but exams are straight from the slides, memorize them. Don't overcomplicate studying. Group project matters, so pick good teammates and participate in class since it impacts your grade.",3.0,3.0,"Participation matters, Group projects, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,0,0
2026-04-16,"I personally didn't think he was that bad. The exams are easy: 30 multiple-choice questions worth 15 points. Only thing is you need to get there a few minutes before class starts and have canvas open on your phone for check-in, which is not a hard ask at all. You will need to drop the class if your participation grade drops below a 7/10",4.0,2.0,"Participation matters, EXTRA CREDIT, Graded by few things",BTE210,False,mandatory,Not sure yet,,1,0
2026-04-12,It surprises me how soft people are nowadays. Professor K is an absolute G. His tests are straight copy-paste from the slides and the content of the slides is very easy. ,5.0,1.0,,BTE210,False,,Not sure yet,,1,0
2026-04-05,His lectures are not relevant to the material he tests on. He is not forgiving. He makes a lot of mistakes of which he provides no remedy for and is very unclear on what he expects from you as a student.,1.0,5.0,"Tough grader, Participation matters",BTE210,True,mandatory,B-,-1,1,0
2026-04-02,"DO NOT TAKE! The class itself is very easy content, but the professor is insufferable. Extremely rude and belittling towards students, and finds ways to overcomplicate his class. 70% attendance is required to sit for the final, but only takes attendance 10 times, and gives you 60 seconds to do it on Quickly. No excuse for technical difficulties.",1.0,2.0,"Participation matters, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,1,0
2026-02-24,"Professor has absolutely no leniance or sympathy towards students. Attendance is mandatory but you have a minute to sign into Qwikly and it only works if you have data on your phone. Will claim he is ""there to help"" then when you reach out, is absolutely rude to you and will completely belittle you in class. also committed wire fraud...",1.0,5.0,"Tough grader, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,2,0
2026-02-13,"Pretty easy class, but not because of the professor. Make sure you participate. He gives you 1 minute to check in to the attendance with no warning, and if you miss it, you're screwed. He'll just say not to miss the check-in and send you on your way. Also, if you have an excuse for an absence, make sure the note is as precise as the constitution.",1.0,3.0,Participation matters,BTE210,True,mandatory,Not sure yet,-1,1,0
2026-02-06,"This prof is not good at all. He is super unhelpful whenever you have a question about something. He's also rude, I don't recommend taking him as a professor. He gives you like 1 minute to do attendance, and if you accidentally miss the timeframe, he tells you it's your fault and it impacts your participation grade. Absolutely do not take him.",1.0,4.0,"Participation matters, Group projects",BTE210,True,mandatory,Not sure yet,-1,2,0
2026-01-21,"If you are weak and strive on complaining on little things then absolutely don't take his class. He's strict and has 0 leniency for laziness. Despite his intimidation tactics, he's an absolute G if you on the same wavelength with him. Exams are literally just a copy and paste of the slides. If you do the bare minimum that is required, then its easy",5.0,2.0,"Participation matters, Group projects, Clear grading criteria",BTE210,True,mandatory,A+,-1,0,2
2025-12-24,Do not take,1.0,4.0,,BTE210,True,mandatory,B+,-1,1,0
2025-12-23,NEVER TAKE HIS CLASS. He doesn't care about the students at all and grading is completely arbitrary,1.0,5.0,Tough grader,BTE210,True,,A-,,1,0
2025-12-23,NEVER TAKE HIS CLASS,1.0,3.0,Tough grader,BTE210,True,mandatory,A-,-1,2,0
2025-12-19,"The class itself wasn't too difficult, he's just so annoying. I did put in a good amount of time studying for his exams, which was not fun bc who cares abt cloud computing??? If u pay attention in class its def easier to study. With that being said, he is insufferable. So unclear with what he wants and thinks ur life needs to revolve around him.",2.0,3.0,"Group projects, Test heavy",BTE210,True,mandatory,A-,-1,1,0
2025-12-09,"This professor is rude, passive-aggressive, and very difficult to communicate with. If you have a strong heart, go ahead and take his class.",1.0,5.0,,BTE210,True,mandatory,,-1,1,0
2025-12-08,"Class participation: 10% / Individual presentation: 10% / Exam 1: 15% / Exam 2: 15% / Final Exam: 30% / Team Projection : 20% / Extra credit (optional) : 5% / the only thing you are tested on are the slides gone over in class which are all on canvas / all questions on tests are multiple choice / very straightforward teacher /
",4.0,3.0,,BTE210,True,non mandatory,Not sure yet,-1,0,1
2025-12-04,"He's fine I guess. If you take the class you'll survive, but I don't recommend. His exam questions are unclear and teach memorization and not actual retention or application of the material. He's rude, and pulls grades out of nowhere. An A starts at a 95. Tests are hard, but the projects are easy. Get points where you can.",2.0,5.0,"Tough grader, Participation matters",BTE210,True,mandatory,B,-1,1,0
2025-11-23,Changes things very abruptly and tests teach memorization and not critical thinking skills. I previously gave him a good review because I got an A from him but recently changed my mind about him because he is just very unreliable and the class always depends on his mood.,1.0,3.0,"Group projects, Gives good feedback",BTE210,True,mandatory,A,-1,1,0
2025-11-19,Very rude professor who does not care about his students wellbeing and will speak to you disrespectfully. Mandatory attendance but all you do is listen to him speak. Exams are all memorization but not of the content and rather how he worded it. Extremely boring lectures and miserable guy. Somehow a 94 in the class makes an A- with the curve.,1.0,3.0,"Tough grader, Participation matters, Graded by few things",BTE210,True,mandatory,A-,-1,1,0
2025-11-19,"Youll start like ""oh he doesnt seem bad idk why his reviews are so bad"" trust me youll find out. I knew all the content before i took the course yet his exams are like translating the Bible into pig latin. hes unclear with expectations. hes also so on and off. if hes happy in class youll do well on wtv otherwise forget it. !!AVOID AT ALL COSTS!!",1.0,1.0,,BTE210,True,mandatory,Not sure yet,-1,1,0
2025-11-04,"Do not recommend taking him. The content is so easy, but he writes his exams to try and trick you. If you do bad on the exams, the group project and individual project can definitely help your grade, but he takes off for the slightest thing. For a required class that everyone has to take with relatively easy content, he takes it way too serious.",2.0,5.0,"Group projects, Lecture heavy",BTE210,True,mandatory,Not sure yet,-1,1,0
2025-11-02,Weird guy and the exams are strange and make no sense. I would not take this class unless you want you grade to be up to luck,1.0,4.0,,BTE210,True,mandatory,Not sure yet,-1,1,0
2025-10-28,"Not really that hard of a course, just study the information given for an hour or two before exams, and you'll do fine. The group project is decently long, so as long as your group doesn't procrastinate it isn't overwhelming",4.0,3.0,,BTE210,True,mandatory,A,,0,3
2025-10-22,"This class is not that great. The tests are multiple choice, but the choices are all very similar, you have to have the wording memorized from the slideshows to know which is right. The group project can destroy your grade, so make sure you're working with the right people, because its graded as a group. You don't learn much.",3.0,4.0,Tough grader,BTE210,True,mandatory,A-,-1,0,0
2025-09-26,"BTE210 is a easy class with simple content, but Alexander Korogodsky is a mean professor. Being a professor is just a job for him.",1.0,3.0,,BTE210,True,mandatory,B+,-1,2,0
2025-06-18,"DO EVERYTHING IN YOUR POWER NOT TO TAKE THIS CLASS! Korogodsky finds a way to make everything more stressful than it needs to be. He loves making people's lives hard. He will tell you to call the ""tech desk"" or to ""look it up after class"" instead of actually doing his job. Oh, and forget about office hours, they're on Friday at 6 am. Guys, a joke. ",1.0,3.0,"Group projects, Graded by few things",BTE210,True,mandatory,A,-1,2,0
2025-05-21,"It is graded by so few things and he rounds nothing up, its hard to get an A bc of the grading scale so you have to do almost perfect/90%+ on everything.  ",1.0,3.0,"Tough grader, Group projects, Graded by few things",BTE210,True,,A-,,1,0
2025-05-17,"The tests are super confusing, and he tries to trick you on them. There isn't much homework, and he tests on everything he covers in his slides. The group projects are annoying, and he graded my individual project harshly for no reason. He wont round your grade up and attendance is mandatory.",2.0,3.0,"Tough grader, Group projects, Graded by few things",BTE210,True,mandatory,A-,-1,0,0
2025-05-17,HORRIBLE SOOOO INCONSIDERATE NEVER ROUNDED UP EVENTHOUGH IT WAS BARELY ANYTHING AND IS THE WORST POSSIBLE TEACHER EVER. NEVER EVER TAKE HIM ,2.0,3.0,"Tough grader, Group projects, Lecture heavy",BTE210,True,mandatory,,-1,1,0
2025-05-14,Make sure you do not read off the slides for any presentation and just cram the night before for exams. You cannot mess anything up in this class otherwise it is impossible to get an A because there are such few assignments in the book (which is a pro and a con).,2.0,4.0,,BTE210,True,mandatory,A-,-1,1,0
2025-05-08,"Two 20-question exams and a 50-question final&#8212;all MC/true-false and based on slides. He often copies questions exactly, so make flashcards and memorize. Presentations are easy (for individual presentation focus on technology; for group project try to excel and put the effort because it is very easy). Do not have to participate but recommended.",4.0,1.0,,BTE210,True,mandatory,A,-1,1,0
2025-05-04,"He tries to be overly fair about grading, but it usually ends up backfiring. I would recommend anyone else for 210",2.0,5.0,Tough grader,BTE210,True,mandatory,B+,3,0,0
2025-05-03,"This Professor has very boring lectures, but his tests are pretty straightforward. Beware that he has a hidden rubric for grading individual and group projects. Not a great professor, but it's not hard. ",2.0,3.0,"Tough grader, Group projects",BTE210,True,mandatory,A-,-1,0,0
2025-04-30,"Dude hates his students, besides the girls in the class, he flirts with them the entire time. ",1.0,2.0,Tough grader,BTE210,True,mandatory,B,-1,0,0
2025-04-30,"Awful attitude towards students, misleading questions on exams, you name it. This guy checks all of such negative boxes. Avoid him and his classes at all costs; take the 8AM with another professor if you have no other option. Him defrauding a Chernobyl victims charity of $2 million certainly checks out. ",1.0,4.0,"Tough grader, Group projects, Lecture heavy",BTE210,True,mandatory,Not sure yet,-1,0,0
2025-04-29,Harsh grader for no reason. He thinks that he is a god and you are his disciples. I couldn't have done anything more in this class and I end with a B+. Good luck if you want an A haha,2.0,5.0,"Tough grader, Graded by few things",BTE210,True,mandatory,B+,-1,0,0
2025-04-29,"Avoid at all costs. Heavily biased and grades based on how much he likes a student. Got a decent grade in the class, but he clearly does not care about his students.",2.0,3.0,"Tough grader, Group projects, Graded by few things",BTE210,True,mandatory,B+,-1,0,0
2025-04-24,"I was nervous about the class from his rating but I can confidently say I am glad I took his class. Although he can be very blunt, you will learn a lot in his class. 75% of the class is just lectures but the last 3 weeks is the group project. He doesn't grade off many things but exams are straight off the PowerPoint. I would take him again.",4.0,2.0,"Group projects, Lecture heavy, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,0,0
2025-04-24,"This class is really easy in regard to workload and pretty easy multiple choice tests. If you study the slides and make flash cards, you will get an A. However, the professor is really stubborn, disengaging, and does not care about the students. He really does not want to help students and it shows. He is very knowledgable but not a good teacher.",2.0,2.0,"Group projects, Lecture heavy, Graded by few things",BTE210,True,mandatory,A+,-1,0,0
2025-04-24,"He is not the nicest person, but I think he is misunderstood. If you are sensitive, do not take his class. His tests are very straightforward, if you study the day before you will get an A. The group project was also fun. He is kinda harsh at times but as long as you follow everything correctly, it is not a bad class. ",3.0,2.0,"Participation matters, Group projects, Clear grading criteria",BTE210,True,mandatory,Not sure yet,-1,0,0
2025-04-23,Very grumpy dude. Awful tests got a 60 on both no extra credit awful boring lectures he also has a lawsuit look it up korogodsky v UNITED STATES!!!!! aparently he imbezzled 10 million dollars. Group project was good wouldnt complain there are two presentations but not bad but participation does matter and he does pay attention. ,2.0,4.0,"Tough grader, Participation matters, Lecture heavy",BTE210,True,mandatory,B-,-1,0,0
2025-04-22,"The course material is interesting and obviously useful, however, Prof. K's attitude towards and treatment of students causes them to disengage. He is very knowledgable regarding the subject that he teaches, but he should absolutely not be an educator. He is incredibly rude, stubborn, and conveys a sense of superiority. Avoid his class, if you can.",1.0,3.0,"Tough grader, Participation matters, Graded by few things",BTE210,True,mandatory,A,-1,0,0
2025-04-15,"This guy might be the most stubborn and irritating teacher I have ever met. I submitted my individual project as a pdf instead of a google slides, and he took 20% off my grade, instead of trying to help me out - which is what professors should do. He hates his students and tries to make your lives worst. I would never take him for anything again.",1.0,4.0,"Tough grader, Graded by few things",BTE210,True,mandatory,B-,-1,0,0
2025-04-09,This guy is the worst professor I've ever had at the U. Always in a bad mood. Strict grader is an understatement.,1.0,5.0,Tough grader,BTE210,False,mandatory,B-,,0,0
2025-04-09,This guy is terrible. Should be your last choice of a BTE professor. Expects you to be a professional from the start of class. ,1.0,4.0,Tough grader,BTE210,True,mandatory,B-,-1,0,0
2025-04-04,Honestly the worst class I've ever taken. He is the most stubborn person ever.  He is like a child and should not be allowed to grade the way he does. Even after speaking with him there is no change. Very disrespectful towards you one on one. Thinks he is better than you for no reason.  Do not take ever he will ruin your GPA,1.0,3.0,"Tough grader, Group projects",BTE210,True,mandatory,C,-1,0,0
2025-04-03,"This professor is very knowledgeable and makes the class easygoing. The workload is light because he prefers to keep assignments minimal, which is great if you want a low-stress course. Exams are multiple-choice, and the overall content isn't overly challenging, so don't expect to dive too deeply into the subject.",5.0,1.0,"Group projects, Gives good feedback, Caring",BTE210,False,mandatory,Not sure yet,-1,0,0
