Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-03-07,unstructured class,1.0,1.0,,CSC424,True,non mandatory,A+,3,0,0
2024-05-16,"Burt is not a bad guy and curves heavily, but this class was not a good experience. Lectures were complete nonsense and unhelpful, zero lesson planning, no availability for help from TAs (no in-person hours) or the professor, and lectures had nothing to do with the homework which had nothing to do with the exams. Zero transparency for the exams. ",1.0,5.0,"Tough grader, Test heavy, Graded by few things",CSC427,True,non mandatory,B,3,0,0
2024-05-13,Very difficult to follow in lecture. Illegible handwriting and what is written on the board is not worth putting in your notes anyways (it is scribbles). Two exams that each have 4 questions make up 60% of your grade and a majority of students fail. He curves but you don't see the curve or really know your grade at all until final grades come out. ,1.0,5.0,Test heavy,CSC427,True,non mandatory,Not sure yet,3,0,0
2024-05-02,"Do not take Burt. Lectures are unorganized and difficult to follow. I have never met a less accessible professor outside of class, as he literally sprints out at the end of every lecture. Homework is doable but exams are extremely difficult. Our midterm average was a 47 and extremely unclear on the content that will be on the final.",1.0,5.0,,CSC427,True,non mandatory,,3,0,0
2024-04-30,"He's a nice person, but not very good professor. Would definitely recommend watching YouTube channels such as Neso Academy if you decide to take him. The average on the midterm was less than a 40, so be prepared.",2.0,5.0,"Lots of homework, Respected, Graded by few things",CSC427,True,non mandatory,Not sure yet,3,0,0
2023-11-12,"He's the guy you wanna have philosophical and abstract discussions, not do a lecture. His teaching style is abstract and doesn't go much into examples and problem solving. Lectures nothing to do with weekly HW which were tough. A reasonable midterm and replaced final exam for a project which was a blessing. Big curve. DON'T TAKE UNLESS YOU HAVE TO!",1.0,5.0,"Tough grader, Get ready to read, Lots of homework",CSC427,True,non mandatory,B+,-1,1,0
2023-03-07,Burt is a great guy and his lectures are fantastic if you're willing to pay attention. Projects are challenging but relevant and rewarding. Tough grader but always gives a huge curve at the end of the semester.,5.0,3.0,,CSC424,True,non mandatory,A,-1,0,0
2022-05-05,"Avoid Burt at all costs. Class lectures have nothing to do with the hw, and the hws have nothing to do with the midterm/final. Even though he curves nicely, you're anxious all semester with worries that you're going to fail the course. Never available 4office hours. You have to teach yourself everything. Projs are extremely difficult. Hardest class",2.0,5.0,Lots of homework,CSC427,True,non mandatory,Not sure yet,3,0,0
2021-03-29,"No exams. Only projects, which are fun and challenging. If you want to profit as much as possible, read the recommended book before class.",5.0,3.0,"Inspirational, Clear grading criteria, Hilarious",CSC421,True,non mandatory,A+,0,0,1
2021-03-29,"No exams. Only projects, which are fun and challenging.",5.0,3.0,"Inspirational, Clear grading criteria, Hilarious",CSC424,True,non mandatory,A+,0,0,0
2021-03-08,Never update the recordings on time. Never explain the homework assignment or mention the codes. But gives very difficult homework questions which has nothing to do with the lectures. Awfull!,1.0,5.0,,CSC427,True,non mandatory,,0,0,1
2019-10-07,"Professor Rosenburg is a pretty bad teacher. He doesn't answer emails or office hours. His projects are ridiculously hard. He uses abstract examples during class, which have nothing to do with the projects. Never gives any indication of tests, and I don't think he even understands his own projects. Do not take unless absolutely mandatory.",1.0,5.0,"Lots of homework, Tough grader",CSC640,True,non mandatory,,5,0,1
2019-08-21,"I took Computer Networks with him. It is definitely a hard class, but I learnt a lot. He's a tough grader, and a bit rigid. He gives out hard projects, but is nice about it, and is willing to move the deadline further for us to complete them. Overall, enjoyed studying with him.",4.0,4.0,"Lots of homework, Clear grading criteria, Tough grader",CSC424,True,non mandatory,,5,1,0
2018-03-18,A professor who truly doesn't care about response from students. He never gives examples and prefers to work in the abstract which makes his classes particularly difficult. Any proof he may perform is usually outside the scope of the class and feels like more of an exercise to see if he remembers how to do the problem rather than to teach us.,1.0,5.0,,MTH649,True,non mandatory,B,0,0,3
