Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-05-21,Prof Chin is a good role model,5.0,4.0,"Inspirational, Respected, Accessible outside class",CAE533,True,mandatory,B+,3,0,0
2025-05-21,You learn a lot in his class,5.0,4.0,"Gives good feedback, Inspirational, Caring",CAE530,True,mandatory,B-,3,0,0
2025-05-21,Very likeable person,5.0,4.0,"Tough grader, Amazing lectures, Inspirational",CAE533,True,mandatory,B,3,0,0
2025-05-21,A truly outstanding professor!,5.0,4.0,,CAE530,True,mandatory,A-,3,0,0
2023-02-01,Quick learners or students who can teach themselves well using the textbook have the potential to do okay or well in class. Dr. Chin knows his stuff but often leaves his students behind. He does not foster a community for growth. Students often lack confidence (in learning and general abilities) after taking class with him. Heavy workload!,1.0,5.0,"Tough grader, Get ready to read, Lots of homework",CAE533,True,,,3,0,0
2023-02-01,Extremely knowledgeable & established professor; Provides limited & vague assistance; Lacks empathy & compassion; Lectures theoretically while exams & assignments are problem based; Surpasses the work load of any 3 credit course I've ever taken; Course requires a lot of self-learning; Fast paced course; No TA; Overall unpleasant experience,1.0,5.0,"Tough grader, Get ready to read, Lots of homework",CAE530,True,non mandatory,,3,0,0
2020-05-04,"Great guy! He is a little intimidating because he knows everything about everything. Despite his workload, his grading criteria is clear and accurate so I highly recommend taking a class with him. Brownie points if you talk about Biscayne Bay or the Everglades",5.0,4.0,"Respected, Lots of homework, Caring",CAE240,True,mandatory,A,0,0,1
2019-05-11,you have to sacrifice other classes for his class,2.0,5.0,"Lots of homework, Get ready to read, Test heavy",CAE330,True,,F,5,1,0
2019-04-27,He demands excellence.,5.0,4.0,"Respected, Accessible outside class, Tough grader",CAE330,True,mandatory,B,5,0,0
2016-12-22,His classes are extremely challenging but somewhat doable. You have to go talk to him in his office hours if youre struggling. He takes into account that youre trying and that you care about his class. Dont get caught with a solutions manual!!,5.0,5.0,"Tough Grader, LOTS OF HOMEWORK, ACCESSIBLE OUTSIDE CLASS",CAE530,True,non mandatory,,5,0,0
2016-12-17,He doesn't teach well. Lectures off of slides for a course that is very problem-heavy. Doesn't really show the students how to solve the problems. Makes himself unavailable for help the day before exams.,1.0,5.0,"Tough Grader, LECTURE HEAVY",CAE330,True,,,5,3,0
2016-10-24,"He doesn't like the successful for his students and always try to fail them by his unbelievable tests . i think he is whispering during explaining the lectures and nobody understand him , and because he created the book , so nobody can stop him from destroying the civil engineering students. i swear that he is not fear !",1.0,5.0,"Tough Grader, LOTS OF HOMEWORK, TEST HEAVY",CAE330,True,non mandatory,,5,5,0
2016-08-18,"the worst professor ever! he knows what he is teaching but the classes are so boring and practically you will have to read HIS book by your own several times, do almost all the exercises from the book (at least 100 per chapter) to get a  good grade in the tests , long hw every week and tough grader!  YOU WILL NOT BE ABLE TO AVOID HIM SO BE PREPARE.",1.0,5.0,"Tough Grader, LOTS OF HOMEWORK, TEST HEAVY",CAE340,True,non mandatory,C-,5,1,0
2016-07-22,Dr. Chin has mellowed over the years. Most students learn a lot in his classes.,5.0,3.0,,CAE530,True,,,5,0,1
2016-07-22,Dr. Chin  the best professor in Environmental Engineering.,5.0,3.0,,CAE330,True,,,5,0,6
2016-07-22,Outstanding!,5.0,3.0,,CAE530,True,,,5,0,5
2016-07-22,A truly outstanding professor. All students should be required to take his class.,5.0,4.0,,CAE530,True,non mandatory,,5,0,4
2016-03-31,As a graduate student I received only As abd Bs. However his class I received a C. No matter how much you study or work on the homework he makes his tests impossible so you can only fail. He does not test application of knowledge. He rambles in class so paying attention is difficult.,1.0,5.0,,CAE533,True,,,3,3,0
2009-04-27,No Comments,3.0,4.0,,CAE340,False,,,5,0,1
2009-01-27,i wanted to transfare to another school because of his class...really boring. hard to understand or keep awake. he wrote the book and in the class he shows slides (examples in the book). exams are way different than examples and homeworks. when u get ur test back u see a grade and u dont know whats was right and what was wrong. try to AVOID him,1.0,5.0,,CAE330,False,,,1,10,0
