Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2023-01-07,"Between Dr. Giancaspro and Dr. Arboleda, I would recommend Dr. Arboleda. I was failing Dr. G's class and passed with a nice B in hers.  Her homework prepares well for the exams, although sometimes lectures can be confusing. Couple her lectures with YouTube resources, and you will be golden. She also has a cute dog and is very caring.",4.0,4.0,"Tough grader, Get ready to read, Lots of homework",CAE210,True,non mandatory,B,3,0,0
2022-05-26," I always heard older students complaining about CAE210. However, it really wasn't as bad as it seemed.Dr. Arboleda does an exceptional job motivating students and explaining difficult concepts very well.She is readily available for office hours and if she sees you participating and interested she will like you very much. Doing hw goes a long way",4.0,4.0,"Participation matters, Inspirational, Respected",CAE210,True,mandatory,B,3,0,1
2022-04-03,"DO NOT TAKE CAE210 WITH THIS INSTRUCTOR!!!  Her Lecture examples are extremely easy while her tests are extremely hard. Each Test is worth 70% of the grade and homework's only 5%, and it does not help that she is a tough grader. Enjoys lowering students gpa's. ",1.0,5.0,"Tough grader, Lots of homework, Graded by few things",CAE210,True,mandatory,Drop/Withdrawal,-1,2,1
2021-04-27,"If you are the average student, you need need to take this class seriously. If you don't study, you won't pass. Simple as that. She is a very tough grader. If you don't study, don't be surprised if you don't get partial credit for a problem that is worth 35 points in the exam.",3.0,5.0,"Skip class? You won't pass., Test heavy, Tough grader",CAE210,True,non mandatory,,0,0,0
2021-04-27,"She is nice as a person and willing to help. To pass, I would definitely review her lectures. The book was useless. &amp; Take the test seriously.",3.0,4.0,"Participation matters, Test heavy, Tough grader",CAE210,True,mandatory,B,0,0,0
2019-05-08,"Extra credit is possible, but you must spend time on the lab reports. Look forward to them instead of trying to get them out of the way, and you might end up with a couple of 105's or a 110.",4.0,3.0,"Gives good feedback, Lots of homework, Skip class? You won't pass.",CAE212,True,mandatory,A+,0,0,0
2018-11-08,Acts friendly and lectures a class based on problem solving using powerpoints which is absolutely useless. Tests are extremely hard and it doesnt help that she is not a fair grader. Do not take this class with diana!,1.0,5.0,"Tough Grader, Skip class? You won't pass., LOTS OF HOMEWORK",CAE210,True,mandatory,,5,2,0
2017-07-12,"Professor Arboleda is very helpful and really enjoys professing to students eager to learn new material.  Show up for class, put in the effort, do the homework and you will find the course material becomes very manageable.",5.0,4.0,"Gives good feedback, ACCESSIBLE OUTSIDE CLASS, Amazing lectures",CAE210,True,mandatory,A-,5,0,0
2016-09-28,"This class is not avoidable. Probably the most important class of your life as a CAE Engineering major. You will use these concepts in every other class in the department, so it is essential that you understand the topics and how to do the problems, otherwise you will struggle in college. The homework is going to be hard and exams harder.",3.0,5.0,"Skip class? You won't pass., LOTS OF HOMEWORK, Hilarious",CAE210,True,mandatory,C+,5,1,0
2016-04-11,"This class is difficult no matter which teacher you take it with. Dr Diana is a tough grader but if you put in the effort, she will work with you. If you ever have any questions you can always go to her office and she will make sure you understand the material.",4.0,4.0,,CAE210,True,mandatory,A,3,2,0
2015-05-12,"Tests are worth 70% of your grade, while the homework is 5% yet takes YEARS to complete, and is absolutely horrible.",2.0,5.0,,CAE210,True,mandatory,B-,3,2,1
2015-05-12,"Absolutely ridiculous class. The first test she admitted she didn't give us nearly enough time, and the test average was a 66%. What do you know? No curve given. There wasn't a single point of extra credit, you have hours of homework every week, and the tests are much harder than what the other classes are given. Avoid this teacher at all costs.",3.0,5.0,,CAE210,True,mandatory,B,4,0,0
2015-05-03,"Diana is a nice professor, her classes never get boring but her tests are tough! You need to understand the material very well if you want to pass. YOU CANT CHEAT in her class so you have to study well.  If you don't understand the material just go to her office hours and she will make sure you understand everything. ",2.0,4.0,,CAE210,True,,,5,1,0
2015-03-24,Very kind and helpful when needed. Must teach yourself much of the material. Her examples in class are typically very easy. Homework takes years to complete and is essential part of grade.,2.0,5.0,,CAE210,True,,,4,1,1
