Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-03-05,"I am midway through the semester and I already feel like I've lost half of my braincells. 

On the other note: His lectures aren't very helpful so read the textbook/lecture notes), or find YouTube videos, or anything. Keep on track of all the quiz dates, and Please PLEASE go to the TAs, they are so much better in explaining the material. Good luck!",1.0,4.0,"Tough grader, Get ready to read",CSC317,True,non mandatory,Not sure yet,3,0,0
2025-10-20,"Unclear lectures. Great syllabus. Use sections from the textbook to study for quizzes and you'll pass with an A almost guaranteed. Grade is decided by class average so just focus on being above average.
Never seen a professor write so many factually incorrect statements.",3.0,4.0,"Tough grader, Get ready to read",CSC317,True,non mandatory,Not sure yet,3,0,0
2025-10-20,"Honestly skip the lectures, read the book thoroughly, ask the TAs what will be on the quizzes and you will do just fine. If you get a bad grade on the quiz, most of the time you can go to his office hours to argue with him and get some extra points. He also curves the class so as long as you are above the average, you end with an A. ",2.0,5.0,"Tough grader, Get ready to read",CSC317,True,mandatory,A,3,0,0
2025-10-20,"structured syllabus and quiz content is known beforehand, so you can just go by the textbook. Lectures confuse you more than they help. You do better if you just skip and show for quizzes .",2.0,3.0,,CSC317,True,non mandatory,A,-1,1,0
2025-04-28,"Many complaints about this course come from students who skip lectures and cram. If you show up, take notes, and keep up, the material is tough but manageable. Don't expect an easy A the night before the exam. The professor can be blunt, but his office hours are genuinely helpful. You'll be fine if above the average. Only hw and quizzes.",4.0,4.0,Tough grader,CSC317,True,non mandatory,Not sure yet,3,0,2
2025-04-22,"Avoid this professor at all costs. He makes an easy class difficult and is very critical. The curve was almost 20%. It's hard to hear him, and he won't answer questions directly, instead asking if you did the reading. If you take the class, meet with him to review quizzes, but expect to be berated if below 90.",1.0,5.0,"Get ready to read, Lecture heavy, Test heavy",CSC314,True,mandatory,B,3,0,0
2025-01-27,Teaches in a way that will make you confused about everything and confident about nothing. My grade went up when I stopped going to lectures and exclusively read the textbook. The book is the way,2.0,5.0,Get ready to read,CSC314,True,non mandatory,A,3,1,0
2025-01-24,Enjoys making the class more difficult than needed. ,1.0,5.0,,CSC317,True,mandatory,,-1,1,0
2025-01-24,"I would like to warn those who need to take this class to be prepared for the semester to come. He will make you feel like you do not know the material no matter how hard you try, the averages on his quizzes are in the 40s. He will say one thing in class, but grade your quiz differently. It is ROUGH to say the least. ",1.0,5.0,,CSC314,True,mandatory,B,-1,0,0
2025-01-24,"This guy made me depressed, seriously. I HAD to take him for two classes, which were the worst experiences of my academic career. He does not teach well at all, and he will tell you that, sure, your answer is correct, but he did not like your way of stating it. If you do not understand him, he will make you feel bad for asking questions. AVOID!!!",1.0,5.0,"Tough grader, Lots of homework",CSC317,True,mandatory,,-1,1,0
2024-11-27,His accent makes him very hard to understand and he is condescending when answering questions (if he even answers). His quizzes make no sense and we're stuck guessing what will be on them. Our class consistently scored very low on his quizzes and he blamed us every time. He grades the homework very late and very tough. Actually awful experience.,1.0,5.0,"Tough grader, Test heavy",CSC314,True,non mandatory,Not sure yet,-1,1,0
2024-10-14,"Gave a quiz the day after the fall break ended, so I will automatically give a 1. Besides that, really hard to understand accent, is very rude, and makes almost no effort in teaching the class. This professor is a nightmare, and makes a class that is not that difficult almost impossible. Avoid.",1.0,4.0,"Tough grader, Lecture heavy, Graded by few things",CSC314,True,non mandatory,Not sure yet,3,1,0
2024-04-29,"Dr. Sarkar gets a horrible rep because he's a very tough grader. He can come across as rude sometimes when you speak to him, but I felt like he really wanted us to learn and he was honestly a great lecturer if you pay attention. I was afraid to take him due to other reviews, but he wasn't so bad. The class material is very difficult, so be prepared",4.0,5.0,"Tough grader, Get ready to read, Lecture heavy",CSC317,True,non mandatory,A,3,0,3
2024-03-14,"The most trivial class you will take in CS probably. As long as you have the slightest clue about computers, you need not read the textbook or go to class. Take this for a free A.",5.0,1.0,"Amazing lectures, Hilarious, Caring",CSC314,True,non mandatory,A+,3,3,1
2024-01-15,horrible. directions are never clear. He grades homeworks horrible in a way that makes no sense and the whole class was complaining allll semester. He says all students should learn and if u ask why u got a certain grade he says dont worry about it. He also is rude to students and not nice at all. he makes no sense and class is not fair. ,1.0,5.0,Tough grader,CSC116,True,mandatory,A,-1,1,0
2023-12-10,"Worst professor at UM. Speeds thru slides, and you need to FIND the slides online cus he doesn't give them to you but you need them to pass the quiz. Impossible to understand accent, going to class is meaningless. Not hard material, but he makes it hard. Wouldn't recommend this professor to anyone I know. Avoid if you can.",1.0,4.0,"Tough grader, Get ready to read, Lots of homework",CSC314,True,non mandatory,Not sure yet,3,1,0
2023-12-04,"I've read reviews that say ""avoid at all costs"". None have been truer than the reviews that say that about Dilip. Truly a difficult person to work with, and a class that is nearly irrelevant. 

Seriously, wait a semester and take this class with the other prof. ",1.0,4.0,,CSC314,True,non mandatory,C+,3,2,0
2023-12-01,"Grade is based on six quizzes and 10 hw's. Quizzes get progressively harder. 

Hard to understand at times and he confuses himself while explaining on the board.

It's not hard to get an A but you will have to study by yourself before a quiz. The material isn't even hard, he just makes it confusing to understand. Good luck lol
",1.0,3.0,"Get ready to read, Lecture heavy, Test heavy",CSC314,True,non mandatory,Not sure yet,3,2,0
2023-11-10,"Professor tells you one thing and then the TA takes points off for it. There is no way to prepare for the quizzes besides reading the textbook. You won't learn anything in this class that is relevant for a computer science major. Outdated course, outdated professor. ",1.0,5.0,"Tough grader, Lots of homework, Test heavy",CSC314,True,mandatory,Drop/Withdrawal,3,1,0
2023-11-10,"Worst professor I have taken at UM. Homeworks are pointless and so are the quizzes. His accent is to strong to even understand, he makes you email or go to the TA of the class if you have a question. He will take points off if you don't write exactly what he wants in his exact words. Worst professor ever",1.0,4.0,"Tough grader, Lecture heavy",CSC116,True,non mandatory,Not sure yet,-1,1,0
2023-11-07,"This class was very interesting. If you take it with with Sarkar, you will learn a lot. He is difficult, but the material is not. If you show up to class, go to his office hours, and ask questions, he will help you out. He may flip, but he will never flop.",5.0,4.0,"Hilarious, Caring, Graded by few things",CSC314,True,non mandatory,A,3,3,3
2023-11-01,Useless quizzes and HW; He chooses one topic to put on the quiz that is close to impossible to solve. Professor is condescending and is never available for office hours. An embarrassment for the university. ,1.0,5.0,"Tough grader, Lots of homework",CSC314,True,non mandatory,Not sure yet,3,1,0
2023-09-22,Horrible professor ,1.0,4.0,Tough grader,CSC116,True,non mandatory,B-,-1,1,0
2023-01-16,"Avoid if you can!! That's all I have to say. No explanation needed, trust me!",2.0,5.0,"Tough grader, Get ready to read, Lecture heavy",CSC314,True,non mandatory,A-,3,1,0
2022-12-14,"Not hard to get good grades. I got C because I didn't hand out the final project. Homework every week, and frequent quizzes. Homework & quizzes contain the same types of questions.
The slides on black board are often incomplete or not up to date. Write down everything he says in class.
Teacher is arrogant and not helpful but overall an easy class.",2.0,4.0,"Participation matters, Lecture heavy",CSC116,True,mandatory,C,-1,1,0
2022-10-19,"Worst professor I've ever had. Avoid taking this class as if your life depends on it. Unclear & unfair policies, harsh grader, condescending, accent is impossible to understand. Language barrier results in terrible explanations; one is forced to rely on the textbook for the entirety of course material. PLS don't take this prof!! Save yourself!!!",1.0,5.0,"Tough grader, Lots of homework, Lecture heavy",CSC314,True,non mandatory,A,3,1,0
2021-11-30,"This was one of the worst classes I've ever taken at UM. I was so excited to learn about this but he's truly made it a miserable experience. Extremely rude when you ask questions, grades extremely unfairly with no clear instructions or helpful feedback, and delivers material in the most boring and confusing way ever. DON'T TAKE THIS PROFESSOR!!!!",1.0,4.0,"Lots of homework, So many papers, Tough grader",CSC116,True,mandatory,Not sure yet,0,2,0
2021-04-08,"One of the worst professor's ive ever had. Gives assignments before he teaches the material. Thick accent so he's impossible to understand, and participation is 10% of your grade even though the material he teaches has nothing to do with the homework",1.0,4.0,,CSC317,True,mandatory,Not sure yet,5,1,0
2020-05-10,Easiest A of my entire life. I thought I accidentally enrolled in Algorithms (Tutorial mode version) it was that EZ. All of the homeworks and exams are trivial. Real computer scientists need not worry about this class. &#55357;&#56846;,3.0,1.0,,CSC314,True,mandatory,A,5,0,1
2019-12-06,"His lectures are confusing and he's terrible at answering questions. Definitely the worst professor I've had in the comp sci department. That being said it's easy to get a good grade if you show up and do your homework, you probably won't learn much though.",1.0,2.0,,CSC116,True,,,0,1,0
2019-11-22,"He's a good teacher, his lectures are just very lengthy. Even though homework is due every week and quizzes are twice a week, they are VERY easy. I don't even need to show up to class most of the time because he puts all the power-points online which helped me study. He has a very strong accent but its not so bad.",4.0,1.0,"Lots of homework, Accessible outside class, Clear grading criteria",CSC116,True,non mandatory,A,0,0,1
2017-07-01,"Surprise quizzes, difficult tests, and arbitrary grading. Get ready to read the textbook, take lots of notes, and do long homework assignments. Dr. Sarkar is definitely one of the hardest professors in the CS department.",4.0,4.0,"Participation matters, GRADED BY FEW THINGS, LECTURE HEAVY",CSC314,True,mandatory,A+,5,1,3
2016-12-16,"Worst experience as a professor I have ever had. I don't mind a hard teacher but at least be able to teach. He can be condescending towards students will make you feel like you don't know anything. Has a difficult time explaining what he means and when he gets confused which happens often, will make something up to accommodate his mistakes.",1.0,5.0,"Tough Grader, TEST HEAVY",CSC314,True,non mandatory,Not sure yet,5,6,0
2016-11-18,"He is the worst professor I have ever met. He could not explain a single thing, but the worst part is that his test was something he did not cover in class.",1.0,5.0,Tough Grader,CSC314,True,non mandatory,C+,5,6,0
