Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-12-19,"I love Dr. Dauer! He is so kind. You go into this thinking what even is a scanning electron microscope? and at the end, you're an expert! He tries his best to make the class not stressful. One exam (study guide) and 3 projects that you can do in class with his and the TA's help. He is amazing and helpful for premeds. Attendance not always mandatory",5.0,1.0,"Inspirational, Hilarious, Caring",BIL352,True,non mandatory,A+,-1,0,0
2025-10-07,He is the best and truly wants to help his students. This class is fun and super laid back. 1 test just so you know how to use the machinery. Then its just projects which he is always around to help you for. Hes also on the admissions team for med school and makes it known that he wants to help everyone. Def take him hes amazing,5.0,1.0,"Caring, Respected, Accessible outside class",BIL352,True,mandatory,,-1,0,0
2025-04-22,"Dr. Dauer is the best!! He wants you to have a fun, easy class without any stress while learning a great technical skill. He is an exceptional person with incredible experiences to share with his classes. He is dedicated to the short- and long-term success of his students. I cannot recommend him enough. Please take him!!!!",5.0,1.0,"Inspirational, Hilarious, Caring",BIL352,True,mandatory,Not sure yet,-1,0,0
2025-04-22,"Dr.Dauer wants his class to be enjoyable and easy. He is passionate about his job and cares deeply for his students. He is a very funny guy and will spend class telling stories. You don't have to come to class if you are busy but its good to just go and get your projects done quickly. The TA grades everything and they're all very nice.
",5.0,1.0,"Gives good feedback, Caring, Respected",BIL352,True,non mandatory,Not sure yet,-1,0,0
2025-04-22,"Really great class to learn a technical skill liked by employers, plus Dr. Dauer is a great professor and the class does not have a heavy workload at all.",5.0,1.0,"Clear grading criteria, Hilarious, Respected",BME522,True,non mandatory,A,-1,0,0
2025-04-22,"Good class, doesn't want students to stress. Attendance is optional except on presentation days. ",5.0,2.0,,BIL352,True,non mandatory,Not sure yet,-1,0,0
2024-11-11,He is very nice and easy going ,5.0,1.0,"Amazing lectures, Inspirational, Respected",BME602,True,non mandatory,A,-1,0,0
2024-08-23,"Though Prof. Dauer can seem a bit disorganized, their engaging stories and commitment to student success make their class worthwhile. Use unstuckstudy AI alongside the textbook to excel.",5.0,3.0,,BME681,True,mandatory,B,3,0,0
2023-12-08,"He gives a very in depth review for exams, but you still have to put in the time to study. His stories mid-lecture are entertaining. Would recommend taking his class.",5.0,3.0,,BME681,True,non mandatory,A,3,0,0
2023-11-30,"I had the privilege of taking Dr. Dauer's course. Their exceptional teaching skills, clarity in explanations, and dedication to student success made the learning experience enriching. They fostered an inclusive environment, encouraging participation and providing valuable insights. I highly recommend Dr. Dauer for an outstanding academic experience",5.0,3.0,"Participation matters, Amazing lectures, Gives good feedback",BME681,True,non mandatory,A,,0,0
2023-11-28,Clear about what you need to know for the test.,5.0,3.0,"EXTRA CREDIT, Amazing lectures",BME681,True,non mandatory,B,3,0,0
2023-11-27,This professor is perfect. Just actually study and you'll be absolutely fine.,5.0,1.0,"Amazing lectures, Lecture heavy, Graded by few things",BME681,True,non mandatory,A,3,0,0
