Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-05-05,He doesn't deserve the reviews he is getting. The class is sooooo easy as long as you show up 75% of the time and pay attention. Free A,4.0,2.0,,BTE320,True,non mandatory,A,-1,0,0
2026-05-05,"I think I went to 5 classes max. this guy could not care about his students less, but he is a free A.",3.0,1.0,Hilarious,BTE320,True,non mandatory,A+,-1,0,0
2026-03-25,"Accent is very difficult to understand, lectures are long and boring, class content is already difficult as is, only graded on 2 exams and a project. Avoid this guy at all costs",1.0,4.0,"Lecture heavy, Graded by few things",BTE320,True,non mandatory,A,-1,0,0
2026-01-23,"He's a good guy who cares about his students. The accent is a little tough to understand, but most of the content is straightforward.",5.0,3.0,"Group projects, Clear grading criteria",BTE422,True,non mandatory,A,-1,0,0
2025-05-15,"He is nice but hard to understand, still overall liked him.  The assignments make up the bulk of the class and are easy 100% as long as you do them.  The tests are not super easy but dont take a lot of study time to get ready for.  as long as you get a B on each plus the assignments you will get an A in the class. ",3.0,2.0,Lecture heavy,BTE320,True,non mandatory,A,-1,0,0
2025-04-30,professor is really caring and nice but i could not understand him at all cause he has a very thick accent. attendance was not mandatory though and i find the lectures to be pretty useless. most of the grades come from assignments that are due the end of the semester ,2.0,3.0,Caring,BTE320,True,non mandatory,,-1,0,0
2025-01-21,"Really nice dude. Lecture heavy but provides good examples and goes through the concepts very clearly. Class assignments make up majority of your grade which is great if you attend class and even if you miss some, go to his office hours or his TA's office hours and they'll get you straight. ",4.0,2.0,Accessible outside class,BTE320,True,non mandatory,A,-1,0,0
2024-12-03,He lectures alot but it's great practice along with a great conceptual understanding of the course. Exams are easy if you study well the lectures and practice. No homework just assignments which are all done in class with him. Clear grading criteria and super nice teacher!,4.0,3.0,"Clear grading criteria, Lecture heavy, Accessible outside class",BTE320,True,non mandatory,Not sure yet,-1,0,0
2024-05-07,"This class apparently received an overhaul for this semester, and this version of it was very nice. 75% of the grade is composed of in class activities, meaning that if you attend and do nothing else, you get at a C. Professor also explains well the material, the only thing really missing in this class is more coding practice.",5.0,2.0,"Caring, Lecture heavy",BTE320,True,non mandatory,A,-1,0,0
2024-05-04,"I don't think he deserves the reviews he gets on this website. BTE 320 is a hard class; however, if you put in the time, you will be able to do fine. He also provides the best notes and examples, which have honestly helped me learn how to code significantly better than I ever have in the past. I only wish that we actually coded more in the class. ",5.0,3.0,EXTRA CREDIT,BTE320,True,non mandatory,,-1,0,0
2024-05-01,"I'm not sure what has changed about Skordilis's class, but it was extremely easy spring 2024. I genuinely got a good understanding of python and while the class is lecture heavy, he often gives in class practice where he works with each student individually. He's a super nice guy and walks you through all assignments which are 75% of grading. ",5.0,2.0,,BTE320,True,non mandatory,A+,-1,0,0
2024-04-12,"The class is really not as hard as some make it out to be. I had no prior code knowledge. As long as you come to class at least 60% of the time you'll get the info you need. The only thing is he could expect you to know some things later in the semester. But he does every assignment in class with you, which makes up like 70% of the grading.",4.0,3.0,"Lecture heavy, Graded by few things",BTE320,True,non mandatory,,-1,1,0
2024-03-05,"would not recommend taking unless you have already taken and passed a course in the comp sci department. the professor explains things extremely well if you have some background knowledge, but if this is your first time programming, you're likely to get lost fast. not much homework/practice to go off either, pretty much just exams.",2.0,4.0,"Lecture heavy, Graded by few things",BTE320,True,non mandatory,A,-1,0,0
2024-02-21,Low key reminds me of Dr. Doofenshmirtz,3.0,3.0,"Lecture heavy, Graded by few things",BTE320,True,non mandatory,Not sure yet,-1,3,0
2024-01-18,"SO BAD. I didnt know python going into it and that didnt change. The midterm was must choice, I somehow did okay, but he curved that a lot. for final we had to type code which was so.hard. I got a 30 and actually studied. Most ppl I know were on the cusp of failing. He doesn't care if u show up, he j lectures and is so boring",1.0,5.0,"Tough grader, Lecture heavy, Test heavy",BTE320,True,non mandatory,B+,-1,1,0
2023-10-26,"He is a nice person but HORRIBLE professor. All he does is read over lecture notes and gives no time or resources for students to actually practice the skills he ""teaches"". Do not take unless you have to or already know python. The only good thing is that he curves because everyone fails his exams. ",1.0,3.0,Lecture heavy,BTE320,True,non mandatory,Not sure yet,-1,0,0
2023-05-05,"Don't take professor Skordilis, especially for BTE 320. No one understands the lectures or learns anything. If you don't already know python you will have no clue what's going on. Attendance is mandatory. ",1.0,5.0,"Lecture heavy, Graded by few things",BTE320,True,mandatory,Not sure yet,-1,0,0
2023-02-06,"Honestly, I have no clue how this is an introduction course. Do not take this class unless you already know python or it's required for your major. You are graded by two separate 30% exams (midterm and final) and a group project. He assigns no homework and that makes it even harder.",1.0,5.0,Lecture heavy,BTE320,True,mandatory,Not sure yet,-1,0,0
2023-01-18,"I do not know how this is an intro to programming class. Definitely do not take unless you already know Python or another similar coding language. If you do, then this class is very easy especially considering the curve you get from the others who do not know how to code.",3.0,1.0,"Lecture heavy, Graded by few things",BTE320,True,mandatory,A,-1,0,0
2023-01-11,"Surprisingly funny guy as you get to know him. You can expect a couple of projects (pick a good team) and a final based on the slides that will be, likely heavily, curved (avg was ~65%). Almost everyone finished with a good grade because he wants you to do well (unless ur a no-show). Get your work done, participate when you can, and you'll be good.",4.0,3.0,"Caring, Lecture heavy",BTE422,True,mandatory,A-,-1,0,0
2022-12-17,"This is a warning. Only take this professor if you absolutely have to or if you already know python. Otherwise, good luck. There are two exams and one project. Go to class for attendance points.",2.0,5.0,"Lecture heavy, Graded by few things",BTE320,True,mandatory,B,-1,0,0
2022-05-04,"He's a great guy just should not be a professor. He reads word for word off of the lecture slides and expects you to memorize the entire slide deck (over 100 slides) for the exams. Most people got 60s on the exams, the highest exam score someone got was an 80. He curves at the end which saves your grade but still just a terrible professor.",3.0,4.0,Lecture heavy,BTE210,True,mandatory,Not sure yet,-1,0,0
2021-12-16,"You won't be able to understand him for the first few lectures, but then you'll get used to his accent. Lectures are useless and what he says is irrelevant. Tests are based on powerpoints. Everyone does awful on the tests, but there's a massive curve. Final only worth 10% of grade, test 20, and group project 35. OK option, prob better ones",3.0,4.0,,BTE210,True,,A,0,0,0
2021-12-14,Professor Skordilis is a nice guy. But that is about all he is. His lectures in class are nothing more than reading off slides that he does not explain. The tests however are the worst you could possibly imagine. The average grade for a test is around a 65 at best. He grades around 5 things only so your terrible test grades will be your whole GPA.,1.0,4.0,Graded by few things,BTE210,True,non mandatory,,0,1,0
