Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2020-12-10,"Dr. Fahad is a very NICE professor, however he is not the best at explaining his material. He typically reads through his powerpoints and expects you to do all examples and problems on your own. He wants his students do well, but isn't the best at explaining the concepts - just reading off the powerpoint.",4.0,3.0,"Group projects, EXTRA CREDIT",IEN311,True,mandatory,A+,0,0,0
2020-12-07,"Had Fahad for Intro to Engineering. Favorite professor, super helpful, takes things slow / many examples. For applied prob. and stats, did a lot of practice in lectures, gave 20 points extra credit, very flexible grader, super helpful in office hours. Assigns group work and will allow you to fix mistakes for better grade. Values your participation.",5.0,3.0,"Accessible outside class, Group projects, EXTRA CREDIT",IEN311,True,mandatory,A+,0,0,0
2020-11-20,"Fahad is the best professor out there. He is the most kind and understanding guy and is so helpful. He really cares about what he teaches, and he wants you to learn. Fahad will give you his cell number, and respond to your questions and emails at super speed. A very kind man, and an excellent professor.",5.0,2.0,"Respected, Accessible outside class, Caring",IEN311,True,non mandatory,A,0,0,0
2019-10-15,He is a great prof and makes life very easy for you. The exams are relatively easy (you can study for 1-2 hours and get 85+).,5.0,2.0,"Gives good feedback, Respected, EXTRA CREDIT",ECE111,True,mandatory,A,0,0,0
2018-09-12,"He is a very kind individual but his material IS tough! HOWEVER, he responds EXTREMELY FAST to emails almost 24/7! He has a few quizzes and exams, but at least the exam is open notes for papers and textbook, however, you STILL DO have to study! Also, visit him at his office hours if you need additional assistance on C++! He will respect you for it!",4.0,3.0,"Tough Grader, Skip class? You won't pass., ACCESSIBLE OUTSIDE CLASS",MAE111,True,mandatory,D+,5,0,0
2018-01-05,Holds the official world record for fastest email response at 38.627 seconds.,5.0,1.0,"Skip class? You won't pass., Amazing lectures, Would take again",CAE111,True,mandatory,A+,5,5,0
2018-01-05,"C++ and MatLab easy A. Teaches you well so you understand instead of memorizing. If you listen in class to his amazing lectures, you do not need a cheat sheet. Don't listen to people who say you do because they probably dozed off in class. Grades fairly. Who knew a professor actually knows what he's talking about? Look forward to Cheesecake Factory",5.0,3.0,"Amazing lectures, GROUP PROJECTS, Would take again",CAE111,True,mandatory,A+,5,3,0
2017-05-06,He's a great professor who explains all the topics in great detail. He is always asking for feedback and if anyone is loss and needs help. He has high expectations for his students but he gives you all the tools to surpass those expectations.,5.0,4.0,"Participation matters, Skip class? You won't pass., Amazing lectures",CAE111,True,Y,,5,2,0
2017-04-01,Fahad is a really great teacher but has high expectations for his students and expects them to be exceeded. He also is very good at teaching C++ and gives helpful examples/exercises in his power points.,4.0,3.0,"Tough Grader, Clear grading criteria, Amazing lectures",BME111,True,mandatory,A,5,0,0
2016-12-21,"Fahad has very clear expectations for his students, and as long as you do what he says you will be fine and get an A in his class. Coming to class is a must, he is not afraid to chew you out if you skip. Also, if you raise your hand and participate in class he will sometimes hand out extra credit. Take Fahad if you can!",5.0,2.0,"Respected, Skip class? You won't pass.",BME111,True,mandatory,A,5,0,0
2016-02-24,One of the best engineering professors that I've ever had at the University of Miami. He has a real gift of teaching. Don't miss any classes and do your work and it's an easy A.  If you fail this guy's class you should probably pick another major. Seriously.,5.0,3.0,,ECE111,True,mandatory,A+,5,8,0
2015-07-28,he's awesome!! really understanding and helpful but it's really scary when he gets mad,5.0,2.0,,ENG110,True,mandatory,A+,2,1,0
2015-07-01,Such a great professor! Wish he taught every section of the class,5.0,1.0,,BME111,True,mandatory,,4,2,0
2014-12-03,"Fahad is the best intro to engineering teacher by far. Teaches C++ very well, has you learn it and have fun. You still need to pay attention, but as long as you meet him half way, youll be fine in the class. Keeps it interesting and entertaining",5.0,1.0,,BME111,True,mandatory,Not sure yet,1,1,0
2014-12-03,Amazing teacher makes a very difficult class seems so easy.,5.0,3.0,,EN111,True,,,1,1,0
2014-12-03,"Fahad was very good at teaching programming, making sure that everyone understood what was going on. You'll have to pay attention instead of playing on your computer, but he's not the hardest teacher . He'll give hints on what will be on the next quiz. However his test did have many ""trick"" questions on it, so you'll have to pay attention.",5.0,2.0,,BME111,True,mandatory,A,1,2,0
2014-06-08,"Helpful, funny and an all around great professor and person. The class is not hard at all, so put in the work and you will get an A.",5.0,1.0,,IEN112,False,,,5,1,0
2014-05-01,Great professor and person! Always willing to help and is extremely approachable. I wish he taught more courses!,5.0,2.0,,IEN112,False,Y,Not_Sure_Yet,4,0,0
2014-01-31,"Awesome teacher. C++ is not easy, but he presents it in a way that is understandable and he is always willing to help you with any problem you have. Definitely a the best out of the three for EEN 111. Take him, and love it while you can.",5.0,3.0,,EEN111,False,Y,A,4,1,0
2014-01-15,The best prof but not that easy class,5.0,3.0,,IEN111,False,,,3,0,0
2013-10-28,"he is the best, take him!!",5.0,3.0,,EEN111,False,,,4,0,0
2013-04-30,"Such a good engineering professor it's a shame others don't follow his teaching methods and example.  Very clear, explains concepts well and motivates students to reach full potential",5.0,1.0,,MAE111,False,,,2,0,0
2013-02-18,Fahad is the best professor I have had yet at the U.  He is very helpful and offers up good advice.  He helped me realize that I needed to change my major before it was to late.  Now I am in Industrial Engineering rather than Mechanical and it is the best decision I have ever made!,4.0,3.0,,IEN3732,False,,,3,0,0
2011-08-28,"I love Fahad! Amazing teacher, explains everything very well, gets people to participate for extra credit and to help the class learn. He wants students to pass and understand the material. His tests have fine details but study hard! TAKE HIM!",5.0,3.0,,BME111,False,,,3,1,0
2009-11-04,"The best professor so far in the U. Mind that being from Saudi Arabia, his english is not perfect, but the clearest in the whole engineering dept. Not an easy guy on test/quizzes (watch the minute details!) Will be around to help almost 24/7",5.0,4.0,,MAE111,False,,,2,0,1
2009-04-21,Very helpful and flexible with the grades but don't miss any class.,4.0,3.0,,EEN211,False,,,5,0,0
2009-01-28,Best teacher in the engineering school,4.0,2.0,,EEN111,False,,,3,0,0
2009-01-27,really a nice guy. he is helpful and you can understand hi very well.,5.0,2.0,,CAE110,False,,,5,0,0
2008-11-03,"Pretty cool teacher. Goes through lectures pretty fast and clear, give actual hands-on assignments. By far the best of the 3. The test are pretty easy if you pay attention to the lectures.",5.0,1.0,,EEN111,False,,,2,0,0
2008-10-21,Fahad is a great teacher for C++.  Very helpful and able to keep the class interested in what can sometimes be a boring subject.,5.0,1.0,,EEN111,False,,,2,0,0
2007-12-07,"Teaches C++ portion of Intro Engineering.  Good guy, willing to help, genuinely interested in his students. Though he is foreign, his accent isn't strong and he is easy to understand. Thoroughly explains everything he teaches to ensure understanding, which can get boring after two hours. Deepest voice I've ever heard in person. Good sense of humor.",4.0,3.0,,EEN111,False,,,1,0,0
2007-10-30,"Fahad is a cool dude, he makes sure that you know the stuff, even though he goes through it all fast. I had him for Visual C++.",4.0,3.0,,MAE111,False,,,2,0,0
2007-09-18,"Fahad is the best teacher in the U, hands down! I had his class in the Spring 07, and i wish i could take it again. He makes sure that everyone understands the material and he is very helpful if your having trouble getting it. Aside from that, he is one cool mofo! If you can take any class with this guy, do it! You wont regret it!",5.0,4.0,,EEN111,False,,,4,0,0
2007-05-17,he is the best intro. teacher you will see .. this class required a lot of work but ENGINEERS HAVE NO CHOICE .. he is way better than Ram and Famhmi,5.0,3.0,,IEN111,False,,,4,0,0
2006-12-14,The best,5.0,1.0,,BME111,False,,,4,0,0
2006-11-18,Fahad presents the programming material well and reinforces the concepts.  His quizzes and exams reflect what he teaches.  I e-mailed him a question I had-he replied within a couple hours.,5.0,2.0,,MAE111,False,,,3,0,0
