Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-03-22,"322 is a class where the majority of learning is done through assignments & projects. lectures are geoff reading his notes and reviewing code. he puts exam style questions at the bottom of his notes which are what he uses on his exams. if you complete the labtasks without brainlessly dumping them into gpt, the midterm (no final) ends up being easy",5.0,3.0,"Inspirational, Lots of homework, Accessible outside class",CSC322,True,non mandatory,A+,-1,0,0
2025-12-22,For me personally I found this class very boring. Geoff would stay seated in lecture the whole time and read off of a long page of notes. He's a nice guy but I found the class hard to get through. ,2.0,4.0,,CSC322,True,non mandatory,A,-1,0,0
2025-12-02,"I really liked taking Geoff for this course, a lot of his lectures were just listening to what he was saying and looking at his screen without a lot of interactivity, but you did learn by being there. Grading is based on projects and midterms but no final. The midterms were tricky but the professor gave some extra credit to make up for it. ",4.0,3.0,"EXTRA CREDIT, Lots of homework, Lecture heavy",CSC322,True,non mandatory,Not sure yet,-1,0,0
2025-02-14,"I would take again, lectures are not mandatory, they are recorded. If you do the zybook and understand them, you'll be fine.",5.0,2.0,Hilarious,CSC120,True,non mandatory,A,3,0,0
2025-01-21,Good professor. Not too hard just ask the TA's if you need help. Lectures are funny. I would take it again.,4.0,3.0,Clear grading criteria,CSC120,True,non mandatory,A,3,0,0
2024-07-07,Grade is mostly 2 projects and 2 exams. Exams are open everything (including chatGPT) Weekly labs are useful for practicing content learned the week prior. Amazing lectures that explain complicated CS topics easily & visually. Super accesible outside of class & responds to emails quickly. Geoff wants you to learn. Very doable if you put in effort.,5.0,2.0,"Amazing lectures, Hilarious, Accessible outside class",120,True,non mandatory,A+,3,0,0
2023-12-14,"Dr. Sutcliffe was a very easy professor for CSC 120. Grading was simple and lots of chances to make up points and do well. The class consisted of weekly labs, two projects, a midterm, and a final. The midterm and final are open note (you can use google), lab tasks and projects were simple enough and you had lots of time and help for them. ",4.0,1.0,"Clear grading criteria, Hilarious, Caring",120,True,mandatory,A+,-1,0,0
2023-11-13,"Geoff's THE GUY. He's goofy and always cheers up the class. He teaches UNIX and C well and you can always go up to him for help. Weekly lab HW, 2 open book midterms on BB and 2 projects. He covers a lot of topic so each lecture can be quite dense and he might go too fast at times. Take him if you really want to learn and enjoy lectures.",5.0,4.0,"Amazing lectures, Hilarious, Caring",CSC322,True,non mandatory,A,-1,0,0
2022-10-05,he does not wear shoes,4.0,1.0,,CSC545,True,mandatory,,3,4,0
2022-05-02,"Geoff is the GOAT, hands down best CS professor at this school. He's hilarious and really wants students to succeed. Android programming is a bit tricky at first but if you keep up in class and do assignments regularly you're guaranteed to get a 100 in the class. About 20 mini-apps total (given weekly), and three projects. 10/10 would retake.",5.0,3.0,"Lots of homework, Hilarious, Respected",CSC330,True,non mandatory,A+,-1,0,0
2021-12-28,Hands down the best professor CS department has to offer. He is as good as a professor can get. Always jovial who is very accessible outside class too. The contents get difficult in the last two months so you always have to keep up with it so beware. Didn't have any prior programming experience so had to work super hard. Projects and exams tricky.,5.0,4.0,"Gives good feedback, Accessible outside class, Hilarious",CSC120,True,non mandatory,A+,0,0,0
2021-12-23,"Overall a great professor, He is very nice and I would take him again. He is always cracking dad jokes and puts care into his students. He loves computer science and will explain everything perfectly and thoroughly..",5.0,3.0,"Respected, Hilarious, Caring",CSC120,True,non mandatory,,5,0,0
2021-12-23,"Overall a great professor, He is very nice and I would take him again. He is always cracking dad jokes and puts care into his students. He loves computer science and will explain everything perfectly and thoroughly.",5.0,3.0,"Respected, Hilarious, Caring",CSC120,True,non mandatory,,5,0,0
2021-12-14,"Geoff is the goat! Couldn't recommend him enough. He made programming fun, engaging, and relatively easy. Prior to this class I had no knowledge of programming whatsoever, but Geoff made the topic fun and interesting to learn. This class even encouraged me to switch my major to comp sci. Take him if you can!",5.0,3.0,"Hilarious, Caring",CSC120,True,,A,5,0,0
2021-11-29,Really funny professor. He doesn't care if you show up. He is just there to have fun. He teaches well and you will succeed if you pay attention in class. I think anyone above an 85 receives an A. He also curves tests.,5.0,3.0,"Accessible outside class, Hilarious, Lecture heavy",CSC120,False,non mandatory,A,0,0,0
2021-11-10,"CSC 120 is a difficult class, however he makes it really interesting and fun. He gives all the notes, and the exams are open book. As a professor he is absolutely amazing. However it does feel like the projects sometimes are necessarily difficult, but the lab assistants are easy graders. He will make learning computer science fun",5.0,4.0,"Respected, Inspirational, Hilarious",CSC120,True,non mandatory,A,5,0,0
2021-01-26,"Fantastic professor - although cs can traditionally be a dull subject he keeps it light, funny and interesting. Notes and pptx are all uploaded to his site for easy reference. Zybook, the interactive textbook is great for the first 2/3 of class. Don't procrastinate the projects! Exams are extremely difficult but luckily not woth much.",5.0,4.0,"Respected, Graded by few things, Hilarious",CSC120,True,non mandatory,A,5,0,0
2021-01-10,"Geoff is a legend. The class is challenging, but do all the homework and you will be fine. He uses Zybook, which is an online interactive textbook that shows you all of your assignments ahead of time. Lectures are long but Geoff makes them interesting by giving away CDs and ditching his shoes. Labs are easy. He grades fairly, but no extra credit.",5.0,4.0,"Lots of homework, Hilarious, Amazing lectures",CSC120,True,mandatory,A+,5,0,0
2020-12-02,"Professor Sutcliffe's lectures were very enjoyable and necessary for passing the class. I've had some experience with other programming languages, so I thought this class would be easy - but unfortunately it was not. The first few weeks go by very slowly, but after he covers the basics, the material gets very hard so pay attention!!",5.0,4.0,"Accessible outside class, Skip class? You won't pass., Lecture heavy",CSC120,True,non mandatory,A,0,0,0
2018-05-09,"Knew some programming already, even so this class was extremely difficult. Labs were interesting but exams were no joke. Some advice: Dont skip class, sit near the front, and focus. Take pictures of his drawings. Study hard and be ready to memorize tons of concepts. Teacher is funny/goofy but dont be fooled, he is TOUGH!!",1.0,5.0,"Tough Grader, Skip class? You won't pass., LOTS OF HOMEWORK",CSC120,True,non mandatory,,5,1,0
2016-04-21,"He's a great professor, but it's a hard class. I came into the class knowing nothing about coding and it quickly became one of the hardest classes I've ever taken. The tests were very difficult; I failed the midterm and the final but managed to secure a C+ through labs and projects. There are hundreds of students so it's hard to get one on one time",3.0,5.0,,CSC120,True,non mandatory,C+,0,2,1
2016-03-01,I took this class wanting to develop my coding skills and learn more about coding in general. It was the worst mistake I've made. The class is filled with hundreds of students and is not intimate at all. I did my work but ended up doing poorly in the class due to his extremely harsh grading where basically half the class failed the final.,2.0,5.0,,CSC120,True,mandatory,,1,6,4
2015-10-27,"AMAZING TEACHER! Teaches to students who don't have a coding background and is great at giving another view of programming to people who do. Hilarious and walks around with no shoes, made me feel enjoy the class way more. Would totally recommend all the time.",5.0,3.0,,CSC 120,True,non mandatory,A,1,1,0
2015-09-28,His lab tasks are interesting and with a lot of background story! Make you feel you are solving a real problem by programming!,4.0,1.0,,120,True,non mandatory,,3,5,0
2014-06-19,"This class is so valuable if you are ever going to be doing any programming in the future. Yes, Geoff's class can be difficult, but if you do the work, you will learn. Computer logic isn't easy but I feel like I can use any language after this. He is a super fair grader and the labs can be fun",5.0,3.0,,CSC120,False,Y,Drop/Withdrawal,1,1,1
2014-05-10,"Geoff is one of the best professors I've had at UM! He is very funny and explains the materials very well! He is always available to talk and help you out! I found the class very challenging and the material was hard at times but taking good notes, completing all the lab tasks and doing the exam style questions were very helpful.",5.0,4.0,,CSC120,False,N,,1,1,1
2014-03-06,Geoff is #1,5.0,3.0,,CSC120,False,N,A+,1,2,1
2014-01-27,"Yes the course material can be confusing, but that's because it's computer programming, and even CS majors find it difficult at first. It can take a while to understand some of the material, but Dr. Sutcliffe is the clearest (and funniest) professor I've had at UM. We were well prepared by test time, & he adjusts scores by reducing the denominator.",5.0,2.0,,CSC120,False,N,A+,1,1,0
2012-12-21,"Dr Sutcliffe's class may seem easy because of his easygoing personality, but be no fool, his lectures are very hard to understand! Some of the teacher assistants have no patience. They react to your questions as if you are dumb, creating a tense environment not proper for learning. Go to the teacher directly, he explains the material crystal clear.",2.0,5.0,,CSC120,False,,,3,1,0
2012-12-17,"Very engaging lecturer, makes lots of jokes and has a hilarious Australian accent. Part of the class is terribly confusing, he tries to explain object oriented programming through visual diagrams, then makes you draw out the diagrams on the tests. Final did not seem difficult but was graded harshly.",3.0,3.0,,CSC120S,False,,,1,1,0
2012-12-03,Geoff is very passionate about programming and teaching. He takes a boring lecture class and keeps it entertaining/interesting with his sense of humor and creativity. Take this class if you want to learn object oriented programming.,5.0,3.0,,CSC120,False,,,1,0,0
2012-11-12,"Really cool guy, walks around class with no shoes on. Projects are hard but fun. Sometimes things are unclear with such a big lecture group. Pretty understanding(like givig us another week to submit a project) and generous with his grading system.",3.0,3.0,,CSC120,False,,,1,0,0
2012-08-13,"My favorite teacher in UM.I took his intro to programming class, C and Unix class and also Android Development class. This guy is a legend. He can make super boring and anal subjects of CS funny and interesting. He knows the subjects in and out. His classes aren't easy but he is very clear on what he expects from every project/homework. P",5.0,3.0,,CS101,False,,,1,0,0
2012-04-10,"Amazing class! I had some interest in computer programming before this class, but after having Geoff for my intro to programming, I ended up minoring in CS. This wouldn't have happened without the great (and fun) foundation Geoff gives!",5.0,2.0,,CSC120,False,,,2,0,0
2012-03-01,"Geoff was my favorite teacher while I was at UM. Makes learning JAVA interesting and is able to clarify any problems that you may have. Aussie who walks around with no shoes on and cracks jokes the entire class, he is the man.",5.0,3.0,,CSC120,False,,,1,0,0
2011-12-15,"Geoffe is an amazing teacher.  I had no computer science background and he made the material really easy to learn.  Actually, I was placed in a different section but decided to attend his class.  It was the best decision I have ever made.  If you do the lab tasks, pay attention, and ask questions if you need help you will get an A.",5.0,4.0,,CSC120,False,,,1,0,0
2011-12-11,"He's very funny and a good teacher. He explains tough concepts in a way that you can understand. The class is still lots of work, and the material is complex... I'm just warning you ahead of time.",5.0,4.0,,CSC120,False,,,1,0,0
2010-12-12,"Geoff is a gifted instructor. Funny as heck, explains the material at students' level (which is amazing considering how much he knows and the level his thinking is at), and really does makes hard stuff seem like its no big deal. He is super generous with his time, and fair. I wish 25% of my profs and classes could be this good and fun. I love Java!",5.0,3.0,,CSC120,False,,,2,0,0
2010-04-13,"Geoff is one of the best teachers you will have. He's always willing to help you and deeply knows what he is talking about. Lots of work, but his notes should help you a lot. Tests are fair, and make sure you do your labtasks",5.0,2.0,,CSC322,False,,,1,0,0
2009-10-29,Dr. Sutcliffe's class is very very hard and lots of work! During project weeks I spend hours in the lab daily. Would not recommend this class if you are taking a science major and could take psych stats instead!,3.0,5.0,,CSC120,False,,,1,0,0
2008-01-12,Dr. Sutcliffe is a very good teacher. He uses helpful illustrations and is in his office all the time and always willing to meet with students. Hes one of my favorite teachers in the department and makes difficult subjects accessable.,5.0,4.0,,CSC545,False,,,4,0,0
2007-12-12,"Dr. Sutcliffe is a fantastic teacher. Makes a difficult subject incredibly easy and easy to understand. Is very helpful outside of class. The course work is tough, but he makes it feel like its no big deal. I definately recommend him.",5.0,4.0,,CSC648,False,,,1,0,0
2007-05-07,He's cool,5.0,4.0,,CSC120,False,,,1,0,0
2006-12-08,geoff is one of the best professors i've ever had. he's humorous and an awesome guy all around. really understands how students think and how to answer questions to make us understand. lectures are as clear as can be with colorful illustrations so you can get a good picture of things. material is hard but there's no one better to take this class wi,5.0,4.0,,CSC120,False,,,1,0,1
2005-12-02,"The class itself is hard, but he's a good teacher and will go through step by step if you ask him to.  He's funny too, I don't know if I could have survived in this class with a different teacher.",4.0,3.0,,CSC120,False,,,,0,0
2005-10-26,"easy at the beginning, harder as he goes along, DOESNT OWN A PAIR OF SHOES. hes a hoot",4.0,2.0,,CSC120,False,,,,0,0
