Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-04-30,"Honestly he came off as intimidating at first, but he quickly softened up. He's actually a nice guy and you could tell he's very passionate about the material and knows what he's talking about. Assignments were quick and the labs were easy to follow along. Him and the TA were very kind and helpful. However, beware he does call on people. ",5.0,2.0,"Gives good feedback, Online Savvy",ECE112,True,non mandatory,A,-1,0,0
2025-12-06,"Excellent professor, but be ready to work. His classes go deep and you learn skills that last. Many who struggle never ask for help, but he's extremely willing if you do. He puts real effort into the course, and if you show interest and work hard, he's one of the best at UM.",5.0,3.0,Gives good feedback,ECE417,True,mandatory,A+,3,0,0
2025-11-24,"Yeah this guy has the most condescending tone as a professor. Very harsh grader and will not accept any late submissions even if you went to the hospital for a kidney stone, which makes no sense since the TA is the one that grades the HW and Labs. Also likes to nitpick on trivial stuff alot. ",1.0,4.0,Tough grader,ECE417,True,non mandatory,Not sure yet,3,0,0
2024-12-06,This professor is not easy. He is not overly difficult either. I took processors with him and it was a difficult concept that he broke down into very understandable chunks. He used the textbook and went off it when necessary. His grading policy is clear and his teaching slides/lectures are helpful. Not one for humor though. ,5.0,4.0,"Clear grading criteria, Beware of pop quizzes, Lecture heavy",ECE212,True,non mandatory,B+,3,0,0
2022-11-10,"Genuinely among the best professors in the Engineering school.
Authentically cares that his students get something out of the class and holds himself to a standard reflecting as much.
He's also truly a good teacher, which helps.
The workload is reasonable enough, and he's willing to work with the class if they disagree.",5.0,3.0,"Gives good feedback, Inspirational, Caring",ECE212,True,non mandatory,Not sure yet,-1,1,0
2022-09-14,He always asked me to shut up when I asked questions. But he helped me find myself when I got lost in assembly language.,5.0,5.0,,ECE212,True,Y,,0,0,0
2020-10-10,"Was my least favorite prof before asking for help. The subject matter is difficult. After reaching out he has done everything in his power to help me and I could tell genuinely wanted me to succeed, even tho I was rude to him in prior classes. Baseline the class is very HARD but if you need help ASK for it. Show him you care and you will do well!",5.0,5.0,"Gives good feedback, Skip class? You won't pass., Group projects",ECE417,True,non mandatory,B+,5,0,0
2020-05-08,"Creates tests that even honor students find difficult, tests always averaging about 70 something for whole class, curves at the end. Unnecessary research paper for course, claiming &quot;writing requirement from the university&quot; when there is no mention of the requirement anywhere on canelink. Will not accept late homework, even if it had a valid reason.",1.0,4.0,"Lots of homework, So many papers, Tough grader",ECE212,True,mandatory,,5,1,0
2019-11-18,"When I say &quot;hilarious,&quot; I mean hilariously bad. We spent 3 weeks on a 1 week lab all because he sent us bad files, and he insisted he sent good files until he tried to do the lab himself and failed. We had 3 homeworks for the first 13 weeks of class, and then he assigned 3 more for the last 2 weeks of class (probably forgot to assign them earlier).",1.0,5.0,Hilarious,ECE417,True,non mandatory,Not sure yet,5,1,0
2019-11-18,"Sets you up for failure, he will deduct points from everything just because he feels like it and when asked why he would just say &quot;thats the grade you got&quot; with out even explaining why you're wrong. BEWARE. you MUST learn everything on your own and waste precious study time sitting in has class watching him struggle to solve his own problems",1.0,5.0,"Test heavy, Beware of pop quizzes, Tough grader",ECE212,True,mandatory,,5,1,0
2019-11-18,"TA is as confused as we are about how to complete the labs. It's 'easy! took me 15 minutes!', comes here after we fail to figure anything out in 3 lab sessions and fails to achieve anything himself. Suddenly it takes him 5 days to do it. Routinely late to class, uploading assignments, and sending labs to TA, yet will screw you if you are late",1.0,5.0,"Beware of pop quizzes, Tough grader",ECE417,True,mandatory,Not sure yet,5,1,0
