Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-01-27,I definitely wouldnt take this class again if I could go back. It wasnt the worst thing in the world but as the semester progresses he gets more irritated with you if you ask questions. Kind of intimidating to ask a question because you dont want to get yelled at. if you study youll be fine. go to class and be on his good side,3.0,4.0,"Clear grading criteria, Respected, Lecture heavy",CSC115,True,mandatory,A,3,0,0
2025-12-29,"Professor Nguyen loves coding and that is clear from the beginning. He loves to share this with all his students and he truly loves teaching. However, he can get very upset very quickly. High expectations but he also works hard to help you reach those expectations. I recommend to take him as early in the day as you can",4.0,3.0,"Gives good feedback, Caring, Online Savvy",CSC120,True,mandatory,A+,-1,0,0
2025-12-03,"Gives lots of extra credit on exam. Makes lighthearted jokes and tries to inspire everyone a lot. Pay a lot of attention to detail (sometimes too much though, especially about punctuality). High energy, slightly loud, may cut you off sometimes. As long as you don't take it personal it should be fine.

Has a bit of an accent but not too bad.",4.0,2.0,"EXTRA CREDIT, Hilarious, Caring",CSC115,True,mandatory,A,3,0,0
2025-04-30,"Actually worst professor in my entire UM career. Had him at 8am on Mondays and it would ruin my week. He gets increasingly frustrated as class goes on, and refuses to accept that you don't understand coding. Called us dumb many times outright, would clap/snap at us for our attention, and doesn't like when you are even one line ahead or behind. ",1.0,3.0,,CSC120,True,mandatory,,-1,0,2
2025-04-30,"Actually my favorite professor at UM, all he cares about is being fair. If you come to class, try to participate and do your work (which is not complicated just may take a little bit of time) you will get a good grade. A lot of students in my class would agree this class is useful for CS majors. Class sounds scary but he makes the class fun.",5.0,1.0,"Group projects, Amazing lectures, Hilarious",CSC431,True,mandatory,,3,1,0
2025-04-22,"One of the best classes I have taken at UM. Very fun class, a lot of real-world examples, easy quizzes.",5.0,1.0,"Group projects, Amazing lectures, Hilarious",CSC431,True,mandatory,A,3,0,0
2025-03-21,"As many other reviews have professed, Professor Nguyen tends to get a bad rep for the way he tries to help with messy code [usually in a stricter fashion]. However, he meant well and trying to help students better their theory and syntax. Honestly, if you get to know him a little better, he's just a chill dude who likes to program a lil'.",4.0,3.0,Participation matters,CSC120,True,mandatory,A,-1,0,0
2025-01-23,Gets a bad rep but is honestly a super caring and dedicated professor! Tends to yell or raise his voice during lab but don't take it personally. If you take anything from this it's to go to his student hours because he is really helpful will be more likely to help you in the overall course if you show that you care about his class. ,5.0,3.0,"Get ready to read, Clear grading criteria, Lots of homework",CSC115,True,mandatory,A+,3,0,0
2025-01-21,"Hien is a super nice guy. I think a lot of people get intimidated by him in lab because he does tend to raise his voice at students but it's rarely meant in a mean or rude way he is just very passionate about what he teaches. If you care about coding and develop a connection with him, he is a great professor who cares and wants to see you succeed. ",5.0,3.0,"Participation matters, Caring",CSC120,True,non mandatory,A,3,0,0
2025-01-13,Super caring professor. Learned our names and made an effort to make sure you got the grade you wanted. Would take again and I'm grateful I had him my first semester!,5.0,2.0,"Clear grading criteria, Caring",CSC115,True,mandatory,A,3,0,0
2024-12-14,"You can tell professor Nguyen is passionate about the subject he teaches. His course wasn't difficult, but labs were important to understanding the overall concepts. He genuinely just wants his students to succeed and his reviews don't do him justice. There is a cultural difference, but he is a kind professor who cares about his students.",5.0,2.0,"Caring, Accessible outside class",CSC115,True,mandatory,,3,0,0
2024-12-10,"I enjoyed taking his class. Although you may not understand him at first, Professor Nguyen does a good job at explaining everything in great detail and will make sure that you understand (RADAR.) Focus in the labs!!! That is where you will truly learn since the lectures are honestly not the most informative. Code his way or you will face penalties.",4.0,1.0,"Clear grading criteria, Caring, Accessible outside class",CSC115,True,mandatory,A,3,0,0
2024-12-04,Professor Nguyen is a very kind and caring guy. He is always available to help you and wants to see you succeed. He wants you to have a strong foundation for computer science and works hard to make sure everyone understands. His labs are extremely helpful and he is a very passionate teacher. I really enjoyed taking this class.,5.0,2.0,"Caring, Lecture heavy, Accessible outside class",CSC115,True,mandatory,A,3,0,0
2024-12-04,"I thoroughly enjoyed taking this class, Professor Nguyen is eager to see his students succeed and will go to great lengths to ensure this. He is very passionate about what he teaches, and it's part of what helped me succeed in the class. I would highly recommend taking him for this class!",5.0,2.0,"Hilarious, Caring, Accessible outside class",CSC115,True,mandatory,A,-1,0,0
2024-11-10,"All I have to say is never ask him a question. He is beyond rude and it is not a language barrier. Stick up for yourself if he becomes too outwardly rude, the way he embarrasses students is mind boggling. Listen to what he has to say ab the labs, ask the TA for help if you need, and you'll be fine!",2.0,4.0,Lecture heavy,CSC120,True,mandatory,A,-1,0,0
2024-10-05,"He yaps and yells whenever you ask questions If you implement something advanced, he rejects it, even if it works. I knew everything he taught but didn't have credits (self-learned in HS) My school didn't have a credit system (international) Worst class experience ever. He wants the code his way and criticizes you for going beyond what he taught",1.0,1.0,"Get ready to read, Hilarious",CSC115,True,non mandatory,A,3,0,0
