Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-03-05,"Most caring engineering professor. Super nice with good lectures. Gives lots of practice problems for exams. If you do and understand those problems, you will get a good grade on the test. No curve balls just like Shes had you practice. Reminds me of my mom, definitely take her classes (measurements, dynamics and thermo)",5.0,3.0,"Participation matters, EXTRA CREDIT, Caring",MAE303,True,mandatory,A,3,0,0
2025-02-04,"amazing notes, lets u do test corrections, expects u to read the textbook, very similar to physics, i got a C- in physics and somehow understood this, its a LOT  of practice problems but if u do them all and kind of memorize your good, the final took everyone out idk y it was so much more hard. attendance mandatory! no quizzes, one formula per exam",4.0,3.0,"Get ready to read, EXTRA CREDIT",MAE303,True,mandatory,C+,3,0,0
2024-05-15,"Absolutely amazing professor, I didn't do well on the exams and went to see her and got a bunch of points back and was very flexible with helping me find room to bump my grade up. Super caring and wants to see you do well",5.0,5.0,"EXTRA CREDIT, Clear grading criteria, Gives good feedback",MAE202,True,mandatory,C,-1,0,0
2024-01-12,"Had her for Dynamics and Measurements Lab, generally very nice and understanding, but is all over the place which can make taking her classes a bit frustrating. I personally don't get much from her lectures. Never got below a B for her classes, tries to help you. She does take attendance which can be inconvenient.",4.0,3.0,"Participation matters, Clear grading criteria, Caring",MAE303,True,mandatory,B,-1,0,0
2023-12-13,"Dr. Basalo is one of my favorite professors at UM, especially in the engineering department. The material is effectively taught, she cares a lot about her student's success, and makes everything clear from the beginning and is consistent through the duration of the semester. 10/10 would recommend to anyone who has her class as an option.",5.0,3.0,"Amazing lectures, Gives good feedback, Caring",MAE303,True,mandatory,B,3,0,0
2023-04-25,"Dr. Basalo is one of the best professors you'll come across. Her grading is fair and you can tell she really enjoys teaching and the content of her courses. She's also big on class involvement so attendance and ""Fun"" quizzes make up some portion of the grade...those quizzes by the way are marked on completion.
Overall 10/10 would recommend",5.0,3.0,,MAE202,True,mandatory,Not sure yet,-1,0,0
2022-12-15,Basalo is the best professor in the engineering department. She is very organized and takes clear notes on the board during lectures. In class you will do a lot of examples which helps for the exams. The exams are not bad as long as you do the study problems before hand. She is very caring and wants to help her students. ,5.0,3.0,"Amazing lectures, Respected, Lecture heavy",MAE303,True,mandatory,,-1,0,0
2020-05-05,"Basalo is by far the best professor I've met in the department. She doesn't throw questions at you on tests that aren't like class examples or study problems--if you do at least a couple of the study problems, you're good to go. She's also very understanding of student circumstances and needs, so you can be comfortable being open with her. 100/10!",5.0,3.0,"Accessible outside class, Amazing lectures, Caring",MAE202,True,mandatory,Not sure yet,5,0,0
2020-04-28,"Dr. Basalo is the best teacher in the engineering department. Her tests are much easier than her class examples so as long as you understand the class examples the tests will be cake. Attendance is mandatory for all her classes. She is not a tough grader, she gives lots of partials. She is always available to help outside of class.",5.0,3.0,"Accessible outside class, Clear grading criteria, Caring",MAE303,True,mandatory,,5,0,0
2019-05-08,"Dr. Basalo is definitely one of the best professors I have ever had. I would give her a 6 if it were possible. She truly cares about you. Not just your grade, but you as a person. She's like a mother figure. Her office hours change regularly because of her schedule, but she will do her best to help you succeed regardless. She teaches very well.",5.0,2.0,"Respected, Hilarious, Caring",MAE303,True,mandatory,A+,5,1,0
2018-11-13,"Basalo is without a doubt the best engineering professor I've ever had at UM. She's extremely understanding and will move tests around if you have a other one. She even let me move a test so I could celebrate my birthday. Clearest notes and lectures and no homework, only recommended practice problems. Take this professor!",5.0,2.0,"Respected, Clear grading criteria, Caring",MAE303,True,mandatory,,5,0,0
