Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-06-30,"Get ready to learn a lot in a little time.  I learned more finance in this class than in several finance classes together taken at the School of Management.  Dr. Buitrago is knowledgeable, approachable, and he delivers his lectures perfectly.  It's a lot of material, but it all makes sense once he explains it.  Best course I have taken at UM.",5.0,5.0,"Caring, Respected, Lecture heavy",ISE280,True,mandatory,B+,-1,0,0
2025-06-30,"Prof. Buitrago is the best! I learned in this course more than in my entire Bachelor's at IE.  His lectures are crystal clear, he makes sure you understand. He demands a lot from you, but he explains what he wants and gives you examples before he assigns exercises or homework.  Best professor I have ever had in my life. I will take all his classes.",5.0,4.0,"Amazing lectures, Inspirational, Lecture heavy",IEN570,True,mandatory,B,-1,0,0
2025-04-28,"Dr. Buitrago is the best professor at UM.  I have taken courses in different schools and departments and he is the best I ever had.  His explanations are clear, he masters the material, has a lot of experience.  He is a great mentor and an inspiration to become an engineer.  Dr. Buitrago is accessible and caring.  I will take all his classes.",5.0,5.0,"Amazing lectures, Inspirational, Respected",ISE280,True,mandatory,B-,-1,0,0
2025-04-24,"Amazing professor, a lot of in class work",5.0,3.0,"Lots of homework, Respected",IEN570,True,mandatory,A-,-1,0,0
2024-05-13,"I am not an engineering major and I took this course at the advice of others in my major who took it with the same professor.  Prof. Buitrago is the best, I was able to learn and understand advanced engineering concepts with ease. He makes the topics look easy, he is a great educator. I wish I had discovered him before,I would take all his classes.",5.0,4.0,"Amazing lectures, Respected, Accessible outside class",IEN570,True,mandatory,A,-1,0,0
2024-02-14,"Doctor Buitrago is an amazing lecturer. His classes are full of actual cases and examples, he is very good at synthesizing the most important topics.  His slides are the best textbook, they highlight the important points.  He is the best professor I have had.  He is approachable and respected by everyone. He is never boring, very interesting always",5.0,2.0,"Amazing lectures, Respected, Lecture heavy",ISE572,True,mandatory,A-,-1,0,0
2023-12-18,"Doctor Buitrago's class is the most useful class I have taken at UM. He gives great lectures and practical exercises. The workload is constant throughout the semester, but all of it necessary.  He is very punctual and demands the same, very demanding in the course load, but I enjoyed it tremendously. He is the best professor at UM.",5.0,4.0,,ISE763,True,mandatory,B+,-1,0,0
2023-10-23,"Professor Buitrago is a beacon of inspiration and intelligence, igniting curiosity in every student fortunate enough to learn from him. His wisdom and passion are an invaluable gift to academia. I learned more from him than all my other professors at UM combined.  He is the best at UM and beyond.",5.0,4.0,"Amazing lectures, Clear grading criteria, Accessible outside class",ISE570,True,mandatory,A,-1,0,0
2023-10-19,"Professor Buitrago is an exceptional educator who has left an indelible mark on countless students. His passion for engineering, engaging teaching style, and support for student success have inspired all his students. His dedication to fostering critical thinking and intellectual growth is truly remarkable. Professor Buitrago is a true asset to UM",5.0,4.0,"Inspirational, Lecture heavy, Accessible outside class",ISE572,True,mandatory,A-,-1,0,0
2023-10-19,"I loved the course with Dr. Buitrago. He has a lot of experience and he completely knows the material.  He explains every detail very well, gives handouts that help us do in class exercises.  He teaches at a professional level and transmits all his knowledge in his lectures.  Great slides, handouts, homework, and group projects as well. Awesome!",5.0,4.0,"Amazing lectures, Clear grading criteria, Inspirational",ISE763,True,mandatory,B+,-1,0,0
2023-08-29,"I am a senior and have taken all the ISE classes. Prof. Buitrago's classes are the best I have taken. He inspired me to study harder and become an Industrial Engineer.  He knows about everything, technical, financial, management.  His mix is very important in the classes he teaches.  I would like to study a master's degree and take all his classes.",5.0,3.0,"Amazing lectures, Inspirational, Accessible outside class",ISE571,True,mandatory,A-,-1,0,0
2023-06-14,"Professor Buitrago is the best instructor at UM, that's it.  I wish all my classes were taught by him.  He is demanding but he explains everything so well that you have no trouble doing any work.  He gives great professional advice, and he inspires his students.  After taking his classes I know why I want to be an engineer.  Best, best, best.",5.0,4.0,"Amazing lectures, Clear grading criteria, Inspirational",ISE763,True,mandatory,A-,3,0,0
2023-03-27,"Best class ever! Professor Buitrago is very knowledgeable and experienced.  He explains every method thoroughly and makes sure everyone understands before proceeding.  His lectures are fantastic, no one misses any.  I would take any class he teaches, best professor at UM without question.  His grading is fair, lots of homework and in class work",5.0,5.0,"Amazing lectures, Respected",ISE763,True,mandatory,A,-1,0,0
2023-03-25,"Without question, the best professor at UM.  He is interesting, his lectures are thorough and full of real world examples.  He is very knowledgeable and speaks clearly. Expectations are clear and group work is encouraged.  I will take any course that he teaches.  Doctor Buitrago is the most respected professor in the College of Engineering.",5.0,4.0,,ISE572,True,mandatory,B,-1,0,0
2023-03-10,"Dr. Buitrago is the best professor I had at the College of Engineering in four years.He is well respected and has a great reputation as an intelligent and knowledgeable professional.He teaches using MIT, Harvard and Stanford material.Everyone loves him, and his lectures show you why you studied engineering in the first place.He is very handsome.",5.0,4.0,"Amazing lectures, Respected, Lecture heavy",ISE570,True,mandatory,B-,-1,0,0
2023-03-10,"Professor Buitrago is the best professor at UM.  He is very knowledgeable and respected.  When he speaks you hear someone with great intellect and experience.  His lectures are motivating and thorough.  Great slides, he knows so much math.  He makes difficult concepts understandable.  He is very practical and doesn't care so much for grades. ",5.0,4.0,"Amazing lectures, Inspirational, Respected",ISE570,True,mandatory,A-,-1,0,0
2023-02-06,"Dr. Buitrago is the best professor I had at University of Miami.  He is very experienced and his lectures are fantastic.  He is very knowledgeable, and his courses are different and more complete than any other.  The course material is excellent, I keep all my handouts, slides, homework, etc.  I wish I had him for many more courses during my time.",5.0,4.0,"Group projects, Amazing lectures, Respected",ISE570,True,mandatory,A-,-1,0,0
2022-11-16,"Doctor Buitrago is the best professor at University of Miami.  I have taken many courses at UM and his is the best.  After I took his class, I enrolled for all his classes the next semester.  Follow my advice: pick the professor, not the course.  He gives great lectures, practical and clear.  He is caring and approachable. Great professor!!",5.0,4.0,"Amazing lectures, Inspirational, Accessible outside class",IEN570,True,mandatory,A,-1,0,0
2022-11-14,"Doctor Buitrago is a sensational lecturer.  His classes are interesting and full of important facts and examples.  He prepares his classes well, and his slides are complete, available, and great reference to keep.  Hi shows great respect for his students.  He is demanding, but fair.  I will take all the classes that he teaches.",5.0,4.0,"Amazing lectures, Respected, Lecture heavy",ISE571,True,mandatory,A-,-1,0,0
2022-09-27,"Professor Buitrago is a great teacher. His lectures are inspirational, he is very knowledgeable and has lots of experience in the industry. His lectures are loved by his students, we stay glued until the end of the class.Great PowerPoints. Grades are fair and clear. He is the best professor in the College of Engineering. ",5.0,4.0,"Inspirational, Respected",ISE571,True,mandatory,A-,3,0,0
2021-07-08,"Best professor and course in IEN at University of Miami. He teaches real work cases and how to solve them. Every class there are two cases, one graded, and one homework. He is very knowledgeable of the material and is a pleasure to attend his lectures.",5.0,3.0,"Respected, Inspirational, Amazing lectures",IEN570,True,mandatory,A,0,0,0
