Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-04-06,"Dr. Giancaspro is a fantastic professor, he gives great lectures and explains the material clearly. However, you need to stay consistently up to date with the coursework to do well. I personally fell behind, which led to poor test scores. Go to class and do as much practice as you can to succeed.",5.0,4.0,"Tough grader, Amazing lectures, Test heavy",CAE210,True,mandatory,Drop/Withdrawal,3,0,0
2025-05-15,"Teaches a tough class but on top of this is not lenient with grading and doesn't seem to offer much assistance. After talking with classmates in the other section, his version of the class is much more difficult and unnecessarily complicated.",2.0,5.0,"Tough grader, Test heavy, Graded by few things",CAE210,True,mandatory,,3,0,0
2024-03-05,"You need to understand the first exam content or you will not pass. For me class was very anxiety inducing because I was so behind, but I was reviewing every day. The homework was unhelpful because if you can't do it on your own the mastering will not help. ",2.0,5.0,"Tough grader, Get ready to read, Graded by few things",CAE210,True,mandatory,C,3,0,0
2023-12-29,Took him for both CAE 210 and 211. Great in both but can definitely tell he uses 210 as a weed out class. Neither were too difficult being very elementary engineering courses. As long as you attend lecture and do some practice problems you should have no issues getting a good grade.,5.0,3.0,"Amazing lectures, Lots of homework, Lecture heavy",CAE210,True,mandatory,A+,3,0,0
2022-05-20,"Fun lecturer, easy to meet outside of class, and loves engineering.  210 isn't that hard.  Go to every class and download a copy of the notes after every lecture.  You have to practice problems A LOT.  That helped me the most.  He sometimes picks exam questions from the homework, discussion, or supplementary list.  Do them and you'll do fine.",5.0,3.0,"Lots of homework, Respected, Accessible outside class",CAE210,True,mandatory,B+,3,0,0
2022-05-18,Dr. G has been the most helpful professor to me since I started at UM.  I heard this class was tough but the way he goes over course material is truly helpful. He is always willing to help even on his own time.  I seriously would recommend him as a professor if you have a choice!,5.0,4.0,"Amazing lectures, Respected, Accessible outside class",CAE210,True,mandatory,A,3,0,0
2022-05-18,"This teacher is beyond terrible. He takes it way too seriously and expects you to know Mechanics of Solids like you've been working in the field for 10 years, not like a student. I have never failed a class in my entire life and had a 3.8 GPA before I took him. I recommend him to absolutely no one unless you want to be stressed and ruin your GPA. ",1.0,5.0,"Tough grader, Test heavy, Graded by few things",CAE210,True,mandatory,F,3,0,0
2022-05-08,"Fantastic lecturer and very willing to help. That being said, I had to drop out because I was failing and out of our class of about 35 people, about 75% failed/dropped the class. I still went to class though and learned a lot, but it was close to impassable for everyone. Cumulative grade was based on only 3 exams, 2 quizzes and 3% participation",4.0,5.0,"Amazing lectures, Lots of homework, Graded by few things",CAE210,True,mandatory,Drop/Withdrawal,3,0,1
2021-12-30,Aced 520 last year. Definitely the best engineering prof and mentor at UM. 10/10 Recommend,5.0,3.0,"Gives good feedback, Respected, Accessible outside class",CAE520,True,mandatory,A,5,0,0
2021-12-21,"Professor giancaspro is a great professor and very well organized in teaching methods, course outline, and handouts. He is very approachable and willing to help his students. It is definitely a class with tough material but he does a really good job in teaching it. This class definitely challenged me but I really enjoyed it nonetheless.",5.0,4.0,"Accessible outside class, Skip class? You won't pass., Caring",CAE210,True,mandatory,B,5,0,0
2021-12-15,I struggled with physics but this professor restored my hopes in engineering. He makes statics look so straightforward. He posts the lecture notes after class which is really useful if you miss something in class or you're sick. I wish he was teaching more courses in my major.,5.0,4.0,"Respected, Skip class? You won't pass., Amazing lectures",CAE210,True,mandatory,Not sure yet,5,0,0
2021-12-13,"every time before the test he would say to focus on particular topics or problems, but wont include it in the test. so be prepared that he would do smth unexpected, because i made a mistake listening to him, and then being completely shocked on the exam. totally passive aggressive, really subjective about partial credit",1.0,4.0,"Skip class? You won't pass., Test heavy, Tough grader",CAE211,True,mandatory,B-,5,0,0
2021-11-13,"Excellent professor, knows his stuff really well. His syllabus is super detailed and planned out to each day. Easy to reach outside of class and very responsive to emails. Overall great course and professor.",5.0,3.0,"Respected, Accessible outside class, Inspirational",CAE210,True,mandatory,Not sure yet,5,0,0
2020-12-10,"Dr. G is a GREAT professor. The class content itself is incredibly difficult so practice is EVERYTHING. He truly wants to help students in any way possible. I had him for CAE 210 and 211 and in both courses you must work hard for your grade spending hours doing homework, but it pays off during the exams. If you want to LEARN take him.",4.0,4.0,"Lots of homework, Skip class? You won't pass., Clear grading criteria",CAE211,True,mandatory,B,5,0,0
2020-08-09,Dr. G is an outstanding professor. The class is fast paced but he explains concepts really well and always checks if students understand it. He has lots of handouts and solves many sample problems. He recorded some of the solutions on video if you miss class. He's really helpful in office hours. I'll take him again if I have the chance.,5.0,3.0,"Respected, Accessible outside class, Skip class? You won't pass.",CAE210,True,mandatory,A-,5,0,0
2020-01-14,The hws are extremely long. The exams are tough compared to the examples in class.,3.0,5.0,"Lots of homework, Skip class? You won't pass., Test heavy",CAE210,True,mandatory,B-,5,1,0
