Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-06-04,Chill prof. lectures were pretty boring but the tests were decently easy especially with the cheat sheet allowed. ,4.0,1.0,"EXTRA CREDIT, Group projects, Test heavy",IEN311,True,non mandatory,A,3,0,0
2026-05-04,The most boring lecturer I have ever had. Impossible to listen because he just reads from the textbook. The exams are alright if you do homework. Also includes several group projects on R that he does not talk much about,1.0,4.0,"Group projects, Hilarious, Graded by few things",IEN311,True,mandatory,Not sure yet,3,0,0
2026-04-17,"Jason Grant is easygoing, but his lectures are not helpful; he is quite literally an human audio book. He rereads the textbook without adding explanation or insight. Questions are answered by repeating the book. No practice exams or review materials are given, aside from extremely lengthy homework (ungraded btw). 90%  of students stopped attending.",1.0,4.0,"Get ready to read, Group projects, Lots of homework",IEN311,True,non mandatory,Not sure yet,3,0,0
2026-04-01,"Easygoing personality, but not a strong lecturer. Classes consist of reading directly from the textbook and rewriting it on the board, with little added explanation or engagement. Questions often aren't addressed in a helpful way. No practice exams are provided, which makes preparing for tests more difficult.",2.0,4.0,"Get ready to read, Group projects, Lots of homework",IEN311,True,non mandatory,Not sure yet,3,0,0
2025-05-14,"Reads the textbook verbatim. Extra credit on a random class where a few people attend, worth 5 points. Class is boring and I learned everything myself. Exams are pretty easy if you exhaust questions from the homework.",3.0,4.0,"EXTRA CREDIT, Group projects",IEN311,True,non mandatory,A+,3,0,0
2025-05-05,Cool guy but lectures are awful. Better off learning it by yourself. Not the person you want to be with if you actually want to learn statistics.,2.0,4.0,,IEN311,True,non mandatory,Not sure yet,3,0,0
2024-12-19,"Doesn't give any partial credit on his tough exams. Lectures are him reading from his physical textbook. If you want to keep up with the material, you need to have the textbook up and keep up. Very boring. Also, he uses the same tests for both sections, so one section has to study for exams and the other has a cheat sheet with the exam on it.",2.0,4.0,Graded by few things,IEN311,True,non mandatory,B+,3,0,0
2024-05-21,"If you want an easy A, id take him. He lets you bring in a whole page cheat sheet so you can just cram for the 2 tests with that and he's an awesome guy. If you wanna actually learn stats, I would look elsewhere. No-one listens (or even attends) lectures as he just reads straight from text.",3.0,1.0,,IEN311,True,non mandatory,A+,3,0,0
2023-12-29,Very unstructured. Lectures are literally just reading the book. You get to use a cheat sheet on all the tests. All assignments were pretty easy and straight forward. You're best bet if you have to take him is to just read the book and do the practice problems during lecture and only use him to ask questions.,2.0,2.0,"Get ready to read, Lecture heavy, Graded by few things",IEN311,True,non mandatory,A,3,0,0
2021-12-11,He just stood up in front of the class and read the textbook. Seemed like he had never taught this class before. Really nice guy but seemed like he had no interest in what he was &quot;teaching&quot;. I could have never went to class and probably gotten the same grade. Test problems are right from the textbook.,2.0,3.0,Group projects,IEN311,True,non mandatory,,5,2,0
2020-05-05,"This class is so easy as he explains from day 1 it's an &quot;introductory class&quot; and he treats it that way. He will always help with any question/lab and makes sure everyone is on the same page. Definitely take this class, he is super nice and laid back.",5.0,1.0,"Group projects, Hilarious, Lecture heavy",IEN112,True,,,0,1,0
