Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-05-02,He makes this class harder than it needs to be. Exams are super wordy but doable. Attendance is mandatory,3.0,3.0,Graded by few things,BTE210,True,mandatory,A,,0,0
2026-04-01,"Morales is really nice and cares about students succeeding. he tries to make the lectures as engaging as possible and he will show videos and real life examples, he also talks about examples from his work outside of UM. 2 exams + final + group project. no homework. exams are based on the slideshows. I would take him again.",5.0,2.0,"Group projects, Clear grading criteria",BTE210,True,mandatory,A,-1,0,0
2026-02-17,"Best Professor. He actually cares about his students and the material he teaches. Unlike a lot of the professors, he uses his outside UMiami experiences to help make the class more engaging and fun. ",5.0,3.0,,BTE210,True,mandatory,A-,-1,0,0
2025-05-23,"Professor Morales might be the most real and nicest professor at the U. I could not recommend him enough. I started the semester with a start that wasn't the greatest but with Prof. Morales help and care, I was able to rebound and finish with an A-. If you work hard and prove to the professor you're always trying he will take note. 100p recommend. ",5.0,4.0,,BTE210,True,mandatory,A-,-1,0,0
2025-05-15,Hard class. Good prof,5.0,4.0,Group projects,BTE210,True,mandatory,B+,-1,0,0
2025-05-14,"This professor cares. At the beginning of the semester, it was hard didn't know how to study properly and was kinda  mess. This prof took the time to help and make sure that I had everything to get the best possible grade. GOAT prof. Definitely take him",5.0,4.0,,BTE210,True,mandatory,A-,-1,0,0
2025-05-13,This guy is the goat. Nicest Professor. Cares about his class and makes the most out of each class. Definitely the best prof for bte210 ,5.0,3.0,"Group projects, Amazing lectures, Respected",BTE210,True,mandatory,B+,-1,0,0
2025-05-07,Very enjoyable class. Professor Morales cares about everyone in the class and makes the most out of every class time. He is always available outside of class. Definitely better than the other bte210 profs I've heard about. Definitely recommend. ,5.0,3.0,"Clear grading criteria, Inspirational, Respected",BTE210,True,mandatory,Not sure yet,-1,0,0
2025-04-08,"Prof Morales is a nice guy and it seems like he cares He reads directly off the slides and class time is not very useful. BTE210 shouldn't be a hard class but the way he reads off the slides makes it tricky to understand. There's no homework and you're graded solely on 3 exams, a group project, and 1 mini assignment. Dont take him,take someone else",2.0,2.0,,BTE210,True,mandatory,Rather not say,-1,0,0
2025-04-07,Disappointing is one word I can use to describe my feeling for this professor. He comes across as nice and caring but I feel that he is not and couldn't be farther from. It's obvious he's here for the paycheck and simply that. All teaching is directly from the slides and that is the only info given. Exams are not straight forward and very confusing,1.0,4.0,,BTE210,True,mandatory,Not sure yet,-1,0,0
2025-02-11,Professor Morales is a very nice and understanding professor that is on top of everything. ,4.0,5.0,,BTE210,True,mandatory,Not sure yet,-1,0,0
2024-12-05,Took this class 3 hours 1x per week (6:35-9:20pm). Not as bad as I thought- often let us out early. Barely any homework outside of class. 2 Quizzes & 1 Final=20 points each. 1 Group Project worth 25 points. Gives Feedback& easily accessible outside of class. Wants you to succeed & understand the material! My grade was bc I'm not good at tech at all,5.0,2.0,"Group projects, Clear grading criteria, Accessible outside class",BTE210,True,mandatory,B+,-1,0,0
