Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-12-12,Complete Sweetheart. He brought cherly's cookies for the lab and to class on Halloween. Gave extra credit. Is willing to do one on one zoom scheduled a day before just to help. The class is not easy/curved exams. Go to both labs if u can (do hw in one)! Nicolas REFUSES to help and instead will show u how to use google but other TAs are amazing. ,5.0,4.0,"Amazing lectures, Lots of homework, Caring",CSC113,True,non mandatory,Not sure yet,3,0,0
2025-01-13,"Jerry is an awesome professor. He is so sweet and caring and passionate about the subject. Do not get it twisted the class was not super easy, but not hard. it was very manageable to put in work and you will guaranteed learn something from this course. His lectures are very thorough and easy to understand. ",5.0,3.0,Accessible outside class,CSC200,True,non mandatory,A,3,0,0
2024-12-29,Jerry is a cool guy. The class was not hard but it was not easy either. I had to put in time and study for the quizzes. I got an 89 average on the quizzes and like a 95 avg on labs and ended up with an A. Follow lectures and read the textbook and you should be fine. Also study the labs and hw before the quizzes as they are very similar. ,4.0,3.0,"Participation matters, Accessible outside class",CSC113,True,mandatory,A,3,0,0
2024-12-19,"Best professor I've had so far. Remembers my name even though I didn't show up much! Very helpful, explanatory, clear in grading, engaging in lectures. There's lots of help for weekly homework/labs if you start early. The quizzes are a bit difficult but study, ask for help and you'll do well.",5.0,2.0,"EXTRA CREDIT, Clear grading criteria, Accessible outside class",CSC113,True,non mandatory,A+,-1,0,0
2024-12-09,"Professor Bonnell was kind, entertaining, and truly cares about the topic of data science. I learned so much and grading was very fair. Great introduction to R, I would say it is my favorite coding language now! Lots of support from TAs too and we used a platform called Ed which allowed us to get our questions answered quickly.",5.0,2.0,"EXTRA CREDIT, Lots of homework",CSC113,True,non mandatory,A,3,0,0
2024-11-01,Really awesome guy. Attendence is not mandatory. There's 3 quizzes for the semester and a lab/homework each week but they aren't super hard. If you need help you can go to the lab and the TA's are really helpful but not required. Quick to respond to questions and super willing to help students. ,5.0,1.0,"Caring, Accessible outside class",CSC113,True,non mandatory,A,3,1,0
2024-10-25,Jerry is a very smart and funny professor who will always be there for you if you have a question. The labs are sometimes tough but Jerry's lectures have all the info you will need and the TA's are very helpful.,5.0,2.0,"Amazing lectures, Hilarious, Caring",CSC113,True,non mandatory,Incomplete,3,1,0
2024-05-06,"CSC198 was a pretty simple class, no coding involved which surprised me. Jerry is a good professor, can tell public speaking is not his favorite thing to do as you'll notice. But he does a good job, the grade is homeworks, midterm, final project, and guest lectures. Just show up to class and put time into the HW's and you'll get a good grade.",5.0,2.0,"Participation matters, Clear grading criteria, Accessible outside class",CSC198,True,mandatory,A+,-1,1,0
2023-12-05,"I actually took CSC113. Jerry is the best, he cares for his students, he knew my name even though I only went to class for quizzes. He wrote the textbook we use so he knows his stuff, and he'll respond to you in seconds if you contact him through Ed. He's always nice to everyone in lecture and he'll help you even outside his office hours. ",5.0,3.0,"Amazing lectures, Caring, Accessible outside class",CSC200,True,non mandatory,A,3,0,0
2023-11-07,"Professor Bonnell is easily one of my favorite professors ever! He's super nice, great at explaining concepts, and has set up the course in a way that's easy to follow. He wrote the textbook that we use in class, so everything from lecture and lab lines up with the textbook. Also homework and lab instructions are very clear. 100% would recommend! ",5.0,3.0,"Amazing lectures, Clear grading criteria, Inspirational",CSC200,True,non mandatory,Not sure yet,3,0,0
2021-11-29,This was the first time CSC 200 was offered and Jerry did a great job. This class is the same as CSC 100 with the addition of a project. Varying levels of CS knowledge so this class is good for both veterans and new students.,5.0,2.0,"Gives good feedback, Clear grading criteria, EXTRA CREDIT",CSC200,True,non mandatory,A,5,0,0
