Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2019-09-17,The worst professor at UM by far. Not a nice guy at all. He gives grades out randomly at the end of the semester to curve them.,1.0,5.0,,BUS150,True,non mandatory,B+,5,0,0
2019-05-09,"Only time I've taken the time to rate a prof. For the love of god don't take this class. Sevilla seems like a genuinely nice guy, but my god he cant teach. The &quot;study guides&quot; are literally nothing like the tests. The tests are hard, best luck studying, because the study guide sure as hell wont help you",1.0,5.0,,BUS150,True,mandatory,,5,1,0
2019-05-03,"Terrible teacher. If you want to get on his good side mention CNN dinero and he'll love you for it. However, I would never suck up to this man. Avoid.",1.0,5.0,Skip class? You won't pass.,BUS150,True,mandatory,,0,1,1
2019-04-18,DO NOT TAKE THIS MAN!,1.0,5.0,"Lecture heavy, Tough grader",BUS150,True,mandatory,Not sure yet,5,0,0
2019-04-15,here's an honest review. you have to attend class and pay attention. class is boring so its hard. theres no chance to get side tracked because there are no SGs and homeworks are nothing like test. youre only hope is paying attention which is hard in such a fast paced and boring class. sevilla can be rude but also understanding. i would avoid,2.0,5.0,,BUS150,True,mandatory,,0,1,1
2019-03-08,"Absolutely terrible professor, rude to all the kids, nobody likes him. He would've been fired already except he has tenure, which means he's been here long enough (somehow), so that UM can not legally fire him without a great reason. He doesn't even know the material and doesn't put in any effort (he didn't know how to enable pop-ups in G. Chrome).",1.0,5.0,,BUS150,True,mandatory,,5,4,2
2019-03-04,SOOOO MEAN. and exams are nearly impossible. stupid class thats required.,1.0,4.0,"Get ready to read, Skip class? You won't pass., Graded by few things",BUS150,True,mandatory,Rather not say,5,3,0
2019-02-27,Rude! Do not take this.,1.0,3.0,,BUS150,True,mandatory,,5,2,1
2019-02-11,the worst professor ive ever had. actually just plain rude.,1.0,3.0,"Participation matters, Skip class? You won't pass.",BUS150,True,mandatory,,5,1,0
2018-10-01,"Very tough in grading. HARD exams. Not %1 helping in office hours, he just have the office hours as a decoration. Its like he wants the class to Fail!",1.0,5.0,"Tough Grader, LECTURE HEAVY",BUS150,True,Y,,5,1,0
2018-07-06,"Over complicates fairly simple subject matter. If you don't have experience in Excel, do the textbook exercises that are assigned AND the modules at the end that are optional... they help on test. For Tableau portion of class, literally just recreate the tutorial video a few times on your own. It will teach you more than he will.",1.0,4.0,"Tough Grader, Participation matters, Skip class? You won't pass.",BUS150,True,mandatory,A,5,2,1
2018-06-10,This professor made the class extremely harder than it needed to be. The textbook for excel and the material covered is extremely easy until you get to the test where he makes the most confusing instructions in the world (which he says he gets from the textbook and just modifies them but obviously his modifications make it harder than necessary).,1.0,4.0,"Tough Grader, Participation matters, GROUP PROJECTS",BUS150,True,mandatory,A-,5,2,0
2018-06-03,One word: CONFUSING. He doesnt know how to teach the class and even the exams instructions are super confusing. Avoid at all cost.,2.0,5.0,"Tough Grader, Participation matters, Skip class? You won't pass.",BUS150,True,Y,,5,1,0
2018-05-21,"His attitude is definitely not the best, while his lectures seem very disorganized and hard to take in. The class itself was very useful because the textbook is extremely clear and the Tableau website offers instruction on how to use the software. The professor just made the class very hard and a lot of people gave up.",3.0,4.0,"Tough Grader, Participation matters, LOTS OF HOMEWORK",BUS150,True,mandatory,A,5,2,0
2018-05-14,Not well spoken or knowledgeable about the content. He is one of the worst teacher I've had in my entire life. Poor at clarifying. Generally unclear. Class was not helpful at all. If you participate in class he will love you and make sure you get a good grade. Go to his office hours and butter him up if you aren't doing well. AVOID AT ALL COSTS!,1.0,3.0,"Tough Grader, Skip class? You won't pass., GRADED BY FEW THINGS",BUS150,True,mandatory,A+,5,1,0
2018-05-13,"Possibly the worst professor I've ever had. Attendance is mandatory, but no material is actually learned in class. Enjoys making an easy class impossible just for fun. He is overqualified for this job, yet still can't teach it. His cologne is still fire tho. Avoid at all costs. :)",1.0,5.0,"Tough Grader, TEST HEAVY, GRADED BY FEW THINGS",BUS150,True,mandatory,,5,4,0
2018-05-06,Terrible professor. I honestly feel that I didn't gain a single piece of information from going to his mandatory attendance class. You are best off having your friend sign you in to class and learning everything on your own. His tests are also unreasonable hard. That being said his cologne is lowkey fire which is why I gave him 2 stars instead of 1,2.0,5.0,"Tough Grader, LECTURE HEAVY",BUS150,True,mandatory,,5,4,0
2018-04-29,"Worst professor I've taken thus far. Terrible at teaching and you have to sit through his boring, unhelpful lectures. He's very stubborn and even if you go in for office hours, he is still unclear.",1.0,5.0,,BUS150,True,mandatory,Not sure yet,5,4,0
2018-04-25,"He is nice and loved his cologne. But, the class is hard and sometimes is difficult to understand. He is pretty accessible and better one and one than in class. Love him or hate him.",3.0,4.0,"Participation matters, ACCESSIBLE OUTSIDE CLASS, GROUP PROJECTS",BUS150,True,mandatory,Not sure yet,5,2,2
2018-04-16,Avoid.,1.0,4.0,"Participation matters, Skip class? You won't pass., GROUP PROJECTS",BUS150,True,mandatory,Not sure yet,5,3,0
2018-04-11,HE EXPLAINS THE MATERIAL IN DETAIL. ALWAYS AVAILABLE IN HIS OFFICE. THE BARK IS MORE THEN THE BITE,4.0,4.0,"Tough Grader, Respected, Get ready to read",BUS150,True,mandatory,A-,5,3,13
2018-04-10,"Professor Jose Sevilla believes he is a CEO amongst a group of HS drop-outs. Sevilla is a nice guy but he can just be demanding and a little conceding. additionally this class has mandatory attendance for no reason, your presence does not add to your level of understanding given the unorganized lectures. Tests on simple material are too HARD.",1.0,4.0,"Tough Grader, Skip class? You won't pass., GROUP PROJECTS",BUS150,True,mandatory,,5,6,2
2018-04-10,"This guy is not going to actually teach you anything, but make an easy class as difficult as it can be. Get the book and do everything on your own. Don't expect him to teach anything in the classroom. That first good review was probably written by him. I'd suggest pushing this class as much as you can in hopes that UM brings in an actual professor.",1.0,4.0,"Tough Grader, Skip class? You won't pass., GROUP PROJECTS",BUS150,True,mandatory,,5,7,1
2018-03-27,YIKES. He's a nice guy but not a great teacher. He's very hard to follow and his teaching style is pretty disorganized. Attendance is mandatory and you have to bring the textbook to every class. I'd say the class is more tedious and confusing than difficult.,2.0,4.0,,BUS150,True,mandatory,A+,5,5,0
2018-02-27,"Don't take this class if he is teaching it. You learn a lot of really important things in this class, so take the class with a professor who is COMPETENT. Overall is defensive, argumentative, and not open minded about incorporating the needs of his students. Take this class with anyone else.",1.0,5.0,,BUS150,True,mandatory,Not sure yet,5,9,0
