Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2014-11-19,"Get a good lab group for this class. 60% of the grade comes from group lab reports. Lectures are largely irrelevant, but occasionally interesting. 20% of the grade is in-class iClicker questions, so don't skip. 10% individual project. 10% individual paper. Don't buy the book unless you still have it from 241.",1.0,4.0,,MAE404,True,,A,1,7,42
2013-04-26,"Dr. Wong is one of the few good professors I had in engineering. Very enthusiastic about his work and channels that enthusiasm well. Be aware though, that the class is not a cakewalk; you have to put in the hours. Got an A.",5.0,2.0,,MAE404,False,,,5,41,8
2013-04-19,"Thermo 1 (took year and a half ago) has provided fundamental knowledge, and has helped me succeed in Dr. Wong's other two classes, MAE404 and MAE420.  By understanding the laws of thermodynamics, practicing with digital tables, and asking Dr. Wong questions, I became much more prepared to solve complex engineering problems.",5.0,1.0,,MAE303,False,,,5,40,9
2013-04-19,"Applied Thermo gives students a chance to practice knowledge learned in thermo 1 in real world, practical scenarios.  Dr. Wong uses the textbook and clearly solves example problems from it in class.  Homeworks are based on examples and incorporate digital ttps tables.  Interesting topics include power cycles, psychrometrics, and compressible flow.",5.0,1.0,,MAE420,False,,,5,38,10
2013-04-19,"MAE404 is an interesting class that focuses on team based lab experiments spanning the mechanical and aerospace engineering curriculum.  Dr. Wong is very knowledgeable and passionate about the subject, and answers any questions students may have about the experiments.  Class incorporates MATLAB and technical paper writing in projects.",5.0,1.0,,MAE404,False,,,5,39,10
2013-02-27,"Applied Thermodynamics with Dr. Wong is a higly interactive class. Through the use of electronic tables, understanding the principles of thermodynamics is fast and easy. I highly recommend taking this class.",5.0,1.0,,MAE420,False,,,5,39,9
2013-02-14,"Wong is very helpful.  He also writes very good recommendations for jobs, grad school appllications, etc.",5.0,1.0,,MAE303,False,,,5,40,8
2013-01-17,Extremely helpful in understanding the laws of thermodynamics in real world applications.  Use of a professional software to obtain thermodynamic properties was very convenient. Teacher is fair and approachable.,5.0,1.0,,MAE303,False,,,5,40,8
2013-01-16,"I took Applied thermo last spring with Dr. Wong. It was very useful but be prepared to spend some time on this class. It's a small class and therefore lots of participation. The work itself is very useful, specially if you have interest in a career in energy. Very interesting well taught class, would encourage anyone to take it.",5.0,2.0,,MAE420,False,,,5,41,7
2012-12-24,I took Thermo 1 a year ago and it was one of the more useful classes I took at Miami. Dr. Wong is a good professor and is very interested in the subject. Not a tough class as long as you pay attention and read the book at least once. Walked out with an A without much difficulty and would recommend to anyone without hesitation.,5.0,2.0,,MAE303,False,,,5,40,8
2012-12-13,"Professor knows materials and knows how to transmit to students. Good professor, and examinations are easy if you do the homeworks and pay attention to what he says in class",5.0,1.0,,MAE303,False,,,5,38,8
2012-12-01,"When I took his class, his textbook was very good because Dr. Wong followed it closely.  You need to derive the missing parts, to get the most out of it!",5.0,1.0,,MAE508,False,,,5,40,6
2012-12-01,"I found his lectures and textbook very clear.  You need to participate in class, and get good iClicler scores too.",5.0,1.0,,MAE303,False,,,5,38,7
2012-11-29,"really good class, extreme useful if you really want to study well in mechanical engineering.",5.0,1.0,,MAE303,False,,,5,38,6
2012-11-29,"Thermo wasn't as bad as I expected.  Dr. Wong is very clear, so if you go to class and do the problems, you'll be alright",5.0,1.0,,MAE303,False,,,5,38,7
2012-11-28,"Good lecturer, fair grader. Just need to show up and pay attention and put forth some effort to complete assignments and you will be okay.",5.0,1.0,,MAE404,False,,,5,39,7
2012-11-28,"When I took this class, he was fair with grading.",5.0,1.0,,MAE420,False,,,5,37,7
2012-11-28,Professor promoted interest and applications of theory in real world engineering. Helped the students think outside the box to provide tools for real world applications. Also the research paper is very helpful to understand new concepts and  applications of research in industry.,5.0,1.0,,MAE404,False,,,5,39,7
2012-09-28,"All the courses I took from him, I learned a lot and liked very much.  His style of teaching is powerful.  It is the question and answer style. Makes you prepare for classes and participate, not just sit back and take notes. His Intermediate Fluid Mechanics course is well suited for grads. Excellent professor recommended for all serious students!",5.0,1.0,,MAE512,False,,,5,40,7
2012-09-14,Helpful to students.Learned a lot from his classes.,5.0,1.0,,MAE303,False,,,5,40,7
2011-02-05,He's a....shall we say interesting...person. But he's not always very clear. He's helpful but makes you feel stupid. Tough grader.,2.0,5.0,,MAE303,False,,,5,3,38
2009-01-20,"This teacher gets a lot of negative feedback, but he is not that bad.  Make friends with him, become interested, and pay attention, and the class is not that hard.  Show him you want to work and be there and it is simple.",4.0,3.0,,MAE404,False,,,3,3,38
2006-01-18,Pretty straightforward... tests can be very different from what he teaches. Get old tests and you will be fine.,4.0,3.0,,MAE309,False,,,,5,35
