Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2012-12-06,"He moves SO quickly, its hard to keep up and hear him during class. His homework takes forever to complete and the grader is too picky. His tests are really easy compared to the homework though. He's a nice guy, but just isn't good at lecturing because he assumes everyone knows what he's talking about when he's explaining new things.",2.0,3.0,,EEN201,False,,,3,0,0
2011-11-29,He needs to retire. He knows his stuff but he moves fast. Doesnt like when you ask questions. Homework is short but tough and if you understand it then you could pass his tests which have three questions and are easier than scordilis's. I wouldnt recommend him to anyone though.,4.0,5.0,,EEN201,False,,,3,0,0
2010-07-25,"His tests are easer than other teachers. But you have to pay attention, he is an old man and he can't speak loud enough. Try to find old tests.",3.0,1.0,,EEN201,False,,,5,0,0
2009-09-30,"use the time of appointment, you will know the knwledge completely. No much homework.",5.0,1.0,,EEN201,False,,,5,0,0
2009-08-17,His tests are not too hard.Make sure you understand the homework problems and study the handouts. Then you should be fine. He will help you outside of the class if you need help.Just don't ask silly questions :)),3.0,3.0,,EEN201,False,,,4,0,0
2008-03-24,"Not a good teacher, assumes you will learn everything from his lectures, and does not like students asking questions if confused during lectures. Also completely rude to students, and in my opinion a complete bumbling idiot.",4.0,5.0,,EEN201,False,,,3,0,0
2007-09-14,Good teacher. You have to pay attention to him. Notes are messy so just pay attention and you will learn.,4.0,3.0,,EEN307,False,,,3,0,0
2007-07-24,"Is very difficult to understand, strict, and treats struggling students without respect.  Avoid him.",1.0,5.0,,EEN307,False,,,4,0,0
2006-06-09,"Although his accent makes him really hard to understand during lectures (inspiring a number of desktops to sport a classy Russian toad croaking the word &quot;minus!&quot;), he was really helpful outside of class if you were willing to put in the effort to talk to him.  Hey, at least he knew the subject  =)",2.0,3.0,,CIRCUITTHEORY,False,,,,0,0
2005-10-18,"If you can get into a class with a different professor, do it.",1.0,3.0,,EEN201AND307,False,,,,0,0
2005-10-11,"I liked him... he's tough, but he'll help you out if you need it. He really wants everyone to do well.",5.0,4.0,,EEN201,False,N,C,,0,0
2005-09-27,this is weird. i'm a ****in dumbass and i've got an A in his class so far. you just got to get on his good side and he'll practically tell you what to study exactly for each test.,3.0,2.0,,EEN307,False,,,,0,0
2005-09-03,They need to get rid of this guy.  Can never understand him and his tests are way too hard (unless u cheat).,1.0,5.0,,EEN,False,,,,0,0
2005-08-30,Whatever other choice given take it...i swear it will be better than Yacoub. Worst teacher i ever had...hated electrical because of him,1.0,5.0,,CIRCUIT1AND2,False,Y,A-,,0,0
2005-08-30,Whatever other choice given take it...i swear it will be better than Yacoub. Worst teacher i ever had...hated electrical because of him,1.0,5.0,,CIRCUIT1AND2,False,,,,0,0
2005-04-20,You are better teaching yourself before learning from this guy. On a good point for him is that he is very intelligent but he just does not know how to teach. I wish they would get a professor that speaks some d*mn English.,1.0,5.0,,EEN,False,,,,0,0
2005-03-08,worst teacher i have ever had..wouldnt recomend him to my worst enemy..,1.0,2.0,,EEN201,False,,,,0,0
2004-04-09,"Bad, bad teacher.",1.0,2.0,,EEN201,False,,,,0,0
2004-04-07,Horrible teacher - ineffective teaching skills,1.0,4.0,,EEN307,False,,,,0,0
2003-07-21,No Comments,1.0,3.0,,EEN,False,,,,0,0
2003-03-25,No Comments,2.0,3.0,,ENGINEERIN,False,,,,0,0
