Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-04-18,hes great and doesnt rly care about attendance but the exams r rly hard and the group project is like pretty hard too. yoi have to do well on the exams or ur cooked.,4.0,3.0,"Group projects, Test heavy, Graded by few things",BTE320,True,non mandatory,B+,-1,0,0
2026-03-23,"I was recommended BTE271 as an elective, and I'm so glad I took it. Prof. Leon makes a 3h class enjoyable with multiple group-based exercises and projects. Most kids were there all the time, even though he did not take attendance one time (if that tells you anything). Looking forward to my next AI class with him.",5.0,2.0,"Participation matters, Group projects, Amazing lectures",BTE271,True,non mandatory,A,-1,0,0
2026-03-16,"This class is heavily project based and you will stick with one group for the whole semester. I appreciated the project and it taught me a lot about tech. He grades fairly, but be prepared for lots of feedback sessions. Overall he is pretty chill and i would take him again. ",5.0,1.0,Group projects,BTE210,True,non mandatory,A,-1,0,0
2025-11-22,"Prof. Leon cares about students' learning. He is always willing to help. He walks all the time during class, making sure we are doing well. His class's design is unique and interesting, with meaningful deliverables that make you think, unlike other courses where you're not sure what you're doing or feel like you're wasting time. He's a solid 5/5.",5.0,2.0,"Participation matters, EXTRA CREDIT, Group projects",BTE210,True,non mandatory,A,-1,0,0
2025-06-23,"I was recommended to take this class with Prof. Leon, and he is hands down the best professor I've ever had at MHBS. Not only did I learn a lot about tech, but his character and pedagogy are genuinely inspiring. Simply 10/10.",5.0,2.0,"Group projects, Inspirational, Caring",BTE210,True,non mandatory,A,-1,0,0
2025-06-12,Such a great professor as he is always willing to help and goes out of his way to ensure you understand and are all set. Loved this class and feel so much more knowledgeable and like I really learned without excess pressure/stress!,5.0,3.0,"Inspirational, Caring",BUS150,True,non mandatory,A,3,0,0
2025-04-22,"Amazing teacher who truly cares about his students. I am the first guy to complain when a teacher is bad, so trust me when I tell you to take him and save yourself from the other professors who are super lecture-heavy and give huge memory-based tests. We had 0 tests, only multiple group projects, building a company from a technology standpoint. ",5.0,2.0,"Group projects, Gives good feedback, Accessible outside class",BTE210,True,non mandatory,A+,-1,0,0
2025-04-09,This is the prof you want to take if you need Python broken down into small pieces so you can actually understand it.,5.0,3.0,"Amazing lectures, Caring, Accessible outside class",BTE320,True,non mandatory,A,3,0,0
2025-04-08,"Class is def way harder than the 371 AI class. However, he is a great teacher and is willing to help.",5.0,4.0,"Amazing lectures, Test heavy, Graded by few things",BTE471,True,non mandatory,B,-1,0,0
2025-03-27,"I dropped this course last semester with another professor as it was very difficult to follow. With Dr. Leon's way of teaching I was able to comprehend Python like I never though I could. Guys, don't miss the opportunity to learn from this wiseman.",5.0,3.0,"Amazing lectures, Clear grading criteria, Caring",BTE320,True,non mandatory,Not sure yet,3,0,0
2025-03-01,"Great professor who makes a challenging class manageable. Attend class, do the work, and you'll learn a lot - even getting an Excel certification. Unstuck AI is a helpful study tool alongside the textbook.",5.0,3.0,,BUS150,True,mandatory,A,3,0,0
2024-10-30,"This complex class just turned into the most valuable I've taken this semester, as I just got accepted for my dream internship. I excelled at my interview by just taking about the things I've learned in this class. Prof. Maikel will take you from zero to here in machine learning with python.",5.0,4.0,"Amazing lectures, Clear grading criteria, Lots of homework",BTE413,True,non mandatory,Not sure yet,3,0,0
2024-10-21,I was very scared walking into BTE320 as coding was not my thing. I now feel very confident in Python and I thank Prof. Leon-Espinosa for making this class less scary and very hands-on. I highly recommend this prof. and would not hesitate taking more classes with him. ,5.0,3.0,,BTE320,True,non mandatory,Not sure yet,-1,0,0
2024-09-04,Simply the GOAT,5.0,3.0,"Gives good feedback, Caring, Respected",BTE601,True,non mandatory,A+,-1,0,0
2024-08-24,"Maikel is an unbelievable professor in the MBA program. As a Cuban American student, I was deeply inspired by Maikel in his class. Maikel's lectures are fantastic and often include relevant current events around business technology to connect the real world to academia. Maikel is a true gift to the school, and I am deeply grateful for the knowledge",5.0,5.0,"Inspirational, Caring, Respected",BTE601,True,mandatory,A-,3,0,0
2024-05-04,"This was a fun class, and I actually learned a lot. Although this class has a bad reputation, Prof. Espinosa makes it very manageable. I highly recommend this professor because he is caring, inspirational, and friendly.",5.0,2.0,"Participation matters, Group projects, Clear grading criteria",BTE210,True,non mandatory,A,-1,0,0
2024-03-22,One of the best Professors at UM. He really cares about his students and although AI programming can be difficult he is there to explain through every step of the way. UM'S hidden gems!! He should be the head of the BTE department for sure.,5.0,3.0,"Gives good feedback, Inspirational, Caring",BTE471,False,non mandatory,Not sure yet,-1,0,0
2024-02-12,"I took this class as an exchange student (I live/study in Europe). The quality of his teaching is outstanding. I often skipped going to the beach or playing sports because I enjoyed attending his class. In a recent job interview, I showed the company my project from this class, and they were impressed with the knowledge-based system we implemented.",5.0,2.0,"Group projects, Clear grading criteria, Inspirational",BTE471,True,non mandatory,A,-1,0,0
2023-11-10,"The professor is genuinely exceptional. He completely changed my perspective on technology and data analysis. The pace of the class is manageable, and the workload is well-balanced. The professor is always available to review our homework and cases, ensuring we are on track. This course will stay with me for a long time.",5.0,3.0,"Caring, Respected, Lecture heavy",BUS150,True,non mandatory,A,3,0,0
2023-10-04,"This is the most challenging class in the program so far. This professor does an incredible job teaching us, in only six weeks, the myriads of Python Programming. I don't remember working harder than this in another class, but I don't remember learning so so much. It has been a very gratifying experience. BEST PROF IN MHBS!",5.0,4.0,"Clear grading criteria, Lots of homework, Test heavy",BTE601,True,non mandatory,A,3,0,0
2023-09-22,"In my first year, I took BUS150 and BTE210 with Prof. Espinosa. In my Junior year, BTE320. How happy I got when I discovered he would be my professor in Grad School, too. This class is very rigorous, but the learning is phenomenal. It's much worth it and highly recommended. Pure Miami gem!",5.0,3.0,"Amazing lectures, Clear grading criteria, Accessible outside class",BTE601,True,non mandatory,A,3,0,0
2023-05-18,He is very passionate about the subject and the BEST business technology professor. He makes the class fun!!! ,5.0,3.0,"Amazing lectures, Hilarious, Caring",BTE210,True,non mandatory,A,-1,0,0
2023-05-18,"He is the best! He teaches a difficult course in an easy way and wants all of his students to succeed. As long as you do the homework, study using the practice tests, and go to class, you will succeed in this course. For MWF classes he makes Friday self paced. The final for the course is a Tableau project and it is easy.  ",5.0,3.0,"Amazing lectures, Clear grading criteria, Respected",BUS150,True,mandatory,A+,3,0,1
2023-05-03,"As someone with limited tech knowledge, I was hesitant about taking this class, especially given the early 8 AM time. To my pleasant surprise, not only did I gain valuable insights, but I also thoroughly enjoyed the experience. My team is now considering entering our class project in the Business Plan Competition. Prof. Espinosa is the man!",5.0,3.0,"Group projects, Amazing lectures, Accessible outside class",BTE210,True,mandatory,A,-1,0,1
2023-04-19,"I did not like my other professor for this class last semester, so I waited to take this class with Prof. Espinosa, and no doubt it was the best decision I've ever made. He explained so much better that I could follow classwork 99% of the time. I learned a lot and will get Microsoft Certified during the summer. He is the GOAT!",5.0,3.0,,BUS150,True,mandatory,A+,3,0,1
2023-04-15,He indeed explains the material well. I got my Microsoft Excel Certification straight from class content. Don't come to class thinking this is easy like exams are challenging. You also learn a lot I'm not gonna lie. I'm glad I took this class with him.,5.0,3.0,"Amazing lectures, Clear grading criteria, Test heavy",BUS150,True,mandatory,A,3,0,0
2023-03-22,"I 4/5 him because even though he is a great professor, there's a lot to complete in class, and I prefer classes with less work.",4.0,4.0,"Respected, Lecture heavy, Test heavy",BUS150,True,mandatory,Not sure yet,3,1,2
2023-03-21,"By far, the GOAT. He makes you work hard, but you learn immensely.",5.0,3.0,"Amazing lectures, Lecture heavy, Accessible outside class",BUS150,True,mandatory,A,3,0,0
2023-03-13,"Easy to talk to, helps understand the material.",5.0,4.0,"Participation matters, Gives good feedback, Respected",BTE32O,True,non mandatory,A,-1,0,1
2023-01-25,"Professor Espinosa is one of the best professors, if not the very best, that I have had in my three years at UM. He's very patient and takes time to answer all questions to make sure that every student understands. Tests are very fair.If you understand the homework assignments, then the tests are very easy. Homework doesn't take very long either.  ",5.0,1.0,"Clear grading criteria, Gives good feedback, Accessible outside class",BUS150,True,mandatory,A,3,0,1
2023-01-10,"By far my favorite and absolute best professor I've had at UM. Dr. Espinosa has an extremely strong understanding of the course material and teaches it in ways that help us to better understand it, rather than just memorize it. He is extremely approachable and wants you to ask questions so he can help. He genuinely wants to see his students succeed",5.0,3.0,"Group projects, Amazing lectures, Caring",BTE210,True,mandatory,A-,-1,0,1
2022-12-09,"Espinosa is truly a UMiami gem. My absolute favorite professor in the B-school so far, he really shows that he cares about his students and is a great teacher overall. BUS150 and BTE210 are challenging classes so pay attention, sit in the front, and ASK QUESTIONS! He is willing to help every student. 11/10",5.0,3.0,"Group projects, Caring, Accessible outside class",BUS150,True,mandatory,B+,-1,0,0
2022-11-08,"The most organized professor I have ever had. Clear syllabus, and precise grading criteria. Exam#1 was easy. Exam#2 was not (I must admit). I recommend his course but pay attention in class and don't miss a day. If you want easy A, look somewhere else. I don't regret coming to class or having to study because I have learned more than I anticipated.",5.0,3.0,"Amazing lectures, Clear grading criteria, Accessible outside class",BUS150,True,mandatory,A,3,0,0
2022-09-30,"Dr. Espinosa is clearly Python savvy, and his pedagogy is superior to all of my other professors (by far). The way he explains coding is clear and tangible. I highly recommend him and would not hesitate to take more of his classes because I have enjoyed attending every day. This is one of those few genuine Miami gems!",5.0,4.0,"Amazing lectures, Clear grading criteria, Accessible outside class",BTE601,True,mandatory,Rather not say,3,0,0
2022-08-11,"Dr. Espinosa is a fantastic teacher but a better person. Tore my ACL a week before I was scheduled to do a presentation, Espinosa rearranged my presentation to a later date, helped me in my research, then gave me perfect grade at the end of it all. Genuinely cares about the well being of his students and their enjoyment of the class. ",5.0,3.0,"Inspirational, Caring, Respected",BTE210,True,mandatory,A-,-1,0,0
2022-06-22,"I took his BTE210 and BUS150 classes during Summer A 2022, and I'm so glad I did. I've learned immensely, and this professor comes with respect, politeness, and pushes to get the best version of you. You got to study and work a lot but highly recommended.",5.0,3.0,"Group projects, Inspirational, Caring",BTE210,True,mandatory,,-1,0,0
2022-05-06,"By far the best professor I've taken a class with. I'm also majoring in CS, and no one prof from there compares to him. This guy deserves a promotion. C++ is a complex language, but this is the prof. to learn it with. I enjoyed coming to class every single day and would do it again. Very fulfilling course; just make time for assignments and study.",5.0,3.0,"Amazing lectures, Inspirational, Lots of homework",BTE32O,True,mandatory,A,-1,0,0
2022-04-15,"3rd class in a row with Prof. Espinosa, I did BTE210 and BTE320. I knew nothing about databases or SQL, and I passed a job interview where they asked hard questions about relational models, indexes, etc. I could not have done it without this class. He is a real gem! I wish I had more like him during my college time.",5.0,3.0,"Group projects, Amazing lectures, Respected",BTE423,True,mandatory,Not sure yet,-1,0,0
2022-04-13,"Grade is composed of 2 exams and a group project (no final). The first exam was easy, the second was harder but fair. He is a kind and understanding professor who is willing to work with his students. However, I recommend you sit at the front to force yourself to pay attention, I only took this class for the req so its hard to focus at times",5.0,4.0,"Group projects, Clear grading criteria, Test heavy",BUS150,True,mandatory,A,3,0,0
