Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-11-14,"Took him for Logic Design. Unfortunately he is the only professor who teaches this course. He's a little difficult to understand and can be a little all over the place. If you're willing to pay attention in class, ask questions, and do all the homework outside of class, you should get an A no problem. ",2.0,4.0,"Lecture heavy, Graded by few things",ECE211,True,mandatory,A,-1,0,0
2025-10-13,"This professor does not care about his students. He does not answer any emails and is extremely inaccessible outside of class. Most of his solutions on the practice problems have mistakes and he also makes a ton of mistakes in class so be sure to correct him or else he won't notice. However, once you learn how to do the problems, the class is easy.",1.0,2.0,Graded by few things,ECE211,True,mandatory,Not sure yet,-1,0,0
2025-07-28,"Even though I thought I got a B+ in his class, I actually got an A which was a ery nice surprise!",4.0,5.0,"Test heavy, Graded by few things",ECE211,True,mandatory,A,-1,0,0
2025-05-14,"If you do the practice questions on Blackboard, you should be set for the tests. It's kind of hard to follow him in class when he's giving lectures, but if you ask questions he clears everything up. ",2.0,4.0,"Tough grader, Test heavy, Graded by few things",ECE211,True,mandatory,C+,-1,1,0
2025-01-09,"I took this professor a few semesters ago. I did not like the way he lectured at all. He was very all over the place and hard to understand. I wish there was another professor that taught this course because it is very hard to learn from him. He does like it when you ask questions though, so I guess that's good.",1.0,5.0,"Tough grader, Lecture heavy, Test heavy",ECE211,True,mandatory,Rather not say,-1,0,0
2024-04-30,"He is a very interesting man. Whether you ask questions or not he might be mad no one is asking questions. DO ASK questions though. It is how you will understand. Honestly not bad class, just very everywhere at times.",2.0,4.0,"Lecture heavy, Test heavy, Graded by few things",ECE211,False,mandatory,A+,3,0,0
2022-12-13,"Professor Kabuka does not know how to use technology, expect to not have access to him outside of class. He commonly makes fun of students who ask questions. The entire grade is based off of your performance on 3 exams. The only redeeming factor for this class was the amazing TA, Isaac.",1.0,4.0,"Lecture heavy, Test heavy",ECE211,True,non mandatory,A-,-1,0,0
2021-05-16,"Came in with the expectation that ECE 211 (Logic Design) was a very difficult class. That expectation proved itself true within the first week, aided by the fact that Kabuka gave sub-par lectures over Zoom. His camera was off the entire time, he used his mouse to produce illegible scribbles, and rushed through material. Would not recommend.",2.0,4.0,Test heavy,ECE211,True,mandatory,B,0,0,0
2018-12-10,He goes very quickly through the lectures. Stops all the time to lecture people about being on their phones. Takes a TON of outside work to do well on the quizzes and tests.,2.0,4.0,"Tough Grader, Get ready to read",ECE304,True,mandatory,,0,0,0
2014-12-22,Very fair,5.0,1.0,,ENG304,True,,A,3,0,2
2014-04-25,"Will stop class if someone is on their phone and do nothing for up to 5 min, rather than be professional about it. Has errors everywhere in his solutions to his own questions. Grades harshly. May assign a test problem that is simple yet will require a stupid amount of work solely to lower the average grade, rather than test you on the concept.",2.0,4.0,,EEN304,False,,,1,2,0
2011-10-24,He just teaches you how to pass the test. I learned nothing in his class.,5.0,2.0,,EEN454,False,,,4,0,0
2011-04-13,.,3.0,4.0,,EEN304,False,,,5,0,0
2009-10-16,The best prof ive ever had!!!,5.0,1.0,,EENG304,False,,,5,1,0
2009-05-19,"In the lecture part of the class, he does as well as with EEN304. But in the lab section, he basically leaves the whole project to you and the TA (if you're lucky enough to have one). You have to figure the use of the software/board on your own, and if a previous semester's class hasn't done this for you, then the class will be a nightmare.",4.0,5.0,,EEN454,False,,,1,0,0
2009-05-19,"He lecture's ok, but he can stubborn when you protest a question in your exam. A little too strict on the way he grades the exams. I think he does go a bit too fast.",3.0,5.0,,EEN304,False,,,1,0,0
2008-11-07,"This guy is awesome, even though I had him for the summer(we had an exam every friday!). He is pretty strict, so try and stay sharp in class. It's tough material by nature, but he  breaks it down into many SUPER well-explained steps and so it becomes enjoyable. If you need to take this class, try as hard as you can to get him!!!",5.0,4.0,,EEN304,False,,,1,0,0
2008-06-20,I LOVE HIM!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5.0,1.0,,MAC3244,False,,,5,0,0
2007-10-26,He's one of the best teachers I've had so far. He is very strict yes but he wants you to learn and explains everything very well with lots of examples... His tests/quizzes are not hard but you need to practice a lot or else you won't have time to finish on time.,4.0,4.0,,EEN304,False,,,1,0,0
2007-07-24,"He may not be teaching Logic Design anymore.  He was very strict, and my experience was having to teach myself, because he sped through the material.  Make sure to print the notes out for each class and fill them in, or you will be lost midway through.",2.0,5.0,,EEN304,False,,,1,0,0
2006-01-26,No Comments,5.0,1.0,,LOGIC,False,,,,0,0
