Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2011-04-18,"if you can pay attention in class, the material is clear, but class is very very boring. If you do the tutorials all of the material is really easy. tests are not too bad, you get to use a cheat sheet.",4.0,3.0,,CIS150,False,,,3,0,0
2011-03-29,"Hummer comes off mean, but once you get to know her she's not that bad. Her tests are open book and not that difficult if you know your stuff. Projects are the hardest part and she is a tough grader on them.",2.0,4.0,,CIS320,False,,,4,0,0
2009-10-08,"WOW, This woman need a life. She is already part of the furniture at UM. She knows programing,(VB) but don't ask her how to change the screen resolution because she has no idea. Very hard on quizzes and projects",3.0,4.0,,CIS320,False,,,5,0,0
2009-07-21,"The most useless class at UM. Business students only take it because we have to for the Bus. School to be certified.  It is hell to sit through her class. She is monotone, boring, and extremely aggressive.  I would not recommend her to anyone.  You have to be near flawless to get an A or A-.",4.0,3.0,,CIS410,False,,,4,0,0
2009-05-15,The material is really easy but she makes it as hard as possible the exams are super tricky and she never helps you with questions from homework! She sucks!!!!,3.0,4.0,,CIS410,False,,,5,0,0
2009-01-21,"Not the best professor, though you can manage a decent grade in the class. Flexible. Knows her stuff. Sometimes the homework can be a pain though...",3.0,3.0,,CIS410,False,,,4,0,0
2009-01-07,"She's ok, not too good or too bad. Exams can be a little tricky... mostly all of it comes from the book so be prepared to read all the chapters carefully. Other than that the class was pretty easy.",4.0,3.0,,CIS410,False,,,5,0,0
2008-12-07,"She talks to you like if you're retarded. She's a hard grader and her tests are extremely hard. That being said, you will learn and it gets easier toward the end.",5.0,4.0,,CIS410,False,,,5,0,0
2008-12-02,"first test is tricky, the second one is almost too easy, and im not sure about the third, but she recently became funny. in the beginning, i hated this class, but now that she says such crazy things, i love going.",3.0,3.0,,CIS402,False,,,1,0,0
2008-04-27,"She's very nice and somewhat funny. 3 test including the final. open book-notes test but are tricky as hell!! very hard. 7 projects for this class. she takes off alof of points for nothing! very harsh grader. However, over all she's a good teacher!",4.0,3.0,,CIS320,False,,,5,0,0
2007-05-18,"This class involved tests, homework, and 2 projects (1 presentation,1 report).  Prof. Hummer is down-to-earth and her office door is always open to her students.  The tests are a little tricky.  Do I recommend this class&#63;...I honestly don't know.  If you have to take it, then Prof. Hummer is a good choice.",4.0,3.0,,CIS410,False,,,4,0,0
2007-05-17,"Very southern lady, very fun class however. Uses fun, real-world analogies that make class interesting. I recommend not getting on her bad side however, as she can really make your grade suffer.",5.0,4.0,,CIS410,False,,,5,0,0
2007-02-27,Very clear presentations. Makes programming fun.,5.0,4.0,,CIS320,False,,,5,0,0
2005-12-07,"Open books, open notes test. However, this doesnt mean its easy. Her tests are tricky and the programming she expects is advanced from what the book goes through. Lots of projects you need to accomplish, yet she does offer her help if you ask. She is a good teacher and explains the material well...also very nice and down to earth.",4.0,4.0,,CIS320,False,Y,B,,0,0
2005-09-15,No Comments,5.0,1.0,,CIS410,False,,,,0,0
2004-11-20,"First let me list the good: she knows programming and is decent at teaching it. Now for the bad: she intentionally tries to trick you on tests, she gets angry if you call her for extra help, gets upset if you ask too many questions when your confused and takes points off if she does not like you.",3.0,4.0,,CIS320,False,Y,A+,,0,0
