Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2011-12-03,"Incomprehensible. Reads poorly-written slides verbatim, effectively ruining any use for attending her class. Frequently arrives 10 minutes late every session. Uses incredibly outdated technology and doesn't understand anything other than her windows XP/visual studio environment (she called the BSD servers in Miami Linux). Horrendous teacher.",1.0,3.0,,EEN118,False,,,1,0,0
2011-09-04,"This was just HTML+CSS+JS+JAVA, very easy. Taught right out of powerpoint, but is an easy class. Assignments are easy, is very understanding, and always willing to answer a question (though can be easily flustered by it). Almost don't have to attend class if you know this stuff. Only and mid term, and a final, and a final project.",5.0,1.0,,EEN368,False,,,2,0,0
2011-09-04,"Nice lady, disorganized in class. Get the textbook fast! Has infinite patience, but seemingly doesn't have a grasp of the material, or comes off that way in class. I learned more in the lab portion, which was taught by a TA. I did bad cause I spent 1 month waiting 4 the txt a ordered instead buying at the bookstore, so just bite bullet and buy it.",2.0,4.0,,EEN312,False,,,3,0,0
2011-03-29,"Not a good teacher. She reviews powerpoints in class but is often corrected by students in her class.  She knows what she is doing, but she can't explain it to anyone else.  Class is boring, most people don't show up.",3.0,2.0,,EEN118,False,,,1,0,0
2010-12-27,"Very nice professor, I had her for an introductory class that I had already taken before in high school. She was very helpful for re-adjusting to C++ from Java. Only two tests the entire semester, and if you do well the final is optional. Labs for this class are tough, but you can work on them during the lectures.",4.0,1.0,,EEN118,False,,,1,0,0
2010-07-25,"Ha ha ha.   If you just want to pass without learning any thing take her class. I feel sorry for her, nobody pays attention in her class",4.0,1.0,,EEN369,False,,,1,0,0
2008-10-22,"Dr. Martinez's lectures are very boring and she mostly reads off of repetitive PowerPoint presentations.  However, the quizzes and tests are very easy and she is extremely helpful if you have any questions.",5.0,1.0,,EEN112,False,,,1,0,0
2007-10-23,"The most helpful and understandable professor I've come across in the EEN department here. As long as you pay attention in class, the subject material is a breeze. And if not, she'll put up with an astounding number of stupid questions.",5.0,3.0,,EEN312,False,,,1,0,0
2007-07-24,"Generally, people teach themselves the material themselves, because the classroom instruction is pretty unpredictable.  This can be difficult in Microprocessor.  Not as difficult in Java.  Fortunately, except for the first test in Microprocessor, her tests aren't TOO hard.  Maybe not completely matching what she covers in class, though.",3.0,3.0,,CLASSSECT,False,,,4,0,0
2007-02-06,No Comments,5.0,1.0,,EEN118,False,,,1,0,0
