Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2021-04-12,"Ok, I've had Scordi for several classes. If you're smart and work hard, you'll get an A, simple. However, in class, he's impatient, rude, and will not hesitate to implicitly call you stupid. If you're reading this Professor, consider the fact that some students don't know everything, and that's why they ask questions...",3.0,4.0,"Test heavy, Lecture heavy",ECE202,True,mandatory,A+,0,0,0
2020-05-04,"The class is difficult unless electrical eng is your thing. He is no pushover, but he will work with you if you show him you care. Doing the homework or at least trying is a must to getting a good grade on the test. Taking the class during COVID-19 was exceptionally difficult, but he really did his best and even held 4 extra review zoom sessions.",4.0,4.0,"Accessible outside class, Skip class? You won't pass., Test heavy",ECE202,True,mandatory,B,0,0,0
2020-02-24,"I think Scordilis is a GREAT professor, but I think his teaching is tailored to people more interested in circuits. Hes very quick, so I recommend reviewing your notes from the previous class before getting there; he likes to ask questions. Do the sample tests and KNOW how to do the homework, and you should be solid. He is the more difficult prof",5.0,4.0,"Participation matters, Skip class? You won't pass., Graded by few things",ECE201,True,mandatory,A-,5,0,0
2020-01-07,"From the very beginning of the course, Scordilis comes off as difficult. Your grade for the course is based entirely on Scordilis. He doesn't take time to know most of his students and you never know what you'll be doing next in class. Look out for when he's in a bad mood as he often projects onto his students and is very impatient. Pay attention.",2.0,1.0,"Graded by few things, Group projects, Tough grader",ECE110,True,mandatory,A-,0,0,0
2019-04-08,"Overall, you have to be an electrical engineer to be able to take him. He goes ultra fast on lectures and his test are really hard. If you can take another teacher take Kubat, Sung-Jim-KIm or Hamman. You are not going to learn with scordilis. He will literally ruin your GPA as a BME. 3 Test and a final. no quizzes",1.0,5.0,"Test heavy, Lecture heavy, Tough grader",EEN201,True,non mandatory,A-,5,2,0
2019-02-03,"Pretty bad prof. Class is way too fast paced, examples are often riddled with mistakes, didn't prove to be very helpful in office hours. If you want to do well in his class you definitely have to do outside reading and do ALL the practice tests.",2.0,5.0,Tough Grader,EEN201,True,mandatory,B-,0,1,0
2016-02-19,"Scordillis is an awesome guy and wants everyone to succeed. Tests are really difficult, and the best way to get a good grade is to work a ton of past exams for practice. He moves quickly in class, so you need to stay engaged to get something out of it.  Attendance is mandatory for a reason-- this is NOT a class to slack off in.",4.0,4.0,,EEN201,True,,,3,1,0
2014-10-25,"Dr. Scordilis is very knowledgeable on his subject matter. There aren't many tests and homework has a low percentage value on you final grade. About a third of the class drops within the first two months due to the normally low Test One scores, but, if you go to his office hours, he WILL help you get a better scores from that point on. ",4.0,4.0,,EEN201,True,,,4,1,0
2013-12-31,"Great person; tough course. He teaches well, but it is very fast paced. Even if you don't miss class, it is likely you will be a bit behind unless you do a good deal of outside reading. It's just the nature of the course. He grades fairly and gives extra credit opportunity, but you need to work to get an A. Reach out to previous students for help!!",3.0,4.0,,EEN201,False,Y,A-,5,1,0
2011-12-19,Good teacher. Knows his stuff and is not out there to fail you. Gives previous tests and grades pretty fairly. Nice guy and pretty funny. I'd recommened. Its a tough subject so people are going to complain but he teaches it pretty well.,3.0,3.0,,EEN201,False,,,5,1,0
2011-11-16,"Class is interesting but tests are tough, and require a lot of studying.  He is willing to help you whenever you need him, go to his office hours and he can usually change your grade too.",4.0,3.0,,EEN201,False,,,4,1,0
2009-04-02,"Knows his stuff, but he's definitely there to weed out underperformers",4.0,4.0,,EEN201,False,,,5,3,0
2008-10-22,Only had Scordilis for the last few weeks of EEN112.  Subject matter was fairly difficult and he didn't explain MATLAB too well; assumed that we already knew the basics.  Always go to class; he calls on students who look lost to answer difficult questions.,4.0,4.0,,EEN112,False,,,2,1,0
2008-03-31,"He is a very helpful. you need to study his power points. But come to class because he does a lot of examples in class on the board. He tends to make you feel stupid if you don't come to class, study or do the homework... because he asks questions in class. Overall MUCH better than Yacoub. 6-7 exams... optional final",4.0,3.0,,EEN201,False,,,3,1,0
2006-01-25,"Hard subject matter, but very fair grader",5.0,3.0,,EEN502,False,,,,0,0
2004-02-09,No Comments,5.0,3.0,,EEC,False,,,,0,0
1999-11-19,No Comments,1.0,5.0,,EEN436,False,,,,0,1
