Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-04-15,"This professor is everything wrong with academia. You better hope you get on his good side. His grading scale has no reason, he is impossible to talk to because he views you as lesser than. He is impossible to reason with. He is extremely vindictive if he does not like your class. Unfortunately this review is capped so I cannot provide examples.  ",1.0,4.0,"Tough grader, Lots of homework, Test heavy",MAE207,True,non mandatory,C,3,0,0
2024-01-12,"Teaches material well and is brief, once he does the theory and some examples, lets you go with homework for next class. Homework can be impossible sometimes, but most is on chegg and you can call him by phone (not the most helpful, but worked for some)  If he sees you try, you will get a B, even though I and others got a C on blackboard.",4.0,3.0,"Participation matters, Amazing lectures, Lots of homework",MAE207,True,non mandatory,B,-1,0,0
2021-12-11,Old fashioned. Take notes!! Takes attendance every class. Very messy handwriting. Lets you decide everything about the class including the weight of exams and final to how many problems on the test. Gives you his phone number to call him whenever you have questions. Make the final worth a lot so if you fail the tests you can redeem on the final.,3.0,4.0,"Lots of homework, Accessible outside class, Skip class? You won't pass.",MAE207,True,mandatory,B-,0,0,0
2020-04-28,Intro to senior design was the easiest course ever. You basically have to show up and not even everytime as long as one person from your group goes to class that's okay. He gives good feedback on papers. If you hand it in early he will let you change what he thinks needs to be better to get a better grade.,5.0,1.0,Gives good feedback,MAE440,True,non mandatory,,0,0,0
2018-08-14,"I had him for Mechanics of Solids II and Engines I and II. Very smart but is disorganized and tends to ramble. My advice is this: 1) ask a lot of questions in class to slow him down and reduce the amount of material he covers, and 2) take METICULOUS notes of every word he says.",3.0,5.0,"Tough Grader, Skip class? You won't pass., LECTURE HEAVY",MAE503,True,,B,0,0,0
2018-05-10,Dr. Swain's class was great. He presents the material very clearly and makes the class very straightforward. He is always available at any time for you to call or text him with any questions you have. He is also a very nice guy.,4.0,3.0,"Skip class? You won't pass., ACCESSIBLE OUTSIDE CLASS",MAE207,True,,,5,0,0
2014-12-16,"He's quiet, you have to sit close. In the past, we chose the grading scale (usually 10% hw, 1% tests, 89% final) but he can't do that anymore, it's preset. You might be able to choose the number of tests & the number of problems on each test. You have to do the hw AND THEN SOME to do well. Tests are unassigned hw, including the final. ",4.0,3.0,,MAE207,True,mandatory,,5,0,0
2013-04-30,"Smartest professor at UM. Very helpful and open to students.  The class is tough but very important for MAE.  Work hard and do well on the 3 tests, choose 89% weighting for final and average is always a 78%.",5.0,3.0,,MAE207,False,,,5,1,0
2012-11-29,BEWARE OF CURVE. Choose 89% Final. You will learn what that means.,5.0,3.0,,MEA207,False,,,5,0,0
2012-05-01,"HWs are a bit tough, tests are reasonable. You can call him if you've got q's. To the upcoming class: Don't just follow tradition and vote like previous classes making final 89% of grade. Those who blow the ceiling off finals (yea we all know you're brilliant), are likely to not take it anyway. To those who sincerely struggle, decide accordingly",4.0,3.0,,MAE207,False,,,4,0,0
2011-04-15,"He's a nice guy but always makes life hard. His test is not that difficult but his samples are REALLY hard!!!! Anyway, he's a nice guy and take his class.",3.0,3.0,,MAE207,False,,,5,0,0
2010-04-07,Great professor. One of the few engineering faculty that cares about their students. The average is curve up to an 81. So you decide your fate. Final is optional. Class was interesting and challenging.,5.0,4.0,,MAE207,False,,,5,0,0
2009-02-08,The short answer exam at the end of the course IS tough so make sure to make it to every class after the second exam. Recording the class is not a bad idea.,5.0,1.0,,MAE503,False,,,1,0,0
2009-01-20,"The first few tests are easy if you do the homework and ask questions...the last few tests with short answers are extremely hard and  make sure you UNDERSTAND what he says.  Also, record the class, he's so into his teaching that he is too fast to get everything",3.0,4.0,,MAE503,False,,,1,0,0
2008-07-29,"He is a good teacher, however he lacks people skills. If you ask a question, sure he will explain every detail about the problem at hand, but be prepared to be talked down to. Also, usually his explanations will tend to ramble on. But don't worry, he is not retiring anytime soon, as he (and his brother) teach almost every class you'll need as an ME",3.0,4.0,,MAE207,False,,,5,0,0
2007-12-27,"Material can be challenging.  Explanations can sometimes be complicated.  Read the book.  Grades based on a normal curve with a 78 average, so people who do poorly get bigger curves.  He lets the class decide how many exams you have and how much the final exam is worth.",4.0,3.0,,MAE207,False,,,5,0,1
2007-04-11,"GREAT TEACHER!!! by far the best teacher i've come across yet in engineering, beyond Ram, his tests are challenging but do the homework and review and you'll be fine.  The average is always a 78, so you choose your fate, he curves, and his classes are completely moldable, meaning u choose how much each test is worth, finals are optional.GREAT CLASs",5.0,3.0,,MAE207,False,,,5,0,0
2006-06-20,"Statics 2. Swain is an awesome teacher. He structures his class democratically, giving you a lot of say in how many tests you want to take, and gives the option to cancel class or push back test dates occassionally. He knows the material like the back of his hand. He's kind of hard to understand so be prepared to ask a lot of questions. Good Prof.",5.0,1.0,,MAE207,False,,,,0,0
2005-09-13,No Comments,3.0,2.0,,FLUIDDYNAMICS,False,N,A,,0,0
