Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-04-23,"His middle name literally translates to ""Human Sacrifice"" in English. Do with that what you will.",1.0,5.0,"Tough grader, Hilarious, Graded by few things",ECE205,True,mandatory,A,3,0,0
2026-03-31,"Very frustrating to talk to, and made simple material impossible. One of the worst if not the worst prof at UM. Just generally no",1.0,4.0,"Tough grader, Get ready to read",ECE205,True,mandatory,Drop/Withdrawal,3,1,0
2025-08-22,Heavy accent but very nice dude. He assumes you already know everything and his handwriting is extremely bad. A very nice professor and he grades easy that pretty much redeems everything.,4.0,1.0,,ECE201,True,non mandatory,A,3,1,0
2025-08-16,"Dr. Wang is a great professor who is always accessible for help. He is very accommodating with office hours, even meeting with students outside the scheduled times. The course material can be challenging, but staying on top of the work and taking advantage of his availability will set you up for success.",5.0,4.0,"Caring, Lecture heavy, Accessible outside class",ECE205,True,mandatory,A+,3,0,0
2024-12-17,Worst class ever taken!!! Lectures are very uninteresting and it's hard to understand him. I definitely wouldnt recommmend him,1.0,5.0,,ECE301,True,mandatory,,3,0,0
2024-12-10,"Don't take this class unless you have to. Very terrible explanations, makes mistakes always, no practice exam/clue whatsoever..... going to this class was just a waste of time honestly::::(",1.0,5.0,"Tough grader, Lots of homework, Test heavy",ECE301,True,mandatory,Not sure yet,3,0,0
2024-11-05,"Almost all the students had never taken Diffeq or linear  and when he realized that no one had taken it and it was not a prerequisite he just continued to teach without covering the material.

A student looked raised his hand and said ""i'm lost"" and he paused for a moment and simply continued on.

The curve and the +5 EC allowed me to pass",1.0,4.0,EXTRA CREDIT,ECE205,True,mandatory,C-,3,0,0
2024-01-12,"Competes for being the worst professor I've taken. I had to withdraw from ECE205 and take it again with Samara, and Samara x10 better, choose him if you have a choice. Slides are impossible to understand, takes attendance and singles people out for not listening to his incomprehensible lectures. Would get a C with him, got a B with Samara.",2.0,4.0,,ECE205,True,mandatory,Drop/Withdrawal,3,0,0
2021-04-19,"Very boring in class and honestly it's very difficult to understand him. I do poorly with accents and he has a heavy one. He does not explain anything well and he writes way too small on the board so it's hard to see/follow. The homeworks sort of represent the tests (but not entirely). I dropped the class for those reasons, but also personal ones.",1.0,4.0,,ECE205,True,mandatory,Drop/Withdrawal,5,0,0
2021-01-20,Boring lectures and the material that are on the tests are not made clear during class. Do not recommend,2.0,4.0,Lecture heavy,ECE301,True,,,5,0,0
2020-11-12,He expects a lot and doesn't provide practice tests.,3.0,4.0,EXTRA CREDIT,ECE301,True,mandatory,,0,0,0
