Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2021-01-26,Prof. Kubat is a great teacher who made the course quite enjoyable. The bulk of the class is learning how to solve circuits like they're puzzles. Kubat walks around class to make sure the students are following along and presents many opportunities to ask questions or receive clarification. The tests are just like the content in class and the book.,5.0,3.0,"Gives good feedback, Accessible outside class, Test heavy",ECE201,True,,A+,5,0,0
2020-11-20,"Easily one of my favorite professors at UM, Prof. Kubat is very interested in what he teaches and you can tell. He is not a harsh grader, but your grade comes from the exams. The key thing is to pay attention to practice problems he does in lecture because he is likely to reuse questions or do something similar to them. You should take him. No HW.",5.0,3.0,"Gives good feedback, Test heavy, Hilarious",ECE201,True,non mandatory,A,0,0,0
2020-10-23,This guy is very sweet and he is great for explaining simple things! I took intro to programming and it was very fun! His explanations can be a little all over the place sometimes so be careful if you take him for something more advanced,4.0,3.0,"Respected, Lecture heavy, EXTRA CREDIT",ECE118,True,non mandatory,A-,0,0,0
2020-05-07,"Kubat made this class so enjoyable and welcoming! The subject of Machine Learning is sometimes pretty difficult to grasp and he did a wonderful job in simplifying it and offering to help outside of class. Honestly one of the best comp. sci classes I have ever taken at UMiami. Also, his textbook is wonderful so definitely rent and read!",4.0,3.0,"Accessible outside class, Group projects, Lecture heavy",ECE548,True,non mandatory,A-,5,0,0
2019-11-21,The best professor that I've had at UM. Teaches very well and it is clear that he cares about his students greatly. Have taken two classes with him and learned a lot in both of them.,5.0,2.0,"Inspirational, Hilarious, Caring",ECE548,True,non mandatory,A+,0,0,0
2019-04-23,Taking two AI classes with him in one semester was manageable. They are high level course so You have to do the work. His tests are not hard and he is not harsh but once again its programming and ML so you have to study. I regret not taking him for Circuit theory because my grade would have been better. Very down to earth guy compared to other pfs,5.0,3.0,"Respected, Inspirational, Amazing lectures",ECE548,True,non mandatory,A+,5,1,0
2019-04-22,Dr. Kubat is a goldmine in Machine Learning and AI. His lectures incorporate theory with his practical experience examples. He wrote the book himself and Its easy to read. You have to put some work because there are projects involved. I took two courses with him this semester and I totally enjoyed them both. Go to his office he will help you.,5.0,5.0,"Clear grading criteria, Hilarious, Caring",ECE537ECE548,True,N,,5,0,0
2019-02-27,"Professor Kubat, is one of the reasons why I wake up on MWF. He reminds me of an Albert Einstein &amp; Victor Frankenstein. He is a mad genius . His tests are completely fair and not meant to be tricks. He cares about his students and but is also challenging. He's overqualified for this job and I appreciate just learning from him. He's Inspirational",5.0,1.0,"Inspirational, Amazing lectures, Caring",ECE537,True,mandatory,,0,4,0
2019-02-12,"Kubat is an amazing professor. The first programming class I took was with him, and it only made me realize I had chosen the right major. He explains the material really well. He is always available if you have any doubts. Definitely would take another class with him.",5.0,3.0,"Respected, Caring",ECE118,True,non mandatory,A,0,2,0
2019-01-15,"Distinguished professor, he genuinely cares about his students and is always open to help you. He teaches programming at a great pace. His quizzes are not hard if you attend class and do the labs. Labs take a lot of time, but they will solidify your understanding for the test. Tests are challenging but he gives A LOT of similar practice tests.",5.0,3.0,"Gives good feedback, Clear grading criteria, Caring",EEN118,False,mandatory,A+,0,1,0
2018-12-01,"Dr. Kubat is good professor. He has a unique teaching style. He goes around and looks at every bodies work. He helps you individually if you need help. Dr. Kubat has some flaws but he genuinely wants to help. His test and quizzes are not impossible. As for the other comments, Programming is a hard class. Not many professors can teach it well.",5.0,4.0,"Skip class? You won't pass., ACCESSIBLE OUTSIDE CLASS, Caring",ECE201,True,non mandatory,A+,5,2,0
2018-11-07,"Excellent profesor, helps you throughout the course, walks around the class asking if you have any doubts, a lot of practice in class to make sure you fully understand the topics. Professor is very kind, do not hesitate to go to office hours, he will always help you. Midterms very similar to practice done in class. So dont skip!",5.0,4.0,"Gives good feedback, BEWARE OF POP QUIZZES, Clear grading criteria",ECE201,True,mandatory,,0,1,0
2018-05-05,"Doesn't teach anything, and exams are extremely hard. Class is boring, and he gives ridiculous pop quizzes. DON'T TAKE",1.0,5.0,"Tough Grader, BEWARE OF POP QUIZZES, TEST HEAVY",EEN118,True,mandatory,,0,0,2
2018-03-09,His quizzes are often predictable once you know his pattern and you often can predict the dates of the quiz without worry. quizzes are often every two weeks it really depends on the mat. Towards the 3rd quarter of the semester quizzes occur every week so if there is six quizzes you usually end up having 2 quizzes in two weeks toward the end. p,3.0,3.0,"Gives good feedback, LOTS OF HOMEWORK, GRADED BY FEW THINGS",EEN118,True,non mandatory,Rather not say,0,0,1
2017-12-06,"Never choose this class. The class content is heavier than you thought. Trust me, never choose this class unless you want to major in it.",1.0,4.0,LOTS OF HOMEWORK,EEN118,True,non mandatory,,5,1,1
2015-09-12,"His teaching methods aren't always clear, but you will learn a lot. He's a lot easier than Murell, and there's really no excuse not to get an A. Grades you based on each individual test question, and the final can be used to take the questions over and replace your grade for each individual one. ",3.0,2.0,,EEN118,True,,A,1,1,0
2013-10-08,"Kubat is an unintentionally hilarious nutjob of a professor. From his popped collar, to his fanny pack, to his white flowing hair, he presents an eccentric figure indeed. I had him for Machine Learning, which is his field of study, and I thoroughly his class. It was not difficult, and he managed to keep it interesting.",3.0,2.0,,EEN548,False,,,1,3,0
2013-08-28,"Terrible professor. He is unclear, unproffesional, and consistently unprepared. On Fridays he either cancels classes or chooses to rehash previous lectures, wasting everyone's time. His tests do not reflect actual knowledge of C++. Mistakes are easy to make and are extremely costly. 2-3 important questions per exam, but he allows a make-up final.",1.0,3.0,,EEN118,False,N,A,1,2,1
