Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2023-01-07,"My friend. We had the pleasure to have statistics with him. Can't complain much because the exams were literally the hw and final grade had BIG curve. Thick accent, forgets to finish sentences sometimes, but that's ok. Actually trying to learn using slides and the textbook will bring you pain. Just do the hw and brute force chegg.",3.0,3.0,"EXTRA CREDIT, Graded by few things",IEN111,True,non mandatory,A,3,0,0
2022-05-01,"Soo boring. Do not take if possible. Homework is poorly explained unless your actually working on it in class following what he does. Homework is toughly graded and will need to be resubmitted at least once to get a viable grade. Quizzes and tests are full of useless information. If you're good at AutoCad you'll be fine (stupid, outdated program).",1.0,4.0,"Tough grader, Lots of homework, Lecture heavy",IEN111,True,mandatory,,3,1,0
2020-10-27,"Seems pretty intense at first, but genuinely cares about the success of his students and is always willing to help.",5.0,3.0,"Gives good feedback, Respected, Group projects",IEN111,True,mandatory,A,0,1,0
2018-09-11,"He is funny and cares VERY much about his students! You DO have to be motivated though! Show up to class on time every day, attempt the homework, and try! He will pass you as long as you try and turn everything in on time! He is very open to offering assistance with assignments if needed! Open book but hard MATLAB Test! Study and take great notes!",5.0,4.0,"Respected, Skip class? You won't pass., Caring",MAE111,True,mandatory,D+,5,0,1
2017-05-06,He does give a lot of homework but it is mostly drawing which is important. He helps a lot with the drawings if you don't understand it. The only issue is he does not focus on AutoCAD as much. He only does two classes on autoCAD but I feel like it should have been more because of how complicated of a program it is.,5.0,4.0,"Skip class? You won't pass., Gives good feedback, Hilarious",CAE111,True,Y,,5,0,1
2017-04-01,Tests are super easy and Fahmy usually let class out an hour and a half early. But that being said he focused more on hand drawing than AutoCAD (where autoCAD is definitely more important) and was hard to understand at times.,3.0,2.0,GRADED BY FEW THINGS,BME111,True,mandatory,A,0,0,0
2016-12-17,"Favorite professor. Even my peers who found it difficult to understand him or felt he didn't deliver lectures clearly, couldn't help but love him. If you pay close attention, it all makes sense with practice. If you don't take it seriously of course you will slack off and find class to be monotonous. Nice grader",5.0,2.0,"Respected, Skip class? You won't pass., Caring",EEN111,True,mandatory,Not sure yet,5,0,0
2016-03-27,"Great professor, clearly cares about all his students and teaching them key concepts in order to become a better engineer in the real world. Also a very easy grader and wants everyone to get an A in his class. Would definitely recommend him.",5.0,1.0,,MAE111,True,,,3,0,0
2014-12-04,"Great teacher, really understands Matlab well.",3.0,4.0,,EN111,True,mandatory,Incomplete,1,0,0
2014-12-03,"Fahmy is a good teacher at AutoCAD in intro to engineering. He does have a thick accent and is slightly boring to listen to, but is more than willing to help you and makes you learn a valuable skill. ",4.0,2.0,,BME111,True,,,1,0,0
2014-12-02,"Definitely one of the better engineering teachers. The class is supposed to be 2 hours 40 minutes long, twice a week, but he always lets us out an hour to an hour and a half early. Tests are not that hard at all, homework can be a little difficult at times but there isn't much of it. Listen to his lectures, they really do help. ",4.0,2.0,,EN111,False,mandatory,Not sure yet,3,0,1
2012-12-03,"Fahmy can be hard to understand and his lectures are pretty boring, but if you do all the drawings you will be completely fine. His test was by far the easiest and he is not a difficult grader.",3.0,1.0,,BME111,False,,,4,1,0
2011-11-17,"Nice guy! Hard to understand sometimes, but just do all  the drawings and you'll get a good grade. Tests are easy.",2.0,3.0,,IEN111,False,,,3,0,0
2011-05-20,"The best , want you to get an A , at the same time you learn so much from him",5.0,1.0,,IEN557,False,,,5,1,0
2011-02-25,he is so great,4.0,2.0,,CAE111,False,,,4,1,0
2011-01-02,"Took him for the Drawing/CAD. Was bad at explaining things but if you know anything about drawing and CAD, then this class is really easy. Class wasn't hard and he looks to get you an A.",3.0,1.0,,EN111,False,,,2,0,0
2010-07-12,"You can tell he is a man of sage, and who has lived through many hopefull experiences. He's very funny, though he can get a bit tough at times. But you can tell it's only because he cares, and wants us all to pass. He's a good teacher in general, his english can be a bit off at times, but I still benefited alot from his class.",5.0,5.0,,HISTACCT,False,,,4,0,0
2008-10-22,"When Dr. Fahmy teaches the AutoCAD portion of Intro to Engineering, he does not focus on AutoCAD -at all-.  Up until the last two classes, all you will do is draw on graph paper.  If possible, get into a class where Dr. Ram teaches AutoCAD (if you're interested in learning it correctly).",3.0,2.0,,EEN111,False,,,4,0,1
2007-10-30,"He taught drafting and a bit of autocad, he is a tad hard to understand i.e. &quot;Number C&quot;",2.0,2.0,,ENG111,False,,,3,0,1
2007-10-24,"His English is terrible and he doesn't know how to explain MATLAB at all. He basically reads off of his powerpoints, that aren't so easy to understand. Your best bet is reading the book. Unfortunately, you have to have him for Intro to Engineering. He didn't even tell us his name on the first day of class.",1.0,4.0,,EN111,False,,,3,0,1
2007-04-24,his english sucks!!!,1.0,5.0,,IEN557,False,,,4,0,1
2006-11-27,"He taught the MatLab section of Intro to Engineering I.  He reads from a Powerpoint presentation, which is sometimes hard to understand.  If you do the homeworks and review commands in the textbook, you'll do fine.  The exam was too long for the time given.",3.0,3.0,,MAE111,False,,,3,0,0
2006-06-20,"Intro To Engineering. Teaches Matlab and Autocad portions of the class, but you may just have him for matlab. He's difficult. Purposely designs matlab test to be impossible to complete. He's a dick too, but you'll get used to him. He's pretty good at explaining things. However, he favors the old school methods. Everyone passes intro, don't worry.",5.0,4.0,,MAE111,False,,,,0,0
