Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2022-05-17,"The learning curve jumped quite a bit for someone taking this course that was completely unfamiliar with Python functions. However, once the class switched to data science applications it was much easier to do the assignments and learn the functions/packages. Dellis is very lenient in terms of extending deadlines and seems to be a caring professor.",5.0,2.0,"EXTRA CREDIT, Gives good feedback, Respected",CSC615,True,non mandatory,A+,-1,0,0
2022-05-16,"The first 2 months was same as CSC115 + Zybooks and then we did data science stuff. 6 small assignments every 2 weeks, a take-home midterm after 1 month and a final project. The class was fairly easy if you know programming basics but be ready to look up documentations online as his lectures were subpar, slides for the final project was lackluster.",5.0,2.0,"Get ready to read, EXTRA CREDIT, Graded by few things",CSC315,True,non mandatory,A,-1,0,0
2022-01-11,"If you are able to self regulate, this asynchronous class is amazing. All of the material including discussions, assignments, and projects are there from the first day of class. The work was to be completed at your own pace. Most of us finished months early. The work was incredibly easy, seemed as if he pretty much gave As for effort. Take him.",5.0,1.0,Caring,CSC118,True,non mandatory,A-,0,0,0
2022-01-10,Can't say much about the teacher but you could grind the entire class out in 2 nights and that's literally it. Free writing credit as well.,5.0,1.0,,CSC118,True,non mandatory,A+,0,0,0
2022-01-05,"If you like comp sci or are good at it this class is probably a walk in the part. As someone who is neither of those I found it was very easy up until the last third or so when the assignments took a big jump in difficulty imo. However, put in the time and go to TA office hrs and it should be fine. Prof is very chill and lenient as well.",4.0,2.0,,CSC115,True,,A,5,0,0
2021-12-25,The structure of class was quite bizarre and the point system for grading is faulty. After the final was taken away my grade dropped more than 5% which wouldnt have even been a problem had he prompted us with an explanation. Nice Xmas surprise I guess.,2.0,3.0,Graded by few things,CSC115,True,non mandatory,,0,1,0
2021-04-19,super duper chill and super lenient on the assignments too but the class was a little bit confusing at first just do step by step through the modules and you can't go wrong. If I could have him again I WILL ABSOLUTELY. also the exams are very easy as well which I appreciate too.,5.0,1.0,"Respected, Accessible outside class, Inspirational",CSC118,True,non mandatory,A+,0,0,0
2020-10-01,"Such a genuinely good professor. He cares about his students and will help you succeed. Very knowledgeable and will always answer questions about assignments and help you if you need it. Assignments are clear and manageable, and very accommodating if you talk to him. Hope I can have him for the rest of my classes.",5.0,3.0,"Accessible outside class, Clear grading criteria, Caring",CSC120,True,,A+,0,0,0
2020-08-13,"The course was completely online without a lecture. The student follows the syllabus, modules and completes the assignments by the due date.",3.0,3.0,"Get ready to read, Clear grading criteria",CSC118,True,non mandatory,A+,0,0,0
2020-05-19,CSC118 was an online course so you basically follow the module. It's a pretty straightforward course but you learn practical skills.,5.0,3.0,"Get ready to read, Graded by few things, Clear grading criteria",CSC118,True,non mandatory,A+,0,0,0
2020-05-14,"His lectures and expectations are very clear, and he is nice and laid back.",4.0,2.0,"Clear grading criteria, Amazing lectures, EXTRA CREDIT",CSC200,True,,,5,0,0
2019-11-04,The most amazing professor ever. He cares a lot about the students understanding what they are learning and understand. He is very understanding about issues that students have and will help you every step of the way.,5.0,2.0,"Accessible outside class, Test heavy, Caring",CSC220,True,non mandatory,A+,0,0,0
2019-01-10,"By FAR the best CSC teacher at UM. I will only take my CSC classes with him from here on out. super nice guy, very cool too. always accessible outside of class and will accommodate missing quizzes or late assignments if you talk to him. CLEAR GRADING CRITERIA and lectures are not mandatory attendance. guy is a beast- take him.",5.0,3.0,"ACCESSIBLE OUTSIDE CLASS, Clear grading criteria, Hilarious",CSC220,True,non mandatory,B+,0,0,0
2019-01-06,One of the best profs I've had so far. Prof D genuinely wants students to learn the material above anything else and does everything he can to help you succeed. Super chill and understanding prof who breaks down material really well-- learned a lot from 220 and taking his python class next semester!,5.0,1.0,"ACCESSIBLE OUTSIDE CLASS, Caring",CSC220,True,non mandatory,A+,0,1,0
2018-12-11,"Nelson is a really cool guy, very easy to talk to. Every lecture is posted online as a powerpoint, and with time you start to read them in his voice. No textbook required. Ask him about memory!",4.0,1.0,"Respected, Participation matters, Clear grading criteria",CSC220,True,non mandatory,,0,0,0
