Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-12-27,I went to 3 classes in total this semester. Tests were online open note. The group project took a little time but was not challenging. Take this class if you want to get through BTE 210 without any work. It has been my easiest class at UM so far and I've heard that this could be one of the more challenging classes with another professor. ,5.0,1.0,Group projects,BTE210,True,non mandatory,A,-1,0,0
2025-12-11,He is a kind professor and accommodated many of my requests. Classes are interesting and exams are easy. ,5.0,2.0,"Amazing lectures, Inspirational, Caring",BTE210,True,non mandatory,A+,-1,0,0
2025-11-24,"The best part was that he recorded all lectures, giving us access to the videos, so we didn't need to attend in person. Exams were online, open book, and easy. The group project was fun and taught practical skills for starting a buisness. Choose good team members, as you need to work hard on it together.",5.0,2.0,"Group projects, Amazing lectures, Accessible outside class",BTE210,True,non mandatory,A,-1,0,0
2025-11-22,"This class was great! The professor talked about a lot of up-to-date topics which was nice for a tech class. The midterms were online, open note, and simple content. The group project was slightly more involved than I think it needed to be, and was a little more confusing than other parts of the class. However, he was great overall!",5.0,1.0,"Group projects, Graded by few things, Online Savvy",BTE210,True,non mandatory,A+,-1,0,0
2025-05-04,"The class was kinda boring content-wise, but the professor actually made it way better than I expected. You can tell he cares and tries to keep us engaged. Not my favorite topic, but not a bad class overall.

",5.0,3.0,"EXTRA CREDIT, Group projects, Clear grading criteria",BTE210,True,mandatory,A,-1,0,0
2025-04-27,"Dr. Yaraghi's extensive health policy expertise makes this course a standout. His class discussions keep late-night classes engaging. Grades come from debate participation and one policy brief, both rewarding. Strongly recommend!",5.0,1.0,"Group projects, Inspirational, Accessible outside class",HMP655,True,non mandatory,A,3,0,0
2025-04-27,"Prof. Niam's BTE 210 is great! Clear lectures, approachable. Group project was super fun. Two fair exams, but last one's tougher. Study hard! Worthwile class.",5.0,3.0,"Participation matters, EXTRA CREDIT, Group projects",BTE210,True,mandatory,A,-1,0,0
2025-04-25,"Class isn't very interesting, but it is easy and definitely doable. I very much recommend.",4.0,2.0,,BTE210,False,,,,0,0
2025-04-15,"The class is not too bad, and the content is relevant, especially if you are into tech. However, the professor is below average, boring, and sometimes annoying.",2.0,3.0,"Group projects, Lecture heavy, Test heavy",BTE210,True,mandatory,Rather not say,-1,0,0
2025-04-09,"He is not bad but not great either. I struggled to be awake during his classes, he is just so boring lmao.",1.0,3.0,"Participation matters, Lecture heavy, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,0,0
2025-02-11,"There are three exams, all on paper, and no laptops or phones are allowed during tests. The exams are fair if you study, and he offers a lot of bonus points, which really help your grade. There's a student presentation that he gives full credit for, so it's an easy grade booster. The final group project is manageable and a good learning experience.",5.0,5.0,"EXTRA CREDIT, Group projects, Test heavy",BTE210,True,mandatory,A,-1,0,0
2025-02-11,He takes random attendance which affects your geade. Exams are on paper and closed book. Group project and presentations. Not super easy but will do well if you read the slides for exams.,5.0,4.0,"Tough grader, EXTRA CREDIT, Group projects",BTE210,True,mandatory,A,-1,0,0
2025-02-04,"The class is really interesting, and the discussions make the topics engaging, A lot of class activity. He asks questions and calls out stufents. You definitely need to pay attention in class to do well!",5.0,3.0,"Participation matters, EXTRA CREDIT, Group projects",BTE210,True,mandatory,A,-1,0,0
2024-11-07,"It's not my cup of tea. The course is OK, but I can't say the same about the professor. I wish he had some substance, but we just read old articles and talk about tech history.",2.0,3.0,"Get ready to read, Graded by few things",BTE610,True,non mandatory,A,-1,0,0
2023-10-26,Course was case based. So many cases on AI in healthcare. It was Thought provoking and allows the student to apply problem solving skills. 	,5.0,2.0,"Participation matters, Inspirational, Caring",BTE610,True,mandatory,A,-1,0,0
2023-05-24,"I found it very challenging to grasp the material and felt that my learning was hindered. Unfortunately, I believe this was primarily due to the professor's teaching style, which I found ineffective. I would NOT recommend this class or the professor.",1.0,4.0,"Participation matters, Group projects, Lecture heavy",BTE413,True,mandatory,B,-1,0,2
2023-05-22,Took this class a while ago. Very big project at the end of the semester but you will learn alot ,5.0,2.0,"Clear grading criteria, Gives good feedback",BTE210,True,mandatory,A-,-1,1,0
2023-05-20,"I find this person to be quite arrogant and I regret choosing this elective class. If possible, I would advise avoiding it altogether.",1.0,5.0,"Tough grader, Graded by few things",BTE413,True,mandatory,,-1,0,4
2023-05-05,"Very straightforward course: 6 easy assignments based on cases + class discussions and a group project for machine learning which he has already recorded the videos for. He gives a lot of extra credits. 
Helped me learn Python and understand what machine learning is all about. ",5.0,2.0,"EXTRA CREDIT, Amazing lectures, Respected",BTE413,True,mandatory,A,-1,2,0
2023-04-28,"BTE 413 with Professor Yaraghi, was my favorite class I took this semester. He is so passionate and you can tell through his lectures. He goes above and beyond to create meaningful and engaging discussions. While this is not as technical as many BTE classes, I feel like I learned just as much, if not more. Great class, amazing professor! ",5.0,4.0,"Participation matters, Group projects, Amazing lectures",BTE413,True,mandatory,A,3,3,0
2023-04-26,"He is an awsome professor. He really knows his stuff and has a great sense of humor that makes the class super enjoyable. He was always willing to work with us and I really appreciated how accommodating he was. Before taking this course, I had no idea about machine learning and AI, but now I feel like I've learned so much.

",5.0,3.0,"Clear grading criteria, Gives good feedback, Caring",BTE413,True,mandatory,A,-1,2,0
2023-04-21,"He records videos of lectures and puts them on Blackboard to supplement the class in case you missed steps in class. Also, meets with every group and helps a lot with the group project. He is very approachable and engaging professor. He presents this course in a way that gets most students engaged
in the subject. 
",5.0,3.0,"Participation matters, Group projects, Amazing lectures",BTE413,True,mandatory,A,-1,2,0
2023-03-03,Professor Yaraghi made this class an absolute pleasure to come to. His lecture and discussions during the class were so interesting and made me question the world further outside of class in the best ways possible. I fully enjoyed his class and the way he conducted them.	,5.0,4.0,"Participation matters, Caring, Respected",BTE413,True,mandatory,A+,-1,2,0
2023-03-02,"I loved the material in this class and was interested in every discussion we had. The professor was awesome and i really loved how we got to guide the class discussions and how involved the professor was. Overall, a really great course.	",5.0,5.0,"Participation matters, Group projects, Respected",BTE413,True,mandatory,A,-1,1,0
2023-02-24,"Professor Yaraghi is incredibly knowledgeable and patient. He has years of experience in his field, and it shows in the way he teaches and interacts with his students. He's always available to answer questions and provide additional support outside of class.

",5.0,2.0,,BTE413,False,mandatory,A+,-1,0,0
2022-12-23,"Professor will not teach you something useful , and he is very rude",1.0,1.0,"Participation matters, Lecture heavy",BTE413,True,mandatory,,-1,0,3
2021-11-10,"This is a big data strategy class, it is not a technical class, instead, you will learn how to best implement the resources required for big data in an organization. He will not teach you coding, but you will learn a lot about strategy. He has a ton of discussions in class about technology in general which I found very interesting and useful.",5.0,3.0,"Gives good feedback, Participation matters, Inspirational",BTE413,True,mandatory,A,0,0,0
2021-11-05,"Very boring. You can easily tell he is not into doing technical things. I'm disappointed bc this does not feel like a BTE class, feels more like Marketing or soft things. Easy A but easy time lost?",2.0,2.0,"Participation matters, Graded by few things",BTE413,True,mandatory,A,0,0,4
2021-04-19,"This is a different class from my previous ones in the BTE department, The focus is more on the management side, rather than technical, I learned a lot about analytics and strategy here, and feel very confident applying for internship for data analytics positions since now I have a very broad overview of all the aspects of analytics.",5.0,3.0,"Gives good feedback, Lots of homework, Skip class? You won't pass.",BTE413,True,mandatory,A,5,0,0
2021-04-14,"Professor Yaraghi is a very knowledgeable and smart person. I had to reach him multiple times since I was struggling to learn few concepts, he explained everything very well for me. I am surprised to see negative comments. If you study you'll get an A.",5.0,3.0,,BTE413,True,mandatory,A+,0,0,0
