Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-12-19,"Dr. John is a great professor who explains assignments and projects very clearly. Exams are split between take-home and in-person, with the two averaged, which feels fair. He also offers extra credit built into homework, giving students opportunities to boost their grade. Overall, strong lectures and a well-structured systems programming course.",4.0,3.0,"EXTRA CREDIT, Clear grading criteria, Respected",ECE322,True,non mandatory,B,-1,1,0
2025-04-25,"Dr. John is a great professor. Unfortunately, what he expects you to apply in lab work is much more than he teaches you. My main problem is that ECE 118 is NOT an introduction to programming class, as the course title suggests. It is incredibly hard. Be ready to bookmark ChatGPT because there is no way a human brain could tackle these problems.",5.0,4.0,"Lots of homework, Accessible outside class",ECE118,True,non mandatory,A,-1,0,0
2023-03-09,Dr. John is amazing. ,5.0,3.0,"Inspirational, Respected, Accessible outside class",ECE482,True,non mandatory,,-1,0,0
2022-12-15,Excellent,5.0,3.0,"Gives good feedback, Inspirational, Caring",EEN218,True,non mandatory,,-1,0,0
2022-12-13,We love Papa John!,5.0,3.0,"EXTRA CREDIT, Amazing lectures, Inspirational",ECE316,True,non mandatory,A,-1,0,0
2022-10-30,Great,5.0,5.0,,ECE316,True,N,,0,0,0
2022-09-20,His email doesn't work unfortunately but he compensates with great hair. ,5.0,1.0,,ECE676,True,non mandatory,A+,-1,0,0
2022-09-20,He's a great professor,5.0,2.0,"EXTRA CREDIT, Lots of homework, Caring",ECE118,False,,A,,0,0
2022-09-20,Learned a lot from him. He is the father of electrical and computer engineering. He has great hair,5.0,5.0,,EEN576,True,non mandatory,A-,-1,0,0
2022-09-14,He was like a father to me,5.0,5.0,,ECE470,True,N,,0,0,0
2022-09-06,Tough class,5.0,5.0,"Graded by few things, Lecture heavy, Lots of homework",EEN218,True,Y,,0,0,0
2022-09-06,"Projects can be a bit of work especially in senior year, but Dr. John is a great professor. Relatively easy to get an A if you put in the work.",5.0,3.0,"Caring, Respected, Accessible outside class",ECE470,True,N,,0,0,0
2022-09-06,Dr. John knows what he is talking about. Projects are incredibly useful. ,5.0,4.0,"Group projects, Clear grading criteria, Gives good feedback",ECE470,True,non mandatory,A,-1,0,0
2020-07-24,Not available for help after class. He hasn't answered my email that I sent on the first day of the semester... kinda awkward.,2.0,4.0,,EEN218,True,non mandatory,A-,0,0,0
2020-07-24,I dropped my will to take this class mid-semester. He assigns the most random and obscure assignments. He's also weirdly obsessed with his iPad that doesn't even have the right date and time programmed on it(interesting because he's a computer engineer). Absolute chaos. Definitely will diminish your passion for computer/software engineering.,1.0,4.0,,ECE100,True,non mandatory,A,0,1,0
2020-07-24,Dr. John made my interest non-existent. Students would leave and he wouldn't even notice because all he does is talk. We would take a break so that he could hydrate his mouth and resume his nonstop talking. Avoid him like the plague. His class is so boring that the whole class turns their cameras off to ram their heads into the edge of their table,1.0,4.0,,ECE100,True,non mandatory,A,0,0,0
2019-12-12,"One of the best professors at the University of Miami hands down. Gives highly relevant coursework. The final was both engaging and challenging. Assignments aren't terribly difficult, but you must put in the work. Not a tough grader. You learn a lot in Dr. John's class. He makes engineering fun to learn. I'd recommend him every semester.",5.0,2.0,"Gives good feedback, Accessible outside class, Hilarious",ECE676,True,non mandatory,A,0,0,0
2018-12-06,Dr. John is a great professor but the topics he teaches are very difficult so be ready to be challenged. He also explains the concepts very well and he has a good amount of office hours so take advantage and go visit him. He really care about ensuring his students pass.,5.0,5.0,"ACCESSIBLE OUTSIDE CLASS, Caring",EEN312,True,,,0,0,0
2018-09-25,"Could be the worst professor I've ever had. He doesn't teach to the labs, which are almost all of your grade, and the whole class is unorganized. TA's were no help either.",1.0,5.0,LOTS OF HOMEWORK,EEN218,True,non mandatory,B,0,0,0
2017-05-16,"He's a difficult teacher, but then again, the all of the courses he teaches are difficult topics. He's an incredibly nice person though, and will help you out, but you have to put in the work. His tests are really hard, but he curves generously. He's not out to get you.",5.0,4.0,"Respected, ACCESSIBLE OUTSIDE CLASS, Caring",EEN576,True,non mandatory,B+,5,0,1
2015-05-23,"Microprocessor was the hardest class I have taken at UM. He rambles in class and uses slides he did not prepare himself. I understand it was his first semester teaching the class, but most people have no clear picture of what we were supposed to learn. He seemed as lost as the students. The lab was very difficult as well. ",1.0,5.0,,EEN312,True,,,5,2,1
2015-05-13," For me, he is the best teacher in the computer engineering department. Very kind person. Surely,his subject is difficult. It is easy to get lost while the lecture. if you take good notes they will help you on exam.I am international student and I didnt even had any problems understanding him. Fortunately he curves which gives you chance to pass",5.0,3.0,,EEN312,True,non mandatory,C,4,2,2
2015-04-20,"Horrible, horrible professor. His tests hardly reflect what little he teaches. He assigns the labs before you know how to do them. I would avoid all classes with Dr. John. Just horrendous. ",1.0,4.0,,312,True,non mandatory,B-,5,5,1
2013-11-02,He's really horrible at trying to explain/teach anything.,1.0,4.0,,EEN218,False,,,1,4,1
2013-10-30,Confusing thought process. Can't take notes with this thought process.  It's nearly impossible. Doesn't answer questions about either the test or the labs.  Switch to Murrell if you can. Also doesn't curve even though the average test grade was a 52.,1.0,4.0,,EEN218,False,Y,A-,1,1,0
