Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-02-05,"Drop class right away, Professor creates an unwelcoming classroom environment and exhibits behavior that undermines a respectful and productive learning environment. Responses frequently come across as impatient or demeaning, which makes participation uncomfortable intimidating. Success depends on enduring the attitude, not learning the material.",1.0,5.0,,IEN201,True,mandatory,,3,0,0
2025-08-26,"The goat. She convinced me to do ISE, and I have no regrets. IEN201 is very chill. As long as you go to class, you'll be fine. ",5.0,1.0,"Clear grading criteria, Gives good feedback, Caring",IEN201,True,mandatory,A+,-1,0,0
2025-02-04,"alumni said this class was helpful in their job read the chapters; not long and helped me ace every homework and exam. such a well put together class, not really accessible for too long outside of class. group project is excel heavy but very similar to another assignment she gives beforehand. one time class got a bad grade she let them retake it",5.0,4.0,"Group projects, Lots of homework, Test heavy",IEN201,True,mandatory,A+,3,0,0
2021-05-01,She's a really great teacher and its clear what she expects from you. The class is a lot of work but everything is graded really easily and the tests are not very difficult. She gives a lot of partial credit. Great class overall,5.0,3.0,"Lots of homework, Group projects, Clear grading criteria",IEN201,True,mandatory,A,5,0,0
2020-01-05,This is a more difficult class for me. The tests are questions from the end of chapter problems and go see her in office hours because she will give you points back on homework.,3.0,4.0,Accessible outside class,IEN380,True,mandatory,A,5,0,0
2018-12-16,"You have to be in groups for this class so make sure you know how to communicate with them. The tests are basically the homework/review guide with a couple of questions about the powerpoints. You don't have to show up to class but she doesn't post the powerpoints online so it definitely helps to go to class. She only gives flat grades so A, B, or C",4.0,3.0,"Respected, Skip class? You won't pass., GROUP PROJECTS",IEN201,True,mandatory,A,5,0,0
2018-04-11,"My first time having her as a professor, she's not entirely like what everyone saying. It's not hard to get on her good side, being a hard worker obviously helps. Don't be afraid to go to her and ask questions, she can be vague at times but its because she wants you to be able to choose what information you think is important enough to include.",4.0,3.0,"Gives good feedback, GROUP PROJECTS",IEN201,True,mandatory,A-,5,0,0
2018-01-03,Conveys the information you need. Textbook helps but she provides her powerpoints and some in-class problems so if you study the notes and pay attention you can probably save the $. Expects you to go to her office hours. She can be rude but it's important to get on her good side as IEs will have her for many classes. Do your work and be patient.,3.0,3.0,"Tough Grader, Participation matters, Tests are tough",IEN380,True,mandatory,B,5,0,0
2017-04-28,"I've had her for 4 classes so far, and I've had A's in every other IEN course except for 361. She's frustrating,  and her mood swings. She is sometimes vague on exams and assignments . Granted, it's not impossible to get an A, but now that exams are closed notes it's far harder. She doesn't dislike me, but she's been pretty rude to my classmates.",2.0,4.0,"Skip class? You won't pass., GROUP PROJECTS, LECTURE HEAVY",IEN361,True,mandatory,B,0,0,0
2015-02-24,"Easy grader, tests are easy and open note sometimes. Often ends lectures short, like 20-30 mins short. 3 tests, no final, weekly-ish quizzes, and 3-4 Minitab assignments. Very funny teacher, puts herself on the same level as her students which is what makes the class",5.0,2.0,,IEN311,True,,Not sure yet,1,0,0
2014-10-18,"She's a great teacher, knows a lot about the subject. More than just teaching, she gives experience because she was on the field for years. Sometimes she can be rude and offensive, but on other times she can be nice if you're a good student. Do not cheat or come off as a bad student, you will suffer..",3.0,4.0,,IEN380,True,,,5,0,0
2014-05-29,"She's a great teacher and her class was a delight. She may come of as rude. But if you work hard and don't goof of in class, she'll be very enjoyable. Class wasn't really hard, but I definitely learned a lot and reassured my decision to be an Industrial Engineer. Very helpful in office hours as well. I would definitely recommend her for any class.",5.0,2.0,,IEN201,False,N,A,4,0,0
2014-02-10,"Everyone says she is really nice on here, but she is rude.  Everyone tries to be nice to her, but she is just mean anyways.  She kind of sucks.  Not a bad teacher, but during office hours she is on her phone and does not seem like she cares about you.",2.0,3.0,,IEN201,False,N,,3,1,0
2013-09-17,Great Professor!! Enjoyed all four classes I took with her,4.0,2.0,,IEN380,False,Y,A,1,0,0
2013-05-13,Dr. M is very nice and helpful. She doesn't lecture everything covered in HW. The best way to study for exams is to review ALL HW problems. Her practice exams are misleading. Exams are straight forward. Great professor and wiling to help.,4.0,2.0,,IEN201,False,,,5,0,0
2012-04-14,great teacher pretty easy and explains things well. 2 exams worth 25% each and 1 project worth 30% and hw is 20%,5.0,2.0,,IEN201,False,,,5,0,0
2011-06-10,awesome,5.0,1.0,,IEN361,False,,,5,0,0
2009-12-08,"Dr. Miville is a great teacher and she was always willing to help her students out. Her homework assignments are harder than the tests but she's very willing to help on them. 3 tests, no final, and 4 homework assignments",5.0,3.0,,IEN380,False,,,4,0,0
2009-05-05,Awesome teacher...tests are all open note and she gives you formula sheets and review tests...I aced all of the tests and she offers extra credit the class before the tests for doing problems...highly recommend..nice lady,5.0,1.0,,IEN311,False,,,2,0,1
2009-01-27,No Comments,4.0,1.0,,IEN311,False,,,4,0,0
2007-05-09,"There are three tests, a case study, and a final.  All tests are open book, open notes.  Your lowest test is dropped.  Easy class.  She posts chapter outlines that you fill in during class.  I highly recommend her.  Attendance is not mandatory.",4.0,1.0,,IEN311,False,,,4,0,0
