Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-02-19,"An impressively chaotic individual masquerading as a professor. Apparently, having one's life in order and maintaining a consistent class schedule are optional professional standards in his world. ",1.0,3.0,Beware of pop quizzes,IEN441,True,mandatory,A-,3,0,0
2024-01-11,"The course was excellent, and the instructor was outstanding. I would take any other course taught by this instructor.",5.0,4.0,"Tough grader, Participation matters, EXTRA CREDIT",IEN441,True,non mandatory,A,-1,0,0
2023-12-12,He's an ok lecturer but also a terrible person. He's cancelled class 10 minutes before it started and has taken points off HW from students that came into class 1 minute late. Exams are reasonable for the difficulty of the class and there's a cheat sheet. The HW and final project are very long. Best tip I can give is to never believe what he says. ,2.0,4.0,"Tough grader, Lots of homework, Beware of pop quizzes",IEN441,True,non mandatory,,-1,1,0
2023-01-20,great course overall! one of the best teachers I had!,5.0,3.0,"Group projects, Gives good feedback, Beware of pop quizzes",IEN441,True,non mandatory,A,-1,0,0
2022-04-18,Very intelligent and willing to help if you ask.,5.0,3.0,,IEN441,True,non mandatory,A+,-1,0,0
2021-08-26,"Great teacher, knows the area very well. one of the best courses I took at UM.",5.0,3.0,"Gives good feedback, Lots of homework, Amazing lectures",IEN441,True,non mandatory,A,0,0,0
2018-03-12,"he is one of the best in the department, the project is very helpful to learn the material, the extra handouts are great too, always available after class.",5.0,3.0,"Gives good feedback, Inspirational, ACCESSIBLE OUTSIDE CLASS",IEN441,True,non mandatory,A-,0,1,0
2017-12-27,"lots of assignments , great teacher, lots of office hours",5.0,3.0,"Tough Grader, LOTS OF HOMEWORK, Amazing lectures",IEN441,True,non mandatory,A-,0,0,0
2017-12-11,Has very little control of the classroom and does not have the respect of the students. In office hours he seems like he does not want to deal with any simple problems. Not compliant with disability services. The material is semi-straight forward but he is abysmal at teaching it.,1.0,4.0,Tough Grader,IEN441,True,mandatory,C,0,0,1
2016-12-02,"Very nice guy, always willing to help out in office hours and wants the students to do well.",4.0,2.0,"Caring, EXTRA CREDIT, GROUP PROJECTS",IEN441,True,mandatory,,5,0,0
2016-02-23,"nice and  patient, clear lectures,  very organized power points",5.0,3.0,,IEN441,True,mandatory,A-,3,1,0
2016-01-13,"He's not the best teacher I had, but he wasn't the worst. The class wasn't the easiest, but it certainly wasn't the hardest. He was kind of help, but not the most helpful. Honestly, this wasn't the best experience, but it certainly wasn't the worst. He is just a really middle-of-the-pack teacher. You won't love him, but you won't hate him.",3.0,3.0,,IEN441,True,,B,2,0,1
2015-12-21,"After his class I feel super powerful; I can model any real life optimization problem. Cares a lot for his students, listens, has long office hours, answers emails instantly, tells you exactly how to succeed, uploads a lot of helpful information. Gives six 2hr HWs, a long group project, and 3 exams. If you can, take him. Won't regret.",5.0,2.0,,IEN441,True,non mandatory,A,2,4,0
