Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2014-12-16,"Just follow the class material and you will be fine. I've taken EEN305 and now I will go on EEN306. Best professor I've ever had. A lot of homeworks were given (but each one had a special reason, a special problem that makes you think about what electronics stand for. The final project consisted on build a power source and a learned a lot from it. ",4.0,3.0,,EEN305,True,non mandatory,A+,5,0,0
2014-12-16,"Funny and brilliant guy, but he gets frustrated when people don't understand things. The homework is very hard without Chegg. It is essential that you fight for points back on the tests! He slashes points left and right and gives them back to those who care enough to talk to him about it.",2.0,4.0,,EEN201,True,,,5,1,0
2014-04-21,"Great teacher. Some people hate him because he's a bit of a hardass and rough around the edges, but he genuinely cares about his students and is an excellent lecturer who delivers the material very well. I learned a lot in his class and dare I say even enjoyed it!",4.0,4.0,,EEN305,False,Y,,3,0,0
2013-09-25,Great professor. Great approach to teaching!,5.0,3.0,,EEN305,False,,,4,0,0
2013-04-29,"Helpful, Nice and gives good notes, but has moods, don't bother him on a bad day.",3.0,3.0,,EEN305,False,,,3,1,0
2011-04-22,Great teacher but I would highly recommend reading the book. His tests aren't all that easy but he's willing to explain. The practice tests help.,4.0,3.0,,EEN205,False,,,1,0,0
2009-09-14,"Cool guy, ask him questions OUTSIDE of class, he'll give a much better answer then. HOT.",4.0,4.0,,EEN306,False,,,3,0,0
2008-10-22,"Dr. Lask is AMAZING.  He is SO helpful and friendly, and he really cares about his students.  One of the few professors whose goal is NOT to weed students out of engineering.  You won't regret taking classes with him.",5.0,2.0,,EEN112,False,,,1,0,0
2007-07-24,"His accent was difficult for me to understand, and I felt like I didn't follow the material from day one.  Make sure that you really know your Electronics I material.",1.0,5.0,,EEN306,False,,,2,0,1
2005-10-22,Awesome teacher... LOVE his accent. :-),4.0,2.0,,EEN306,False,,,,0,0
2005-08-24,Great guy...loves to talk to students in &quot;his office&quot; aka outdoors with a cigarette in hand.,4.0,3.0,,EEN205,False,,,,1,0
2005-04-20,Wonderful teacher who goes out of his way for each individual student.,5.0,3.0,,EEN,False,,,,0,0
2003-07-28,awesome teacher,5.0,4.0,,ENG306,False,,,,0,0
2003-02-18,Fantastic Professor.  Honestly  cares about students.,5.0,3.0,,EEN516,False,,,,0,0
2003-02-16,One of the best. Very knowledgeable and genuinely cares for the learning process,5.0,5.0,,DIGITAL,False,,,,0,0
