Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2015-01-21,"I had the chance to take Prof. Zulueta's class for Humanities and it was great! He's very funny and keeps the class very entertained. No text book needed, EVERYTHING you need to study is on powerpoints, and no assignments just exams. To pass this class you must show up and you MUST study. Like it's an absolute must. Wish I could take him again.",5.0,4.0,,HUM1020,True,mandatory,,1,0,0
2014-12-14,"I had him for HUM1020 this semester at Miami Dade College. No textbook, only powerpoints, and tells you EXACTLY what you need to know for the three exams. No homework. Just study well!",5.0,4.0,,HUM1020,True,mandatory,A,1,2,3
2014-07-10,"My favorite teacher at UM.  I learned so much in this international cinema history course!  He applies a lot of cultural and historical references when unpacking the films.  He taught me to analyze production, distribution and directorial language styles.  Great class!  He is very fair and expects attendance and participation in class.",5.0,3.0,,CMP205,False,Y,,1,0,0
2014-06-09,Amazing professor!  Learned so much about cinema studies.  He is very charismatic and extremely well prepared.  Has a great sense of humor but does not like slackers.  If you are really interested in film he is the most amazing teacher.  Think of it as an honors level course.  Attendance and participation count so make sure you can attend.,5.0,4.0,,CMP205,False,,,1,0,0
2014-04-22,"Attendance extr mandatory and be punctual. Good class, learned a lot, participation counts. Reads off powerpoints and puts them up 5 days before test. I took notes. 50 multiple choice. Just read the ppts is enough. One essay about one film maybe a group film presentation.  Pop quizzes but they dont really change ur grade. Recommended.",5.0,3.0,,CMP204AND205,False,,,1,0,0
2014-01-14,Class was super interesting!  Packed with great information.  I definitely learned a lot.  Teacher is fun and very knowledgeable.  I took this class with another teacher and had to drop it!!  He is  so much more engaging and available.  Only thing is attendance is mandatory and doesn't like excuses for late work.,5.0,3.0,,CMP204,False,Y,A,5,0,0
2013-12-02,"Very nice professor, always prepared for class. His lectures are power points and he basically reads right off of them. So if you want a more engaging class, I wouldn't suggest this one. Strict with coming to class & being punctual. Interesting material but the professor doesn't do a very good job at keeping students interested.",4.0,2.0,,CMP204,False,Y,Not_Sure_Yet,1,1,0
2013-05-12,Amazing professor!  I learned so much about film history!  This was by far my favorite class at UM.  He actually teaches you to think critically about film.  I wish all my film classes were taught by Prof. Zulueta.,5.0,4.0,,CMP205,False,,,3,0,0
2012-12-18,Great teacher!  Extremely prepared for class.  Great powerpoints with film clips embedded that he prepares for class.  I usually don't like lectures but his were very engaging!  I loved the class!  He is extremely fair but doesn't like excuses about attendance or turning in assignments on time.  If you do the work and come to class - you'll ace it.,5.0,3.0,,CMP204,False,,,3,0,0
2011-02-07,Hands down the best class I've ever taken at UM.  Teacher was really passionate about art and his expertise was really inspirational.  I recommend him to anyone who wants to learn more than just technicalities about B/W photography.  The critics were really engaging and fun.  I loved it! (plus he's cute).,5.0,3.0,,ART210,False,,,3,0,0
