Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2012-03-23,"He treats this course like it is for CIS majors. Sooooo boring and what he teaches in class has nothing to do with the giant project. Exam questions are very specific and pointless. 4 exams, 2 quizzes online PER WEEK, huge access database building project, and more. I'm an econ major with 3.94 GPA and dropped because of the time commitment",3.0,5.0,,CIS410,False,,,5,0,0
2011-11-14,"Grauer is terrible. He makes you do a HUGE project that no other cis410 professor has just because he's obsessed with access (which has nothing to do what the class is supposed to teach). He's rude, unsympathetic, and unwilling to help students. AVOID",1.0,5.0,,CIS410,False,,,1,0,0
2011-11-03,"While he's wasting my time in this class by talking about irrelevant information the whole time, I'll just review him on Rate My Professor until he gives me something worthwhile to pay attention to.",1.0,3.0,,CIS410,False,,,1,0,1
2011-11-03,Mandatory attendance in the most pointless class you will ever take.  He talks all about Access and Excel for the entire class which you won't even be tested on.  He's incredibly disrespectful to students and mandatory attendance sucks in a class that is so pointless.  The project takes up a ton of time and he's super picky about grading it.,1.0,3.0,,CIS410,False,,,1,0,0
2011-11-03,This guy is the worst.  He NEVER teaches relevant material to the tests and only rambles on about stuff he added to the curriculum that he shouldn't be teaching in the first place.  He's obsessed with Access and makes us do a project that curriculum DOES NOT REQUIRE and the class is a huge waste of time.  He's also extremely rude to students. AVOID,1.0,3.0,,CIS410,False,,,1,0,0
2011-04-06,"Word around campus, for some reason, is that he is the best professor to take for this course.  Although I do not have the experience of taking this class with other professors, I would not have taken this course with him if I had the gift of hindsight.  His exam questions can be deceptive.  If you are seeking an A, don't expect to earn it easily.",5.0,4.0,,CIS410,False,,,1,0,0
2008-11-27,"I'm not quite sure what the people below are thinking...this guy is a complete loser. The class is terrible, he is condescending, and his projects are ridiculously worthless. I would NOT recommend taking him for CIS, find someone else! His blackboard quizzes are a joke; this is arguably the worst class I have taken in my 4 years at UM.",1.0,4.0,,CIS1,False,,,1,0,0
2008-11-06,He is man. Very helpful and really cares that everyone understands everything.,4.0,3.0,,CISJ,False,,,1,0,0
2008-04-07,"This guy is on top of his game. Very organized, class is easy and yet useful, can be boring because of the material but he does a great job. Understanding guy. One of the best teachers Ive had",5.0,1.0,,CIS410,False,,,1,0,0
2007-12-06,"Grauer is a great guy and an awesome teacher. If you pay attention and go to class (attendence is graded) then you can do well in the class and also learn how to use Microsoft access and excel. There are two projects which can take a bit of time, but he is willing to help you through them. Highly recommended.",4.0,2.0,,CIS410,False,,,1,0,0
2007-06-03,Great professor. classes can be broing. they are two project which are really fun to do. tests are really easy consists of 50 m/c. you don't need the book. attendance is not mandatory but he do take attendance from time to time which is 10% of your grade.,5.0,1.0,,CIS410,False,,,1,0,0
2007-05-17,"He is a really great professor. He focuses primarily on Access and Excel, which the other CIS professors do not teach. If you actually want to learn anything about CIS, take his class.",5.0,3.0,,CIS410,False,,,1,0,0
2006-04-12,tests are easy. three projects though.,4.0,3.0,,CIS410,False,,,,0,0
2005-09-06,No Comments,5.0,3.0,,CIS120,False,,,,0,0
2005-04-07,I would highly recommend not taking him.  Try one of the other professors.  He is unpleasant and condescending.  He makes the class much more complicated than it needs to be.,2.0,3.0,,CIS120,False,,,,0,0
