Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-03-30,average was like a 30 something bro could not teach,1.0,5.0,"Tough grader, Lots of homework, Test heavy",ECE201,True,non mandatory,D,-1,0,0
2026-03-18,DO NOT TAKE HIM! You have been warned. Start praying if you do have him ,1.0,5.0,"Tough grader, Test heavy, Graded by few things",EEN308,True,mandatory,F,-1,0,0
2025-04-12,"STAY AWAY FROM THIS PROFESSOR AT ALL COSTS. Take it a semester or even a year later if you must. He will fail you and half the class with no remorse or sympathy at all. He is, single-handedly, the worst professor I have had, and I am shocked that he is still allowed to teach, given the number of people he fails. The past reviews are not lying!!!!",1.0,5.0,"Tough grader, Group projects, Lots of homework",ECE201,True,mandatory,Rather not say,3,2,1
2025-04-01,"This professor is the worst professor I have ever had. He has genuinely ruined my life. The average test grades in his class range around 40%, yet he offers no curve. Please please please try to avoid him. Take it next semester if you must.",1.0,5.0,,ECE201,True,mandatory,Not sure yet,3,1,1
2021-12-22,"Do not take a class with this professor under any circumstances. He is extremely disrespectful to students and generally impatient and rude when asking for help. He fails half the class no matter how hard students try. Unless you want your life to be consumed by a single class, I would wait a semester and take Murthi instead.",1.0,5.0,"Lots of homework, Test heavy, Lecture heavy",ECE308,True,non mandatory,B-,0,2,0
2017-02-21,"Be ready to put in a lot of effort for the class. Reporting requirements are IEEE style paper. 7 two week project. And it will be an amazing journey. It is not difficult, specially with no tests. But the projects are creative, you will learn a lot, A LOOOT. Best course taken so far. *had 3 years of image processing experience, though in diff domain",5.0,5.0,"Tough Grader, Gives good feedback, LECTURE HEAVY",EEN638,True,non mandatory,A,0,2,2
2016-08-28,"five or 6 two weeks projects and 2 four weeks projects. If you take only one course a semester, this makes you feel 3 courses. If you want to get rest and learn something by yourselves, do not maltreat yourselves and drop this course.",4.0,5.0,"Tough Grader, LOTS OF HOMEWORK, LECTURE HEAVY",ECE638,True,mandatory,C+,0,2,0
2016-04-12,Not clear on any of the material. His tests do not reflect what he goes over in class. He purposely tries to trick you whenever he can. Doesn't feel any remorse in failing a student no matter how hard they try. DO NOT TAKE AND WAIT FOR MURTHI TO TEACH IT.,1.0,5.0,,EEN308,True,non mandatory,B,1,0,0
2014-01-30,"Being a graduate level class, the difficulty level was normal. No midterms no final, so definitely have to start early on the assignments and projects. To get a good grade needs a high level of effort and interest though.  He wants the students to understand the material in the class which may be hard for some (depends on your background).",5.0,2.0,,EEN638,False,Y,A,3,3,2
2013-05-06,Terrible Professor. It is worth it to wait a semester and take it with Murthi. He is the only engineering teacher I have had that does not care one bit if he fails half the class. Which he did.,1.0,5.0,,EEN3,False,,,1,2,1
2012-06-05,"Class is very difficult, but not impossible. He grades based on effort and understanding. If you put in the time for homework, you'll do fine on the tests. Start early, because he is rarely in his office for support, as he travels frequently. Overall a great professor, but he expects a lot from the students.",4.0,4.0,,EEN336,False,,,4,0,3
2012-05-04,"Loads up powerpoints with general equations, sometimes so many that you cant tell what goes with what. Does not do any concrete examples, does not work things out in class. Expects you to be able to do everything on your own. Get it the first time he goes over it or figure it out on your own. Don't bother asking to go through ""simple algebra""",2.0,5.0,,EEN336,False,,,1,2,0
2010-10-13,"His exams weren't tough but he didn't prepare us well enough to do good on them. He did not teach the material well. He expects you to just know stuff. The highest score out of 100 was like a 25. he is very hard on partial credit.  He did curve at the end, but not knowing EEN336 will only haunt u for EEN436. my advice: take Murthi instead.",2.0,5.0,,EEN336,False,,,2,2,0
2010-05-05,"Bad news. He did not follow his own syllabus. we were supposed to have three exams during the semester. He only gave us one then gave a make up exam because the grades were so low, then never proceeded to grade the make up. Tests are very hard because you do not have enough experience working through examples and seeing what actual answers are.",2.0,5.0,,EEN336,False,,,2,0,0
2008-07-21,"He is not a fair prof. Your grade is base on if he likes you or not. The exam and homework are very hard, and again your grade doesn't depend on what you do on the papers.",2.0,5.0,,EEN538,False,,,1,0,0
