Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-02-24,"I had a good time with Professor Wuchty. His lectures were a bit dry at first but I grew to really like them. Lectures mix basic notes with great examples. He tries his best to make jokes and make it fun. Come to class, answer questions, do the work and I promise you will do just fine. For how hard Java is, Professor Wuchty makes it quite easy.",3.0,2.0,"Lecture heavy, Graded by few things",CSC120,True,non mandatory,A+,3,0,0
2025-05-14,"The professor didn't show care for the class, and that reflected in dismal attendance numbers. Notes are taken from another professor (not even his), and could be more engaging. Study exam-style questions on each note page for exams, and you will be fine. Lab tasks and assignments can be hard and you don't really get feedback, so reach out to TAs. ",2.0,3.0,"Lots of homework, Lecture heavy, Test heavy",CSC322,True,non mandatory,A+,-1,0,0
2024-05-13,Lectures were just pre-written notes that the professor reads. Very strict with grading code if you have any errors you will get a zero. I never got emailed back. Not the worst CS class but could have been better and more engaging.,2.0,4.0,"Tough grader, Lecture heavy",CSC322,True,non mandatory,Not sure yet,-1,0,0
2023-12-10,"the TA's grade everything, and it's impossible to access them outside of class. Emailing him is useless, he doesnt reply, and he shows almost no care for the class. TA's don't even run the labs, they just look at them and grade based on their opinions of good and bad. Not the worst class for CS, but with no care from the Prof it seems useless",3.0,3.0,"Tough grader, Test heavy",CSC322,True,non mandatory,Not sure yet,-1,0,0
2023-12-05,I do believe what you put into this class you will get out. This professor is clear and takes his time answering your ,5.0,3.0,"Amazing lectures, Lecture heavy, Accessible outside class",CSC322,True,non mandatory,B,-1,0,0
2023-12-04,"The class itself isn't hard, but Wuchty makes it difficult. The lecture notes aren't even his, they're Sutcliffe and Dellis's. Class average was a 50 for the midterm, whole average banks on labs and 2 projects. Impossible to pay attention in class, just teach yourself. Not the worst class, but not very intriguing at all, unfortunate it's mandatory.",2.0,3.0,"Test heavy, Graded by few things, Accessible outside class",CSC322,True,non mandatory,A-,-1,0,0
2022-05-19,"If you get Wuchty for CSC 322, good luck. Lectures are incredibly boring, he just reads pre-written notes. EVERYONE WILL FAIL THE MIDTERM HE DOES THIS EVERY YEAR(he'll tell you its multiple choice, but its actually short answer). Overall, he makes the class incredibly boring and his exams are unnecessarily difficult. Go to TA office hours to learn.",1.0,4.0,"Tough grader, Lecture heavy",CSC322,True,non mandatory,A-,-1,0,0
2022-05-18,"For the first half of him trying to teach us UNIX he taught us concepts of the tc shell language, but the assignments were done in a different shell language, bash. The first midterm had an average grade of a 50%, he doesn't care enough to learn the names of the 20% of class that decides to show up for his lectures. Please go to the TA office hours",2.0,3.0,Graded by few things,CSC322,True,mandatory,A,-1,0,0
2022-05-13,"Very boring teacher, which is unfortunate since it is crucial to pay attention in class. Exams are tough and study guides should not be the only thing you study. Go over the powerpoints. The weekly codes are very strict and if there is even one compiling warning the entire assignment is a 0. Would not take again. ",1.0,4.0,Lecture heavy,CSC322,True,mandatory,B+,-1,0,0
2021-12-14,"Not the most interesting or engaging class but not terrible. He uses TopHat to make attendance mandatory, but the questions are pretty straight forward. Office hours with the TA are extremely helpful. Short midterm and noncumulative final. Wuchty is a great guy and very knowledgeable and accessible outside of class. Just pretty boring unfortunately",4.0,3.0,Lecture heavy,CSC322,True,mandatory,,0,0,0
2019-12-10,"Wuchty is kind and very smart! Issue is, he doesn't move from his chair at all and goes over a page of minimal notes for every class. You can tell he's not engaged so his students aren't either. Overall, not the worst CSC class I've taken but extremely monotonous.",2.0,3.0,Graded by few things,CSC322,True,non mandatory,,0,0,0
2016-10-28,"Great teacher. 317 is algorithms and no programming which can be challenging but his slides are available online and so is the textbook, both are helpful. 401 is 4 programs related to the 317 course content which you write on your own.",5.0,4.0,"Respected, ACCESSIBLE OUTSIDE CLASS",CSC317CSC401,True,non mandatory,A-,5,0,0
2016-10-28,My favorite CSC teacher so far. Lectures can be helpful if you pay attention but attendance isn't mandatory and all his notes and examples are posted on his website. Tests and homework are fair. Some semesters he does a large final project which is challenging and time consuming but overall a good class.,5.0,4.0,"ACCESSIBLE OUTSIDE CLASS, Caring",CSC322,True,non mandatory,A-,5,0,1
2016-06-25,plz use whiteboard,3.0,3.0,,CSC317,True,,,5,1,1
2015-01-02,"The class is tedious, but how could it not be? The nature of coding in C is that it is nit picky, and the same can be said for Unix commands. For the few complex questions you have, just go talk to him, he will gladly help with anything. ",3.0,4.0,,CSC322,True,non mandatory,A-,1,1,1
2014-11-13,"Nice professor, easy tests, non cumulative finals. Everything that he says on class is on his website.",4.0,1.0,,CSC322,True,non mandatory,A+,3,0,1
2014-11-11,"Cool guy, his lectures can get pretty boring, but he explains things very well and makes sure the class understands the material before moving on. Tests are doable as long as you study, and most of the assignments can be done within a couple of hours",5.0,1.0,,CSC322,True,,,1,0,1
2014-11-11,"Very nice guy, who means well. But the class itself is pretty tedious -- lots of example code, lots of straight up reading G. Sutcliffe's pre-written notes ... it can be tough to pay attention. Lab tasks aren't too bad, I usually did them in just a few hours. If you need help, he'll be there for you and encourages class participation and questions.",3.0,2.0,,CSC322,True,,,1,1,1
2014-11-03,"Has all of his lecture notes and examples of code online, and spends class reading through them and walking you through the code.  Not the most interesting lectures, but he gives thorough explanations and it's easy to reference the notes later.   Gives small assignments every week or two, they're not too difficult.   Friendly! Would take again!",4.0,2.0,,CSC322,True,mandatory,A+,1,1,0
2014-08-12,"very nice guy. hard to understand. repeats himself. does not per se teach, but simply goes over the online book in class by reading it aloud. it was disheartening how bad this class was",1.0,4.0,,CSC322,False,Y,Drop/Withdrawal,2,1,0
