Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-05-30,wait a sem and take it with burt rosenberg ,2.0,5.0,"Get ready to read, Inspirational, Graded by few things",CSC421,True,non mandatory,Audit/No Grade,-1,0,0
2026-01-28,"Murrell should be banned from the ECE department! He doesn't teach. He just throws material at students, expecting them to already know the concepts behind it. IF on the rare occasion that he does give instructions, they are laughably bad. He tends to overcomplicate things to make it harder for students to cheat which just ends of backfiring.",1.0,5.0,,ECE118,True,mandatory,B-,-1,0,0
2026-01-22,This class was all over the place. Grading is very harsh and the assignments were one of the most difficult and hardest parts of the class. The class is split into 50% assignments and 50% exams. The exams were difficult as well. The professor also is a late replier and late grader. You're always on the fence of failing/passing. I do NOT recommend. ,1.0,5.0,Tough grader,ECE318,True,mandatory,F,-1,0,0
2025-12-23,"This course was painfully disorganized. Lectures were unclear, key concepts were skipped, and questions were met with impatience. Grading was excessively harsh and inconsistent, with vague feedback and no clear rubrics. Office hours offered little help. It felt designed to frustrate, not teach. Avoid if you value clarity or fairness. Choose wisely.",1.0,5.0,"Tough grader, Test heavy, Graded by few things",ECE318,True,mandatory,F,-1,1,0
2025-12-18,"This class is 50% assignments and 50% exams. While my assignments were completed on time, most were graded after the semester ended, leaving no opportunity to resubmit them, so I ended up getting a low grade on most. Grading was very harsh. Midterms were reasonable, but the final was significantly harder and very different in style. Be prepared.",1.0,5.0,"Tough grader, Lots of homework, Lecture heavy",ECE318,True,mandatory,Rather not say,-1,1,0
2025-12-03,"Very passionate but not the best lecturer. Course is basically completely self taught through the weekly labs, his exams are basically identical every year/ to practice exams. Grades on labs and exams vary wildly on the TA grading it",3.0,3.0,"Tough grader, Respected, Graded by few things",ECE118,True,mandatory,C-,-1,0,0
2025-08-19,"He is an amazing person, but not a good teacher. He uses different software for every lab, making it confusing how to use it. I spend about 8-10 hours on each lab each week and struggle to get them completed. I wish this course was not required, since I would drop it in a heartbeat. Even still its not too bad",3.0,4.0,"Lots of homework, Lecture heavy",ECE118,True,mandatory,B-,-1,1,0
2025-05-14,"His classes are kind of boring. The labs are very confusing. The exams were different from the practice exams he gave us to study. The only perk about him is that he cares about the material and explains everything in depth, but it's easy to lose focus considering how boring it is.",3.0,4.0,"Lots of homework, Lecture heavy, Test heavy",ECE218,True,mandatory,C-,-1,1,0
2025-05-07,Do yourself a favor and do not take this class. ,1.0,5.0,"Tough grader, Lots of homework, Graded by few things",CSC421,True,mandatory,Not sure yet,-1,1,0
2024-12-30,"Do not underestimate this class. Even if you have coded before, you probably will struggle. The only way to learn from this class is from the labs and ChatGPT. Ask ChatGPT to explain concepts and the code he does in class. On the tests, there's only 3 questions. Focus and only do 2 Q's, save 1 question for the final. It will save you a lot of time.",3.0,5.0,"Graded by few things, Accessible outside class",ECE118,True,mandatory,A,-1,0,0
2024-12-14,"The first two classes I had with him were 118 and 218, which were actually decent. However, after he realized that his whole class was using ChatGPT because of how horrible his lectures were, he decided to hand write everything, and make the assignments + exams unnecessarily difficult. Super unorganized, inconvenient office hours. Be careful.   ",1.0,5.0,Test heavy,ECE318,True,mandatory,B,-1,0,0
