Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-03-24,"Very dry, rigid and obsolete teaching, 
I strongly don't recommend taking him.",1.0,5.0,Test heavy,CSC545,True,non mandatory,A,-1,0,0
2024-12-12,"This class is pretty difficult and there is no curve, but the grading is fairly lenient. I did learn a lot and Dr. Visser is a pretty interesting lecturer. The final was open note but very challenging and only one question was similar to our assignment questions. Read the textbook after each lecture it will help. Do not take for an easy A.",5.0,5.0,"EXTRA CREDIT, Clear grading criteria, Accessible outside class",CSC545,True,non mandatory,A,3,0,0
2024-05-08,"Obsolete content, very dry teaching. AI is at an exciting stage right now and the Prof. managed to make this exciting subject very dry and non-interesting. Highly recommend to study online instead of wasting time here. Also, very rude and non-flexible with dealing with students. I don't recommend it. ",1.0,5.0,,CSC545,True,non mandatory,A,-1,0,1
2024-05-03,"Very fun class, you definitely learn a lot about the basics of Game Programming, however, it is a lot of work, as your final presentation basically requires you to be an Indie Developer for a semester. All that said, however, it is also very fulfilling and rewarding once you have everything working in your game",5.0,4.0,"Lots of homework, Graded by few things",CSC329,True,non mandatory,Not sure yet,-1,1,1
2024-03-21,"This class is definitely difficult, but it is a high level class so it is supposed to be. If you attend the lectures, study the material, and don't procrastinate the HW, you will be fine. Homework will take a long time, but he goes over it and you should definitely go to the TA hours if you are stuck. Final was medium difficulty and class is curved",5.0,4.0,"Clear grading criteria, Lots of homework, Accessible outside class",CSC545,True,non mandatory,A+,3,1,1
2023-12-14,"545 was a very difficult class, but I also expected it to be interesting.  WRONG!  This class was made so so boring from assignments to lectures you will learn nothing about AI that you're looking for in this class but keep all of the difficulty.  Lectures and homework's are directly out of the textbook, which he claims is optional, it's not.",2.0,5.0,"Tough grader, Get ready to read",CSC545,True,non mandatory,,3,1,1
2023-12-07,I learned a lot and I have a project to show for it! Prof. Visser keeps up with new trends in technology and structures his class to be fun and engaging. There is a lot of work you have to do outside of class but it's worth it! Expectations are clear and manageable.,5.0,3.0,"Clear grading criteria, Respected, Accessible outside class",CSC329,True,non mandatory,A+,-1,1,1
2014-09-16,I was fond of the way the class was laid out. Great lectures fluid progression of topics.,4.0,3.0,,CSC329,True,,,3,0,0
2014-05-15,"This is the best class I have ever taken. Tons of material, not easy but really cool! I definitely recommend Dr. Visser, he is gentle, treats students with respect, and has excellent knowledge in this field.",5.0,4.0,,CSC545,False,N,,4,1,2
2013-05-06,"Tries to make his classes more interesting. Explains thing well, even though parts of the material taught can be boring. Homeworks are pretty easy if you read the slides and are worth 70%, final is 30%.",5.0,2.0,,CSC519,False,,,1,1,0
2013-02-13,"Just go to class and do the homework and you'll be fine (70% HW, 30% final). Material is really dry but he's a nice guy.",3.0,2.0,,CSC519,False,,,2,0,0
2011-11-01,"This guy is the worst teacher in the Computer Science Dept. He lifts his slides right from the book and just reads off them in class. When you try and ask fro guidance he acts like he's busy or that your question is so intuitive that you shouldn't be wasting his time asking. I doubt he knows the material at all. he's researcher, not teacher.",2.0,4.0,,CSC545,False,,,4,1,3
