Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-05-03,"This class is HARD with lots of tough material to go through. But the weekly HWs can get a pregrade, allowing you to fix them if you do them early. Weekly quizzes, tough midterm, and a fair final overall making the tests not too bad. Professor Milenkovic loves to crack jokes and references, and he was always smiling. Hard, but I would recommend :)",5.0,5.0,"Tough grader, EXTRA CREDIT, Caring",CSC220,True,non mandatory,A+,-1,0,0
2026-05-03,"Yes, it is a hard class. The professor is very smart and does his best to keep lectures light, but the material is super heavy. You're going to have to work for your grade, but you'll definitely learn A LOT, which is very rewarding. He also really appreciates when students are genuinely interested, asking questions, and enjoying in the content! ",4.0,5.0,"EXTRA CREDIT, Clear grading criteria, Accessible outside class",CSC220,True,non mandatory,A+,-1,0,0
2025-10-03,Worst professor at UM by far.,1.0,5.0,"Tough grader, Lots of homework, Lecture heavy",CSC220,True,non mandatory,B,-1,0,0
2025-05-04,"Professor Milenkovic is a genius, If you want to be a strong CS student and learn a lot, I suggest you take his course. However, it is extremely challenging and you WILL spend long hours at your computer. This class is to see if you have what it takes.",4.0,5.0,"Tough grader, Lots of homework, Test heavy",CSC220,True,non mandatory,A-,-1,0,0
2025-04-30,"The reason there are so many negative reviews is that CSC220 is naturally a weeder class for the major and students who just aren't cut out for CS take it out on him. There is a lot of homework, which is often complicated, but the tests he gives you are the tests he uses to grade. That being said, he's a great lecturer who you can learn a lot from.",5.0,4.0,"Clear grading criteria, Lots of homework",CSC220,True,mandatory,A,-1,0,0
2025-04-24,He's a little hard to communicate with. You ask him a question and he goes on a tangent about completely different things. Not a helpful and test-heavy. A harsh grader spent hours on hours just to get a 0. expects you to know as much as he does.,1.0,5.0,"Tough grader, Lots of homework, Test heavy",CSC220,True,mandatory,B,-1,0,0
2025-04-23,"Professor Milenkovic is a genius, don't get me wrong. Look him up on Google and check out his accomplishments. However, this class is unreasonably difficult, and the homework is poorly explained and takes hours. This class contains many interesting topics, and the TAs are amazing, but I recommend you take it with the other professor.",3.0,5.0,"Tough grader, Lots of homework, Test heavy",CSC220,True,non mandatory,Incomplete,-1,0,0
2025-03-27,"Horrible professor, if you can take literally anyone else do that. This guy gives templates of code for you to fill in with your own but the templates themselves have hidden bugs he doesn't tell you about. He also takes points off for having an updated system like using removeLast() instead of remove(size()-1). Hardest. final. ever. ",1.0,5.0,"Tough grader, Lots of homework, Lecture heavy",CSC220,True,,B,3,0,0
2024-12-10,"Dr. Milenkovic is so passionate about graphics, and teaches it amazingly. The content of the class is very hard to understand at points, but his lectures are fantastic. He really wanted us to learn, and it was a great class. There are weekly quizzes, a midterm, and a final, which aren't super hard if you study. Take it with him, he is the goat!",5.0,4.0,"Amazing lectures, Gives good feedback, Caring",CSC529,True,non mandatory,A+,-1,0,0
2024-10-22,Genuinely the worst experience I had with a professor. Expected everyone to be as smart and capable of grasping the concepts without actually teaching. He is extremely uncaring about his students. Had to withdraw from the course and now I am succeeding with another professor. THIS IS THE CLASS THAT MAKES YOU QUESTION COMPUTER SCIENCE!!!!,1.0,4.0,Tough grader,CSC220,True,mandatory,Drop/Withdrawal,3,0,0
2024-05-22,The class so hard for no reason. None of the concepts you learn are actually difficult he just makes them seem it. The TA Collin should have taught the whole class.The labs are fairly easy but then he assigns homework which is difficult. Every week they would have 3 help sessions to help with the homework where 30+ students would show up. ,2.0,5.0,"Tough grader, Lots of homework",CSC220,True,non mandatory,B+,-1,0,0
2024-05-19,"Professor Milenkovic is very knowledgeable, but my praise of him ends there. He is short, even rude with students, and quick to deduct a significant number of points for small discrepancies with his output, even when you have written the entire program. I've taken a lot of MTH/CSC classes and he assigns SIGNIFICANTLY more work than the rest. Beware",2.0,5.0,"Tough grader, Lots of homework, Test heavy",CSC220,True,non mandatory,B-,-1,0,0
2024-05-15,"By normal standards, this class sucks. This is not a normal class, however. It is very hard. You will learn so much. If you are proactive-go to help sessions, ask questions, etc, you WILL be successful. This class will have you level up. Tips: Don't stress over the quizzes (only 10%) and collaborate with others when writing programs. Good luck!",2.0,5.0,,CSC220,True,non mandatory,A,-1,1,0
2024-05-13,"The bad reviews on this professor are strictly because this is the first class most will take at UM that requires a lot of work. If you are in CS, this will prepare you for future classes, as well as work after college. He is a genius, he is preparing you for the real world with this class. Yes it is hard, but a class you need to get ready for life",4.0,5.0,"Tough grader, Clear grading criteria, Lecture heavy",CSC220,True,non mandatory,B+,-1,0,2
2024-05-08,He is horrible. He is too smart to explain things at a basic level for students. This is the hardest class I have ever  taken I am shocked I made it out with a B. Milenkovich? more like Milenkobich.,1.0,5.0,"Clear grading criteria, Lots of homework, Test heavy",CSC220,True,non mandatory,B,-1,1,0
2024-02-06,"Very bad. Would recommend only if you are VERY passionate about computer science and willing to put in the long, isolated hours in-front of you computer. This course is not fun. It is not engaging. The lectures do a poor job at explaining concepts. Ruthless in grading. Do not take. (P.S. TA's are great).",1.0,5.0,Tough grader,CSC220,True,non mandatory,Not sure yet,-1,2,1
2024-02-06,"Victor is the worst of all the CS classes I have had. I managed to get through it with an A- with way too many late nights. The constant work he gives out, along with how unclear it is, makes class miserable. Plus, the lectures are awful, and he's very unavailable. The TA's are fantastic and are the reason I got through it. ",1.0,5.0,"Tough grader, Lots of homework, Lecture heavy",CSC220,True,non mandatory,A-,-1,2,1
2024-01-31,"Ruthless in grading, not for the faint of heart. Avoid if your coding skills are not sharp.",1.0,5.0,"Tough grader, Lecture heavy, Test heavy",CSC220,True,non mandatory,Drop/Withdrawal,-1,1,1
2023-12-23,"Avoid if possible. Quizzes every week, unengaging lectures, and difficult and long labs and homework. Please ignore the reviews saying that bad reviews are from lazy students; I worked very hard and did reasonably well, it was just unnecessarily difficult. The expectation of skill for a 200 level class is just too much. The TAs are awesome though!",2.0,5.0,"Tough grader, Lots of homework, Test heavy",CSC220,True,non mandatory,A-,-1,2,0
2023-12-21,"Dr. Milenkovic is an amazing professor, and he gets a bad rep by other reviews. There are weekly quizzes that have to do with the programs and lecture, and usually the homework is on the quiz although its not due yet. The midterm and final are just reused quiz questions. The material is very hard so you might have to memorize a lot.",4.0,5.0,"Lots of homework, Test heavy, Accessible outside class",CSC220,True,non mandatory,A,3,1,4
2023-12-18,If you want to change your major take this class. ,1.0,5.0,"Tough grader, Lots of homework",CSC220,True,non mandatory,C-,-1,3,1
2023-12-17,There's a quiz and a program due every week. The programs are extremely difficult. and his instructions are incredibly confusing. Make sure to go to office hours and discuss with your peers so that you can finish the programs. The quizzes and exams are based on the programs so memorize how to write certain methods and classes.,3.0,5.0,"Clear grading criteria, Lots of homework, Test heavy",CSC220,True,non mandatory,A,-1,0,0
2023-12-14,"Dr. Milenkovich is an difficult professor. Quizzes, exams, and labs are meant to challenge you, so be prepared to sink a lot of time into the course if you want to do well. That being said, you will definitely learn a lot, and if you participate and put in the effort, getting an A is not as difficult as you would imagine.",4.0,5.0,"Lots of homework, Online Savvy",CSC220,True,mandatory,A,-1,0,1
2023-12-13,"Victor Milenkovic is a great professor and adviser. I'd appreciate more real-world program examples. His teaching style feels old-school; I seek increased class engagement and clearer explanations, moving beyond reading from .txt files. While I like the lab structure, understanding steps in assignments can be challenging.",5.0,3.0,"Lots of homework, Lecture heavy, Test heavy",CSC220,False,non mandatory,Not sure yet,3,0,1
2023-11-16,"This class, with this professor, should be named ""How to question your major 101""",1.0,5.0,"Tough grader, Clear grading criteria, Lots of homework",CSC220,True,non mandatory,Not sure yet,-1,5,1
2023-10-13,Milenkovic is a great professor who has a very well planned out course. His lectures can be confusing to follow at times but his labs and homework do a good job of walking you through the concepts. He can be a little hard to approach at certain times when asking questions. Be prepared to put in a lot of hours and hard work.,4.0,4.0,"Clear grading criteria, Lots of homework, Graded by few things",CSC220,True,non mandatory,A,-1,0,0
2023-09-07,Avoid!!!,1.0,5.0,"Tough grader, Test heavy, Graded by few things",CSC220,True,mandatory,C+,3,2,2
2023-05-15,Not sure why Victor has so many poor reviews. There are quizzes every week but barely count toward your grade. The homeworks are continuations from the labs but you can get an extension by going to TA hours. The midterm/final are very hard but just study a lot for 2 weeks. Very tough class but just put the time in and you'll be fine.,3.0,5.0,"Tough grader, Test heavy, Accessible outside class",CSC220,True,non mandatory,B,-1,2,2
2023-05-12,"Difficult class, but if you give a good effort and finish your projects, you will at least pass. Most of your grade is based on labs, homework, and a very hard final. Don't be afraid of help sessions, it exists for a reason. Lectures will not make sense. A CS major will eventually have to take a class with this professor, so get it over with.",2.0,4.0,"Tough grader, Lots of homework, Lecture heavy",CSC220,True,non mandatory,A,-1,2,0
2022-10-24,This class had me on the verge of switching to business... I started growing grey hairs. He expects all of his students to be professional programmers when in reality most of us hadn't even been coding at all until 4 months prior. He makes you feel so bad about yourself when you go ask him a question. PLEASE take it with any other professor.,1.0,5.0,"Tough grader, Lots of homework",CSC220,True,non mandatory,B+,-1,2,0
2022-10-24,"RUN. Im so serious omg. Okay for pretext, I actually love java and I did so well in 120. HOWEVER, this prof is the worst. Doesn't know how to teach, his homework and labs took atleast 15 hours every week and there's quizzes every single week. His final was so tough, and he would literally make you feel inferior and stupid for asking any question. ",1.0,5.0,"Tough grader, Lots of homework, So many papers",CSC220,True,non mandatory,A,-1,1,0
2022-05-19,"This is a class that shows who the smart kids are and are in CS for the right reasons. Trust me, all the bad reviews are from kids that did terribly because they did not try. Victor is a Harvard professor. You can learn so so much from him. Use this opportunity! Literally just study and do your homework and you'll get an A. Also there was FAT curve",4.0,5.0,"Tough grader, Get ready to read, Lots of homework",CSC220,True,non mandatory,A+,-1,0,4
2022-05-05,"If you were looking for a sign not to take CSC 220 with Victor, READ NO FURTHER. He expects your brain to be a computer. I have lost all sanity through this course. The final is cumulative of the most obscure elements of the class. If you mess up one line of code on an assignment, expect a 0/100. I caution you, DO NOT even consider taking this.",1.0,5.0,"Tough grader, Lots of homework",CSC220,True,non mandatory,Not sure yet,3,2,0
2022-05-03,"Save yourself the headache and take this class with anyone else. Others have pointed out exactly why, I can confirm they're telling the truth. Seriously, run!",1.0,5.0,Tough grader,CSC220,True,non mandatory,Not sure yet,-1,0,0
2022-04-12,"When it comes to grading the assignments, he tests your submission with his own coded tests. Then, whether your code passes or fails his tests, he grades you accordingly. This means that if you spend hours trying to get your code to work, and it doesn't by the deadline, you get a ZERO for the assignment. No partial credit, no regrades, no mercy.",1.0,5.0,"Tough grader, Lots of homework, Lecture heavy",CSC220,True,mandatory,Not sure yet,-1,0,0
2022-03-07,I am in disbelief. I&#39;d have a better time strung up in a medieval torture chamber than this horrendous class. This class requires an absurd amount of time and effort and I regret not looking at RMP before enrolling. ,1.0,5.0,"Tough grader, Lots of homework",CSC220,True,non mandatory,Not sure yet,-1,1,0
2020-05-08,"This is a hard class. The work is hard, but you come out knowing a lot more. He is doing a good job for teaching a class that weeds out students. Find someone older for Progs and Quizzes it will help you out alot. Also go to Prog Review sections since Comp sci tutors are $$ and they are there for free.",3.0,4.0,"Gives good feedback, Lots of homework, Clear grading criteria",CSC220,True,mandatory,B+,0,0,1
2020-02-18,Professor Milenkovic is so out of touch with reality please beware if you are a normal person. Even prior knowledge in the field won't help you here. Do not take this class.,1.0,5.0,Tough grader,CSC220,False,non mandatory,Incomplete,0,2,0
2020-02-18,"If you ever wanted to question your existence or the major you chose then look no further. This guy is awful at teaching, worse than that is his vague instructions on the lab assignments/homework. I've asked him to clarify on specific things only to find myself more confused after he is done speaking. Avoid at all cost.",1.0,5.0,"Lots of homework, Tough grader",CSC220,True,mandatory,Incomplete,0,3,0
2020-01-23,Makes me want to switch majors. He is very difficult to comprehend and cannot explain concepts in a clear and concise manner. Avoid taking him for 220.,1.0,4.0,"Lots of homework, Accessible outside class",CSC220,False,mandatory,D,0,3,0
2019-12-28,"I learned a lot in computer graphics. I sometimes make stupid mistakes in the progs, and Milenkovic was helpful to point them out when I post my bug on Blackboard. Don't be afraid to post on Blackboard and ask for help!",5.0,4.0,Respected,CSC529,True,mandatory,A+,0,0,1
2019-07-07,"Computational geometry is by no means an easy subject conceptually, but Dr. Milenkovic makes the assignments easy enough to understand to be doable in a reasonable amount of time (some struggling required). Quiz, midterm, and final material are touched on particularly in depth during class, so pay attention and you should do fine.",4.0,3.0,"Skip class? You won't pass., Graded by few things, Lecture heavy",CSC547,True,non mandatory,A,5,0,1
2019-05-16,"A tremendous amount of work throughout the week and the progs require a lot of hours. If you get a couple of things wrong in the methods and he drops your grade 15 points. His lectures don't teach you how to code, for example, a linked list lecture is just full of definitions. If you're not well rehearsed in java than don't take him.",1.0,5.0,"Lots of homework, Tough grader",CSC220,True,mandatory,,0,3,0
2019-05-06,"Milenkovic is a brilliant professor and knows the subject material extremely well. His ability to communicate this material, however, is difficult to understand if you're not a natural programmer. Put in the work, ace the projects and study for the quizzes from the lectures. Exams are difficult, make sure to look at his code as well.",3.0,5.0,"Accessible outside class, Clear grading criteria, EXTRA CREDIT",CSC220,False,non mandatory,C+,0,1,0
2019-02-05,Really unhelpful,1.0,5.0,"Tough Grader, LOTS OF HOMEWORK, TEST HEAVY",CSC220,True,mandatory,,0,7,1
2018-11-30,"This guy knows more than anyone else in the department. He's so smart, he has a hard time relating to us plebeians and how we could possible not understand something. His class is hard, because he gives a very difficult and in-depth homework every week.",4.0,5.0,"Skip class? You won't pass., LOTS OF HOMEWORK",CSC529,True,mandatory,Not sure yet,5,3,5
2018-10-26,Overall Victor is pretty cool but he is blunt and doesn't put up with dumb questions. The grades are mostly lab-based and there is plenty of help available outside of lecture when it comes to those assignments. This course is intended to be hard so as long as you put in the work you should be able to get through it.,3.0,5.0,"Tough Grader, Skip class? You won't pass., LOTS OF HOMEWORK",CSC220,True,non mandatory,B,0,1,1
2018-05-08,Tons of homework. People failed and waited for retake. All my friends switch major after taken his course.,1.0,5.0,"Tough Grader, LOTS OF HOMEWORK, TEST HEAVY",CSC220,True,mandatory,B,0,3,0
2018-03-27,"Professor Milenkovic does not care at all about his students. His instructions are unclear and belittles you when you do not understand them. Comp Sci majors at UM, wait until fall to take CSC 220 with a different teacher! You will not regret it!",1.0,5.0,"Tough Grader, LOTS OF HOMEWORK, LECTURE HEAVY",CSC220,True,non mandatory,,0,8,0
2018-01-31,"Dr. Milenkovic is a great instructor. Although CSC220 is a tough course, he makes it doable since he explains the concepts well in lectures. He is also super helpful and responsive to emails if you ask for help. Take this class. It will stretch you but in a good way.",4.0,4.0,"Gives good feedback, Skip class? You won't pass., Clear grading criteria",CSC220,True,non mandatory,A,5,2,5
2017-08-02,very hard,1.0,5.0,"Tough Grader, LOTS OF HOMEWORK, BEWARE OF POP QUIZZES",CSC220,True,non mandatory,,0,4,0
