Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-04-24,"Amazing professor, not much work but graded by few things",5.0,2.0,"Inspirational, Caring, Respected",IEN568,True,mandatory,A-,-1,0,0
2017-12-17,"Dr. Omachonu is one of the best professors at UM and this class is his masterpiece. I would highly recommend to every IE who is looking to go into management. 513 - Quality in the Service Industry - has reshaped my outlook on businesses and process execution. Amazing professor, great lectures and class discussions. Homework is lengthy but worth it.",5.0,4.0,"Respected, Inspirational, Amazing lectures",IEN513,True,mandatory,A,0,0,0
2014-12-25,"Such a nice man, but probably better suited for engineering courses. Tough to reach even during his posted office hours. Average professor, but a really good guy who cares about his students as much as anyone I've come across at UM.",2.0,3.0,,MGT303,True,mandatory,,3,1,2
2014-08-12,"Best professor I've had at UM so far. He only teaches one section of MGT303 each semester so if you can get it, don't take anyone else.",5.0,1.0,,MGT303,False,N,A,1,3,1
2013-12-29,LOVE this guy! He knows what he's talking about and teaches informally. The class material isn't very difficult.,5.0,2.0,,MGT303,False,N,,1,2,0
2013-04-28,Amazing professor! Great course!!,5.0,2.0,,IEN363,False,,,4,3,1
2013-04-28,Dr. Omachonu sets a higher level of standards for professors. It's worth taking his course just to have an excuse to spend time with him! This is a grad level course in Quality Management in Service Organizations. You learn so much you'll never feel the same as a customer again.,5.0,2.0,,IEN513,False,,,3,5,2
2013-04-28,"Dr. Omachonu is extremely inspiring and helpful. He is an expert in every course he teaches and motivates you to learn. He makes every topic seem simple and easy to do. His notes and class examples are perfect tools to study for his exams, which will allow for easy A's while still having a full understanding of the course load. He's amazing!",5.0,2.0,,IEN568,False,,,3,5,0
2013-04-24,"Mentor-quality professor. He's really funny, really nice, and if you ever ask a question in class, he'll make sure to tell you how fantastic of a question it was. Could tell he got a bit visibly annoyed having to dumb down content for us business school students, though (he's normally teaching engineering students).",5.0,1.0,,MGT303,False,,,1,1,0
2011-12-03,He is incredible professor that is full of energy that makes a subject that I didn't previously think would be interesting very exciting. Thank Dr. O.,5.0,4.0,,IEE400,False,,,3,1,0
2010-05-04,"Best teacher you will ever have in your life. Never have i had a teacher that has inspired me to succeed and to push my self further within this field. His knowledge and passion for his subject compliments his energy and charisma. He is the Industrial Engineering Guru. By not taking his class, is losing out on an opportunity in life. He's packen!",5.0,2.0,,IEN512,False,,,3,2,0
2009-11-29,whenever i tried asking this professor questions he was always either not there or too busy.,2.0,4.0,,IEN568,False,,,1,3,1
