Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-04-06,"Very tough professor. Monotone lectures and ridiculously tough grading for the exams. Try to avoid at all costs, if you can't then make sure to self study everything and master everything he gives on the test review. Good luck.",1.0,4.0,"Tough grader, Test heavy, Graded by few things",MAE302,True,mandatory,B-,3,0,0
2025-12-18,"Nice guy, but a bad teacher. Grading is pretty brutal: the first midterm is out of 9 points (25% of grade), the second is out of 13 (25%), and the final is out of 20 (30%). And - drumroll, please... NO PARTIAL CREDIT. Homework is either a hit or miss. Lock in for this one.",1.0,4.0,"Tough grader, Test heavy, Graded by few things",MAE302,True,non mandatory,C+,3,0,0
2024-10-15,Does not respond to emails. He is the worst ,1.0,5.0,,MAE310,True,mandatory,C,3,0,0
2024-01-12,"Nice person, but does not teach well at all. Does allow cheat sheets which are the only saving grace in his classes, and often his exams repeat year after year. Is a ruthless grader, but often tries to pass students. Like, he will likely give C's and D's but will not fail students completely.",2.0,5.0,"Tough grader, Test heavy",MAE302,True,non mandatory,C,-1,0,0
2022-12-15,He mostly just reads off a document in lectures which he then posts after the lectures so attendance is not that important. His tests are worth 90% of your grade and the final is 50% which is a lot. The tests are not that bad as long as you go to the review before it. ,3.0,4.0,"Test heavy, Graded by few things",MAE302,True,non mandatory,,3,0,0
2022-08-26,"Dr. Gu is very knowledgeable and knows the right questions to ask the students during class to make sure they understand the material. His ability to explain the mechanisms behind physical phenomena is helpful in understanding the material.

If you do not attend the lectures and do not participate in class, the tests will be difficult.",5.0,4.0,Caring,MAE310,True,non mandatory,A,3,0,0
2020-04-28,WORST. Awful teacher. His classes are super lecture heavy and require knowing lots of calculus. His tests are nothing like the homework. The tests dont use numbers. I suggest memorizing every derivation for each test. First test was solely just memorizing derivations and equations. Following tests were open notes.,1.0,5.0,"Lecture heavy, Tough grader",MAE310,True,non mandatory,,5,0,0
2019-04-25,"If the US government is ever looking for new and exciting ways to torture people, they should just make them sit through this class for 1 semester. This guy is an awful professor. Nice enough guy, but cant explain anything. His tests are awful, makes you memorize chapters worth of formulas. Not worth it.",1.0,5.0,Lecture heavy,MAE740,False,non mandatory,,5,0,0
2018-03-02,"He is definitely knowledgeable, very prepared, but he is an awful teacher. It is very hard to follow his classes and to understand when he explains. His teaching skills are very poor.",1.0,4.0,,MAE740,True,non mandatory,,0,0,0
2014-02-06,Teaching not clear.,1.0,3.0,,MAE642,False,N,,2,5,0
2012-11-13,Not enough content for a graduate class.,1.0,3.0,,MAE640,False,,,1,5,0
