Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-05-05,She is seriously awesome. Just show up to class (but you don't have to) and read chapter quizzes. Can't repeat enough that she is awesome. Definitely take!,5.0,3.0,,BTE417,True,mandatory,A,3,0,0
2025-04-07,"Simple class, great professor. I will warn non-business majors please be prepared to not blow off any readings. This was my second business class ever and I was learning everything taught here for the first time while my peers had already learned much of it in other classes. It's not hard at all, just be sure to read. It's an easy A if you study.",5.0,1.0,Clear grading criteria,BTE417,True,non mandatory,Not sure yet,3,0,0
2025-03-31,"This class should NOT be hard. Legitimately just show up, listen to the lectures, and do the labs with her in class. Very little outside of class work. If you don't show up it can be difficult, but she walks through nearly all of the labs. There are a lot of labs (once a week) but if you do them during class you won't have anything to worry about.",5.0,2.0,"Amazing lectures, Clear grading criteria",BTE400,True,non mandatory,A,-1,0,0
2024-12-07,"Prof Chun is one of the best instructors I've had at UM. She is friendly and cares about students. I was nervous taking python since I'd heard it was a horrible class, but she made less intimidating, and i actually liked the class code challenges and project. If you have to take python - take her class.",5.0,4.0,,BTE320,True,non mandatory,A-,-1,0,0
2024-12-03,"She was okay, probably the best BTE professor from what I've heard but not an inspirational or fun class. Its not that hard, just the tests were very confusing and hard to study for. I got an A but honestly guessed on everything",4.0,3.0,"Lecture heavy, Test heavy",BTE210,True,mandatory,A,3,0,0
2024-12-02,"Professor Chun is the best professor I've had at UM. She truly cares about her students and their well being. I would 100% take her again and would recommend her to anyone who has to take BTE 210. There are two exams, a final and a group project. Exams are multiple choice and fairly straightforward if you study the slide decks. ",5.0,3.0,"Clear grading criteria, Caring, Accessible outside class",BTE210,True,non mandatory,A,-1,0,0
2024-11-20,"Pleasantly surprised with Prof. Chun. Content is not overly complicated, but you do have to study the PPT inside and out. 2 exams + final + project, which is truly not that bad. In MWF classes, she often cancels class on Fridays. Gives good curves on exams. Final project is just a business idea that incorporates AI, 1 month to complete.",5.0,4.0,"Lecture heavy, Accessible outside class",BTE210,True,non mandatory,A,-1,0,0
2024-05-08,"Professor Chun is an awesome teacher and one worth getting to know. The class content isn't very interesting but the project (though heavy) is fun, and you can tell she cares a ton about her students. Wouldn't want to take anyone else for 210.",5.0,3.0,"Group projects, Caring, Accessible outside class",BTE210,True,non mandatory,A,-1,0,0
2024-01-25,She is nice but the stuff is really boring. But she tries to make it interesting and definitely see her in office hours for help.,5.0,5.0,"EXTRA CREDIT, Group projects, Caring",BTE320,True,mandatory,A-,-1,0,0
2023-12-23,Prof. Chun is nice and class is usually just lectures. Content is easy but tests are lowkey hard because she asks  questions that aren't from her notes or the powerpoints. Make sure you pick a good group for your project too because it's worth ~25% of your grade. She isn't a super easy grader but our class was curved 3% at the end.,5.0,4.0,"Group projects, Online Savvy",BTE210,True,mandatory,A,-1,0,0
2023-12-22,"I am happy I got into this Python class; Chun is very positive and loves programming. Bring your computer to class since you code almost every day. We coded in teams which was helpful. She made the class fun, and now I actually kind of like coding. Take her if you can.",5.0,4.0,"Participation matters, Caring",BTE320,True,non mandatory,B+,-1,0,0
2023-12-07,"Love this prof! Third class with her, definitely was the easiest. Works to try to make the class fun. Gives 2 exams and a final but drops the lowest. ",5.0,2.0,"Group projects, Caring",BTE417,True,,A,3,0,0
2023-11-08,Professor Chun is very caring and wants us all to learn and succeed. Her lectures are as interesting as they can be and she tries to keep things relevant. I always struggle on her exams no matter how much I study because the questions are sometimes strange but other than that I strongly recommend taking her. ,4.0,3.0,"Group projects, Caring, Respected",BTE210,True,non mandatory,Not sure yet,-1,0,0
2023-05-21,"Nice prof and very understanding and will meet with students. Although, the class pace was too fast, and I wish she spent more time reviewing for exams. Curved tests and class at the end, so that definitely helps. ",4.0,4.0,,BTE210,True,mandatory,A-,-1,0,0
2023-05-15,Have no idea what my grade is in this class. Tests were very hard as the material always seemed to be random. Apparently she curves the class but not sure yet. Hoping for a big curve as the class averages were in the 60s. I heard the other professors are worse than her but she is not good. Sweet lady tho. ,3.0,4.0,"Group projects, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,0,0
2023-05-04,She is nice but the course is too hard for a 200 level class.,3.0,4.0,"Tough grader, Group projects, Test heavy",BTE210,True,mandatory,,-1,0,0
2023-05-04,"Don't bother studying. The material she says to study for does not correlate with the test. It truly was a disappointing class which I would never take again. Nice person, but why was it difficult for a mandatory class",2.0,4.0,,BTE210,True,mandatory,,-1,0,0
2023-04-30,extremely rude & condescending!! super hard tests with none of the material from the slide decks that she claims are the only things you need to study.,1.0,4.0,"Tough grader, Graded by few things",BTE210,True,mandatory,Not sure yet,-1,0,0
2023-01-18,Lot of reading but she makes the class enjoyable,5.0,4.0,"Get ready to read, Test heavy, Graded by few things",BTE417,True,mandatory,A-,3,0,0
2022-12-22,"Good professor, the class is very book heavy but there are activities as well that can be fun. She lets the class do a challenge to win the formula sheet for the exams. She is caring and will always meet with you. ",4.0,3.0,"EXTRA CREDIT, Group projects, Caring",BTE417,True,mandatory,Not sure yet,3,0,0
2022-12-15,"Class is boring until you start the project, but Prof Chun tries to make things interesting. Go to class early for tests, she reviews right before she hands them out.",5.0,4.0,"Group projects, Caring, Accessible outside class",BTE210,True,mandatory,A-,-1,0,0
2022-12-14,This class was very boring and the exams were hard but I really liked Professor Chun. She was very nice and easy to reach outside of class. I would recommend taking her. ,4.0,4.0,"Group projects, Respected, Accessible outside class",BTE210,True,mandatory,,-1,0,0
2022-12-07,One of the most boring classes I've ever taken,2.0,4.0,"Tough grader, Group projects, Graded by few things",BTE210,True,mandatory,Not sure yet,,0,0
2022-11-02,"I love Professor Chun! She is very lovely and respectful. She is a good lecturer, and her class is not the most interesting, but she makes it fun and doesn't make it boring. I recommend taking her for BTE 210!",5.0,2.0,"Group projects, Amazing lectures",BTE210,True,,Not sure yet,3,0,0
2022-05-10,"C++ is very hard, but Professor Chun is very encouraging and is interested in students understanding the material. Gives many quizzes, about 4 assignments. Bring your computer to class since we code almost every day.",5.0,4.0,"Lots of homework, Accessible outside class",BTE320,True,mandatory,B+,3,0,0
2022-05-05,"Was scared to take 320, but a friend recommended Prof Chun. Thank God, I took this class with her, It is hard! - she goes through all content, TAPES her lectures and added some additional videos of just walking problems. She knows the content is hard and tries to help all understand. Every 2 chapters is a quiz, so you have no choice but to keep up.",5.0,4.0,"Get ready to read, Lots of homework, Accessible outside class",BTE320,True,non mandatory,A,3,0,0
2021-12-14,"Professor Chun is great! I would highly recommend taking her class. She makes complex topics easy to understand, and is always willing to give further help to students if needed. Learning to code can seem scary, but Professor Chun makes it more than possible for everyone.",5.0,3.0,"Respected, Clear grading criteria, Caring",BTE320,True,,A,5,1,0
2021-05-19,It took me a lot of time and coding was frustrating many times but I am very happy I took this class with Prof Chun. She cares about her students and always showed interests in us learning the content.,4.0,5.0,"Lots of homework, Skip class? You won't pass.",BTE320,True,mandatory,A,5,0,0
2021-05-16,"Waited to get this professor, subject is hard but prof Chun tries to make it interesting. She really likes coding and will help if you show effort and go to office hours. Stay on top of the content, she gives quizzes, assignments and the exams are worth a lot.",4.0,4.0,"Lots of homework, Skip class? You won't pass., Caring",BTE320,True,mandatory,A-,5,0,0
2021-05-15,"Class was easier than 400, its book intensive, group project and presentation. She takes attendance so you need to show up. Tests were hard but are curved. Do the extra credit if available - it really helps in the end.",5.0,3.0,"Respected, Accessible outside class, Group projects",BTE417,True,mandatory,A,5,0,0
2021-05-08,"Good prof, but lots of labs. I think it definitely would have been a better class in-person. Group project was fun, but wish we had more time. I like that we used many diff cloud platforms.",5.0,3.0,"Lots of homework, Skip class? You won't pass., EXTRA CREDIT",BTE400,True,mandatory,A,0,0,0
2021-05-05,"I dreaded taking this class. This class is HARD, but Professor Chun tries to make it interesting. Made some friends as we worked in teams a lot. Tough grader - if you miss any instruction or elements on an assignment you lose pts, but drops lowest one. Worked hard here, but would take her again.",5.0,5.0,"Lots of homework, Skip class? You won't pass.",BTE320,True,mandatory,A,5,0,0
2021-05-03,"Fair professor - likes the topic a little too much. Lots of work, hard exam but tells you what to study. 5 labs, 4 quizzes - 2 exams. You need to keep up - studying last minute will not work, drops lowest lab --- but does not take late labs.",4.0,4.0,"Lots of homework, Skip class? You won't pass., Caring",BTE320,True,mandatory,A-,5,0,0
2021-04-29,"Love this professor - she care about her students and always makes time to answer questions. Took 210 with Professor Chun and now in 320 and 417. BTE417 is book intensive, read the book and you should get a A, all the exam questions are from the book.",4.0,3.0,"Accessible outside class, Group projects, EXTRA CREDIT",BTE417,True,mandatory,,5,0,0
2021-04-29,"Professor Chun is very nice. She knows the content is hard and takes her time to make sure you understand. Took her for 210 and now 320, and VERY happy I made it into her class. It fills up fast so select it first. The book is big but pretty good - she goes chapter by chapter so the exams are from the book.",5.0,4.0,"Lots of homework, Skip class? You won't pass., EXTRA CREDIT",BTE320,True,mandatory,,5,0,0
2021-04-13,"Take this class at risk, you need to make sure you communicate outside of class with her and understand what she wants. She is very nice but the material is tough if you are new to programming and she is unclear on what she wants you to know from lectures alone. If you take this class PLEASE make sure you speak to her about how to study properly.",2.0,4.0,"Get ready to read, Respected, Skip class? You won't pass.",BTE320,True,mandatory,B+,5,0,0
2020-11-23,"Professor Chun is nice, but the exams are really hard! I went to see her every week during her office hours to survive. Honestly, this online learning stuff is subpar without being in the classroom.",4.0,5.0,"Respected, Participation matters, Group projects",BTE320,True,mandatory,A-,5,1,0
2020-11-20,"Professor Chun is a very nice and positive, she understands students and the troubles we sometimes have. Very approachable. She gives a group project - which I normally hate, but my team was great and we became friends. Exams are from the book, so if you read - you should get a good grade. Will take her again next semester.",4.0,3.0,"Accessible outside class, Group projects, EXTRA CREDIT",BTE417,True,mandatory,,5,0,0
2020-11-20,Waited 3 years to take this class - heard nightmares about 320. Love this professor had her in 210 and would definitly take her again. Was thrilled when I she taught 320. She goes slow at the beginning to make sure we understood the basics - then picked up speed in a few weeks in. Makes the class interesting as she seems to love coding.,5.0,4.0,"Accessible outside class, Skip class? You won't pass., EXTRA CREDIT",BTE320,True,mandatory,,5,1,0
2020-11-19,"Chun's lectures are interesting, entertaining, and easy but her tests are much harder. Professor Chun is charismatic and very knowledgeable about certain subjects but her tests are much harder than they need to be and she does not give you a lot of study materials to work with so it is also hard to prepare.",2.0,3.0,Group projects,BTE210,True,mandatory,,0,1,0
2020-11-11,"The most disorganized professor I have ever had. She's a sweet lady, but not a good professor. Doesn't know what she's doing, so hard to understand and the tests were impossible. If you want a class that requires a normal amount of work to get good grades, don't take her. Requires all of your time and she doesn't want to help.",1.0,4.0,"Get ready to read, Tough grader",BTE210,True,mandatory,,0,0,1
2020-11-08,"Heard nightmares about 320, waited until senior year to take. Lots of work, but Prof Chun explains details and looks like she really loves coding. Walks everything through the debugger and insists on everyone walking code. Slow to return homework grades, but returns exams and quizzes fast. Takes attendance every class.",5.0,4.0,,BTE320,True,mandatory,,5,0,0
2020-10-21,"Nothing against Professor Chun, she's a great and caring professor, but this class is a joke. It makes absolutely no sense. It's more of an entrepreneurship class than a business tech class and Chun is so entrenched in her field that it makes it hard for newbies to understand what she's talking about. Really difficult for no reason. Try to avoid.",4.0,2.0,"Group projects, Lecture heavy, Caring",BTE210,True,mandatory,,0,0,0
2020-07-28,"This was the hardest class I have ever taken. The lectures I understand but the exams are extremely difficult. They are curved a lot but it's still concerting. She's a nice person and she really enjoys what she teaches, but if you know nothing about btech, I would take someone else. She's more for people with a background in this kind of thing.",2.0,5.0,"Skip class? You won't pass., Tough grader",BTE210,True,mandatory,Rather not say,0,1,0
2020-06-10,"Hated this class at first - SO MUCH WORK. Lots of labs, but got use to it and we always had time in class to work on labs when we were on campus. Online, still lots of work but was already use to it. This class grew on me and I am writing to say it helped me get certified on AWS and this was a leading element in getting an online internship!",5.0,4.0,"Lots of homework, Accessible outside class, Skip class? You won't pass.",BTE400,True,,A,0,1,0
2020-05-19,"I am going to miss Prof. Chun so much. Having the 75 min sessions for any class can be draining, but she made it quite the opposite. She is such an amazing teacher and overall amazing person. You definitely work for your grade but if you put in the effort, she will support you to succeed as much as you're motivated for. Had a positive impact on me!",5.0,3.0,"Skip class? You won't pass., Group projects, Caring",BTE210,True,mandatory,A,0,0,0
2020-05-11,"This is the second time I have had Professor Chun, 210 was mandatory but 400 was for my major. She is very big on labs - 1 due practically every week. The first exam was tough as it was based on readings, but she gave a choice for a final to be a badge on AWS (big lab), everyone on my team took the offer and got 100s !",5.0,4.0,"Lots of homework, Skip class? You won't pass., Caring",BTE400,True,mandatory,A-,0,0,0
2020-05-11,Prof. Chun was one of if not the best prof I had this semester. It's so obvious that she cares about her students and actually enjoys teaching. This alone honestly makes the world of a difference. Every single day she came in with a smile and positive attitude and it would honestly make my day. Made the course interesting. Def take her if you can!!,5.0,3.0,"Group projects, Clear grading criteria, Caring",BTE210,True,mandatory,A,0,0,0
2020-05-08,"Professor Chun is a very nice person, but her exams are extremely hard since her lecture slides have very few words on them and the exams are very specific. She also has quizzes due every week and they are based on very long readings and you only have 4 minutes to take the quiz. She was a nice person, but I would not take the class again.",3.0,4.0,,BTE210,True,mandatory,,0,0,0
2020-05-05,"Honestly this class was awful. I don't recommend this professor to anyone, I don't know why her ratings are so high. Lectures are boring and not informational, exams are curved by super hard, only decent thing was group project - make sure you pick a good group.",1.0,4.0,"Skip class? You won't pass., Group projects, Lecture heavy",BTE210,True,mandatory,Not sure yet,0,0,0
2020-04-22,"The lectures are very boring and the tests are super hard. The project is quite interesting and she gives a lot of extra credit. She cares about her students but could be confusing. Take this class and be prepared to work for you grade, otherwise its a good class.",3.0,4.0,"Lecture heavy, EXTRA CREDIT, Tough grader",BTE210,True,mandatory,Not sure yet,0,0,0
2020-04-13,"Good Professor, interesting lectures yet the tests are very hard and detailed which her PowerPoint slides are not. Overall a fun class and very useful material to know for life in the future.",4.0,4.0,"Skip class? You won't pass., Group projects, Amazing lectures",BTE210,True,mandatory,Not sure yet,0,0,0
2019-12-18,"This is my second class with Professor Wendy. I dreaded taking 320 as everyone says its horrible. She takes attendance so you need to show up, she is also big on effort so you do need to do the work. She had 2 TAs, so I met with them mostly but also went to office hours. She wants people to like coding so she makes the class interactive.",5.0,4.0,"Accessible outside class, Participation matters, EXTRA CREDIT",BTE320,True,mandatory,A-,5,0,0
2019-12-15,"Loved this class and prof! Professor Wendy included many team projects and kept score all semester. This made the class interesting. She is big on attendance so you need to show up. She goes chapter by chapter from the book, so you need to buy it or find it online.",5.0,3.0,,BTE417,True,mandatory,A,5,0,0
2019-12-14,Professor Chun is the best choice for BTE 320. The course material is difficult in and of itself but she makes the experience non-threatening and shows that she really cares. Must read the book and do the example problems in the back of the chapter to be prepared for the exams/quizzes. Drops the lowest quiz/homework score.,4.0,3.0,"Accessible outside class, Group projects, Caring",BTE320,True,mandatory,A,5,0,0
2019-12-09,"I have her for 320 and 417 right now and would not take her for a more technical class like 320. She is fine for 417 because it is all memorization dependent on the student and the project is fun and easy, but I regret taking her for 320. She does not help the students and expects us to know how to code even though it is an intro class. group heavy",2.0,4.0,"Accessible outside class, Participation matters, Skip class? You won't pass.",BTE320,True,,C,5,1,0
2019-05-15,"Prof Wendy is very nice and caring. If you go to her office she will help with any questions or concerns you have with the class. You must go to class, takes attendance. The team project is worth a lot - so make sure to pick a good team. She will NOT let you change teams. Loved this prof, taking her again next semester!!!",5.0,4.0,"Skip class? You won't pass., Caring, EXTRA CREDIT",BTE210,True,mandatory,A,0,1,0
2019-05-15,"Prof Wendy is a nice woman, but the lectures were slides with basically only pictures on them, so you have to go to class and take notes on what she says. The tests are rough but are heavily curved. Quizzes were rough too because there was no time to take them. Make sure to do well on the project because that helps A TON.",3.0,3.0,"Test heavy, Lecture heavy, EXTRA CREDIT",BTE210,True,mandatory,A-,0,1,0
2019-05-14,"She is so friendly and caring! It's really obvious that she wants you to be successful in class. There's no textbook and attendance is taken every day so it's important that you go to class. Grades are based off a ranking system, so what your rank is in the class determines your grade, not your actual percent. This is actually pretty nice.",5.0,3.0,"Skip class? You won't pass., Lecture heavy, Caring",BTE210,True,mandatory,A,0,2,0
2019-04-10,"Prof. Wendy is so nice and very caring! After her class and read through tons of materials she organized, I was able to pass CAMP in three weeks! Learn a lot of real-time and updated project management cases in this class. Totally worth it!",4.0,3.0,"Respected, Accessible outside class, Caring",BTE617,True,non mandatory,A-,0,2,0
2019-01-25,"Dr. Chun is a wonderful professor. She is friendly, approachable, and reasonable. Coming into BTE210, you might think you know everything about computers/etc, however, there is more to be learned. Dr. Chun presents the new material in a &quot;gamified&quot; way. Overall, interesting class and great prof.",5.0,2.0,"Gives good feedback, Participation matters",BTE210,True,mandatory,,0,3,0
2018-12-17,"My second class with prof Chun. Very approachable and friendly. Attend class - she takes attendance. Curves class at the end and gives you a running counter of where you are in the class rank. Lots of labs, do not fall behind on labs they build on each other. Solid.",5.0,5.0,"LOTS OF HOMEWORK, Inspirational, ACCESSIBLE OUTSIDE CLASS",BTE400,True,mandatory,,5,2,0
2018-12-16,"She is so experienced! She knows what she's talking about and always helps if you need a hand. She tries making class fun/engaging. Also brings food from time to time. Her exams are mad hard. Read the chapter before class, ask questions, and apply the concepts because the tests are application based. Group project is also such a pain",5.0,4.0,"TEST HEAVY, Caring, GROUP PROJECTS",BTE417,True,mandatory,A,5,3,0
2018-06-24,"Classes are long and the reading will make your eyes bleed, but she is super nice. Grades are based on class lectures.",5.0,4.0,"Respected, Get ready to read, Caring",BTE210,True,mandatory,A-,0,1,0
2018-06-17,going to miss her after 3 year taking her classss. tough on curve but she cares!,5.0,4.0,"Tough Grader, ACCESSIBLE OUTSIDE CLASS, Caring",BTE417,True,mandatory,A-,5,3,0
2018-05-15,"Go to class because her slides won't help you on the exam. The quiz and test are ultra hard core. Otherwise, she is super sweet. My group was retarded so no way to get an A.",4.0,4.0,"LOTS OF HOMEWORK, TEST HEAVY, Caring",BTE210,True,mandatory,B+,0,2,0
2018-05-14,"Tests are hard, if you do not listen and take notes you will fail the exams, but she is nice and will meet with you to answer questions. Attend reviews before the exams. Group project is worth a lot, make sure you get into a good group.",5.0,4.0,"Skip class? You won't pass., EXTRA CREDIT, GROUP PROJECTS",BTE210,True,mandatory,,0,0,0
2018-05-01,"Super caring professor. She is available after hours, but her tests are really hard.",5.0,2.0,"Skip class? You won't pass., TEST HEAVY, Caring",BTE210,True,mandatory,B+,5,0,0
2018-04-27,"Her tests are very hard, but she is solid.",5.0,5.0,"Respected, Inspirational, TEST HEAVY",BTE417,True,mandatory,B,5,2,0
