Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-12-02,goated professor. Explains really well and quizzes and exams are very easy. Pick him for every CS course possible,5.0,1.0,"Clear grading criteria, Caring, Respected",CSC220,False,non mandatory,,,0,0
2025-11-14,"The goat of CS department. Take any class that is offered with him. Simply the best, teaches well, always willing to elaborate, easy quizzes and exams. Barely any stress in the class but at the same time if you just listen you learn, that is how good he teaches. GOAT",5.0,1.0,"Hilarious, Caring, Respected",CSC220,True,non mandatory,A+,-1,0,0
2025-11-04,GOAT CS professor. Take him he's also a chill dude.,5.0,2.0,,CSC314,False,,,,0,0
2025-05-14,"Prof Wang is pretty good. The course was most difficult in the homeworks, but in turn the final and the midterm were quite easy. ",4.0,3.0,,CSC314,True,non mandatory,A-,-1,0,0
2024-12-29,Easy class. It is a good introduction to DSA. Wang is a good lecturer. The exams and quizzes are very easy. Study the slides and watch Neetcode and you will be fine. ,4.0,2.0,,CSC220,True,mandatory,A+,3,0,0
2024-12-19,"He's a funny and very nice professor. Lectures are simple, often just reading from the PowerPoint but he is always available to help you on any topic. His accent may be difficult to understand at first but he is always ready to repeat himself or explain more if need be. The major tests are pretty easy. There's a weekly quiz that doesn't count much",4.0,2.0,"EXTRA CREDIT, Clear grading criteria, Beware of pop quizzes",CSC220,True,non mandatory,A+,-1,0,0
2024-12-15,"I had a spotty understanding of Java after 120, but Wang solidified it. He explains things very clearly and will insist you ask questions until you fully understand. He is happy to repeat and re-explain concepts that are tricky for us and really wants us to learn the material. 1 midterm, 1 final, weekly labs and quizzes but they helped me learn tbh",5.0,3.0,"Amazing lectures, Lecture heavy",CSC220,False,non mandatory,A+,-1,0,0
2024-11-19,"Great guy, great class",5.0,2.0,"Amazing lectures, Respected, Lecture heavy",CSC220,True,non mandatory,A,-1,0,0
2024-05-16,"Not the most exciting topic in CS, so lectures can feel like an eternity. Still, the professor helps make it as manageable as possible. He is happy to answer questions. Tests are fair and are pretty reflective of homework. There were times where the homework problems were not provided as examples in class, so clarify those examples. I recommend.",4.0,3.0,"Clear grading criteria, Caring, Lecture heavy",CSC314,True,non mandatory,A,-1,0,0
2024-05-06,"His lectures were mostly spent copying text from the board that he was copying from the textbook, so you can get lost very easily. However, he is a very caring professor and would explain concepts the times it is necessary for you to understand. Definitely, his class is easier than other professors that teach it, so if you can, try to take him.",4.0,2.0,"Caring, Lecture heavy, Accessible outside class",CSC314,True,non mandatory,Not sure yet,3,0,0
